gid	gname	chr	start	end	logCPM	logFC.FB.MB	PV.FB.MB	FDR.FB.MB	A17MB	A17FB	A16MB	A16FB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB	average	ward.D
TRINITY_DN100108_c0_g1_i1	NA	NA	NA	NA	4.26837879577541	-5.15937181258049	1.54723504298938e-05	0.000664551426152573	-2.16524544163402	6.03317266180862	-2.7949554523257	-1.9126249955506	-1.60991309624242	4.23277293537476	6.16956403130123	2.27540798694439	4.93452916682023	-1.44161015939541	1	1
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	2.2027473607156	-4.79059290808629	0.000119593505425294	0.00345547831959514	-2.7949554523257	4.01578734222411	-2.7949554523257	-2.7949554523257	-2.7949554523257	1.97305646048212	4.02511699462694	0.613687697860479	2.91170515386694	-1.76872717215642	1	1
TRINITY_DN100580_c0_g1_i1	NA	NA	NA	NA	1.41785836603136	-4.95218740964588	7.13400923824434e-05	0.00225679286530975	-2.7949554523257	3.09050214495068	-2.7949554523257	-2.7949554523257	-2.7949554523257	1.27096544370387	3.35324095673232	-0.129525510660132	2.07305796082432	-2.7949554523257	1	1
TRINITY_DN100616_c0_g1_i1	NA	NA	NA	NA	2.57674034377818	-4.91672957220516	7.49268070658583e-05	0.00234347346845532	-2.16524544163402	4.14396842481603	-2.7949554523257	-2.7949554523257	-2.7949554523257	2.44327504803815	4.61789973030081	0.878279789011777	3.26279092054525	-2.19245455770144	1	1
TRINITY_DN100672_c0_g1_i1	NA	NA	NA	NA	1.65036880484184	-4.51850986021136	0.000605109547674977	0.0149590519622486	-2.7949554523257	3.58795498445067	-2.7949554523257	-2.7949554523257	-2.7949554523257	1.36810590628273	3.39877031866292	0.460645212395689	2.12883477001648	-2.7949554523257	1	1
TRINITY_DN100697_c0_g2_i1	NA	NA	NA	NA	1.08148256790099	-5.30495582028205	8.53812268511658e-06	0.000434439771919167	-2.7949554523257	3.04118001598533	-2.7949554523257	-2.7949554523257	-2.7949554523257	0.728443087678769	2.65250531533654	-0.722335769265453	1.9545859528097	-2.7949554523257	1	1
TRINITY_DN100825_c0_g1_i1	NA	NA	NA	NA	3.09445070537999	-4.61637270512824	0.000212220737930677	0.00574781802927705	-1.72834411822014	4.83219647036138	-2.7949554523257	-2.7949554523257	-1.60991309624242	2.96198104404801	5.14766039554401	1.61835571735161	3.29971019489941	-2.7949554523257	1	1
TRINITY_DN100825_c1_g1_i1	tnnc2	Chr10	16545216	16545216	2.15618993539295	-5.60521024962851	2.52453879562842e-07	4.23510508260574e-05	-2.16524544163402	3.96379580651391	-2.7949554523257	-1.9126249955506	-2.7949554523257	2.06285273445967	3.97339111255312	-0.129525510660132	2.91170515386694	-2.7949554523257	1	1
TRINITY_DN100851_c0_g1_i1	NA	NA	NA	NA	1.2759437056593	-5.51643154441246	4.81823821234311e-06	0.000299705244309342	-2.7949554523257	3.07832879136842	-2.7949554523257	-2.7949554523257	-2.7949554523257	0.799826969534611	3.14190553925588	-0.722335769265453	2.04433948712524	-2.7949554523257	1	1
TRINITY_DN100851_c0_g2_i1	NA	NA	NA	NA	3.19894015957427	-5.09941867552685	2.74620665514364e-05	0.00104130137279967	-1.72834411822014	5.05354601744008	-2.7949554523257	-2.28736347432474	-2.7949554523257	3.09563951417642	5.10365783649823	1.29526203282381	3.64397307031114	-2.19245455770144	1	1
TRINITY_DN100875_c0_g1_i1	NA	NA	NA	NA	2.74609010798349	-5.38563565015256	1.12640224799747e-05	0.000527454460757911	-2.7949554523257	4.53543281546768	-2.7949554523257	-2.28736347432474	-2.39613975678115	2.55064480548942	4.60824177763047	0.684522250342624	3.52429244533807	-2.7949554523257	1	1
TRINITY_DN101171_c0_g1_i1	NA	NA	NA	NA	2.30914738688649	-4.84173445804589	5.84401541345495e-05	0.00190964421635089	-2.7949554523257	4.09647059004513	-2.7949554523257	-2.7949554523257	-1.2536631308663	1.97305646048212	4.24672210927938	0.539194866171892	2.87955013098569	-2.7949554523257	1	1
TRINITY_DN101274_c0_g1_i2	NA	NA	NA	NA	1.19445694663804	-5.4951056330011	1.88463961703398e-07	3.51985352956439e-05	-2.7949554523257	3.17295538717011	-2.7949554523257	-2.28736347432474	-2.39613975678115	1.16680901243254	3.00139868574008	-0.918357284253413	1.30228774418126	-2.7949554523257	1	1
TRINITY_DN101453_c0_g1_i1	NA	NA	NA	NA	1.34187495125981	-6.13881790834125	1.97668945978049e-08	9.67423611240978e-06	-2.7949554523257	3.07832879136842	-2.7949554523257	-2.28736347432474	-2.7949554523257	1.21982698028876	3.30622780066457	-1.14526394908515	1.89148994644757	-2.7949554523257	1	1
TRINITY_DN101696_c0_g4_i1	NA	NA	NA	NA	1.38259582034887	-3.99591399811703	0.00024800929912196	0.00662634884140526	-2.7949554523257	3.21803861189106	-2.10680833915382	-2.7949554523257	-2.39613975678115	0.99495543693898	3.1148776272106	0.460645212395689	2.01503770879232	-2.19245455770144	1	1
TRINITY_DN101742_c0_g1_i1	NA	NA	NA	NA	0.0756614945984861	-4.17567910104082	0.000108342020494186	0.00317344669553341	-2.7949554523257	1.7505191199543	-2.7949554523257	-2.7949554523257	-2.7949554523257	0.204887940993521	1.59026813750654	-0.918357284253413	0.91507716123149	-2.19245455770144	1	1
TRINITY_DN101747_c0_g1_i1	NA	NA	NA	NA	3.17132538021771	-4.68406297785408	4.00061802265086e-06	0.000265556611191789	-1.72834411822014	5.05975099026282	-1.29229967613708	-1.9126249955506	-2.39613975678115	2.88200141007379	5.00406301155702	1.46583470032328	3.72763777025944	-1.44161015939541	1	1
