gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB
TRINITY_DN84079_c0_g2_i1	maea	Chr01	14027089	14027089	0.500731903316675	-6.07281853719254	2.14373136525194e-07	3.80374898654959e-05
TRINITY_DN115726_c0_g4_i1	nsg1	Chr01	18625008	18625008	2.65162414368473	1.29886752651175	0.000938845675509068	0.0225779741946925
TRINITY_DN82615_c0_g1_i1	LOC101733203	Chr01	26292904	26292904	0.214593453941594	-4.11937043258454	0.000127595219079312	0.00364482524676506
TRINITY_DN117646_c0_g2_i1	asah1	Chr01	33488227	33488227	2.04048868507915	1.83717600318624	0.0001610019464863	0.00448026345974527
TRINITY_DN5080_c0_g2_i1	pyurf	Chr01	58346443	58346443	0.200599595030222	-7.83763020829451	3.45797346260998e-09	2.99603803352017e-06
TRINITY_DN24863_c0_g1_i1	pde5a	Chr01	61452590	61452590	0.37214392619219	-5.07911098253216	2.75429199828256e-06	0.000202762772639525
TRINITY_DN200018_c0_g1_i1	LOC100485437	Chr01	67211793	67211793	1.38882360159374	-4.54928026909077	2.42336420428464e-05	0.000955537338669499
TRINITY_DN16115_c0_g1_i1	kiaa1958	Chr01	96148157	96148157	1.16869278750656	-5.05608585688572	1.13124246823977e-05	0.000527454460757911
TRINITY_DN51144_c0_g1_i1	LOC100170420	Chr01	103850735	103850735	0.649169689237124	-3.8759611349864	0.000389170385247102	0.0100113719922303
TRINITY_DN80769_c0_g1_i1	tek	Chr01	110075520	110075520	0.53999828353516	-6.83439550223131	8.38641611191638e-09	5.95220507635501e-06
TRINITY_DN87262_c0_g1_i1	LOC100486127-like	Chr01	116814354	116814354	2.03865084731757	-5.6625052309571	6.30730528283855e-08	2.07840726463061e-05
TRINITY_DN118778_c1_g1_i12	mamdc2	Chr01	117467899	117467899	4.61691013423519	-4.99769883704211	1.61961981991666e-05	0.000688649410373166
