gid	gname	chr	start	end	logCPM	logFC.XY46.XX46
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.954357925883971	1.01761634986739
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.12646849331313	-1.42197130792025
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.71845225213074	-0.892748561884675
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.808302851090329	-0.889525635831779
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.74832584922756	-1.98891847350203
TRINITY_DN100132_c0_g1_i2	gnb1l	Chr01	146232743	146232743	1.25491271175238	0.801970508233957
TRINITY_DN100230_c0_g1_i1	NA	NA	NA	NA	0.619092654589171	1.45610385521162
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.09446464284989	-1.34410700731881
TRINITY_DN100266_c0_g1_i1	rps6ka1	Chr02	51799984	51799984	0.724834655025649	0.298435527703517
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	3.48523865547946	0.120130429735835
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	7.37162022370087	0.52617273490535
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	1.34011025820381	0.735866322365386
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	3.69849415230736	0.488231264931378
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.69281704155118	-1.37211153624553
TRINITY_DN100376_c0_g2_i1	secisbp2	Chr01	125667448	125667448	3.19277692183639	0.909305901943941
TRINITY_DN100376_c0_g3_i1	lmx1b.1	Chr08	9183575	9183575	1.00275721140508	0.614444085536031
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	1.02358861923642	0.249853177017696
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	1.14936755044017	0.482254409923133
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	0.103581081412208	1.06628346255517
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	1.43396796105528	0.718211256660196
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	2.61516332326707	2.22590470277056
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	2.78449338695902	-0.890763326953187
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	5.98879341826399	0.338834198445084
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	6.79650209754709	-0.49676597749668
