gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46
TRINITY_DN129942_c2_g2_i2	LOC100486685	Chr01	7605581	7605581	1.12774937960867	-2.87649790846655	1.75132774748973e-10	3.18859830092135e-09
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.688773180498954	-3.1493686255704	3.26165931846767e-06	3.33826487631061e-05
TRINITY_DN125304_c0_g1_i1	c1qtnf7	Chr01	17071229	17071229	3.62044578464201	-2.49585522327521	3.10469510382986e-15	8.70069361583789e-14
TRINITY_DN122453_c4_g2_i1	kcnip4-like	Chr01	22625130	22625130	4.39480378780082	-2.77809795783215	1.79490378153497e-21	7.84868098401551e-20
TRINITY_DN115118_c0_g1_i1	klb	Chr01	26974623	26974623	1.18647627259469	-2.66115953085644	3.56058437418533e-06	3.61503366285382e-05
TRINITY_DN96624_c0_g3_i2	rhoh	Chr01	27214303	27214303	4.9071695659245	-2.38871941556213	1.50902098039727e-17	5.14405780978972e-16
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.68615033760167	-3.56365847797374	8.91709610636241e-27	5.43642767907605e-25
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	0.967906528674317	-3.3519310210961	2.85869512121542e-09	4.53422299338746e-08
TRINITY_DN126931_c1_g4_i1	ercc8	Chr01	46198772	46198772	1.18439275057782	-2.00668314941103	6.38450122999229e-05	0.000518321767589835
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.02926563718999	-5.31881526437728	4.30728358984334e-30	3.09465513896903e-28
TRINITY_DN82945_c0_g1_i1	h2afz	Chr01	65008501	65008501	5.37768071427447	-2.16611663807504	1.16294260463455e-12	2.64051480203594e-11
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.55188217717315	-3.99373372354063	7.27877203085435e-24	3.81413669930843e-22
TRINITY_DN127814_c3_g6_i6	fbn3	Chr01	73533826	73533826	1.44797388367399	-2.05487712988602	7.34342090708041e-07	8.32933099487359e-06
TRINITY_DN128087_c0_g1_i1	lmnb2	Chr01	74015431	74015431	3.03795705379811	-2.78055322734323	6.35433562424924e-15	1.75363068663993e-13
TRINITY_DN125533_c0_g1_i1	ubxn6	Chr01	74902024	74902024	3.04820447544187	-2.46480316011651	8.90481863765706e-12	1.84212080169868e-10
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.61602156712249	-12.1730041423593	1.13146249376295e-127	1.59423065371199e-124
TRINITY_DN125305_c3_g2_i1	palm	Chr01	81998606	81998606	3.00855255830596	-2.37669498986801	3.37228615965864e-11	6.64552615239024e-10
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.32457452995001	-3.49003580958296	2.55344472471447e-24	1.36337821280439e-22
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.77076821796025	-5.50182625405654	6.5250515764706e-53	1.00907535416126e-50
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.53653050469501	-3.57962885110933	1.71600080044892e-18	6.26204493539359e-17
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.49063040567241	-3.21335204175354	1.18020544475238e-26	7.12675487852615e-25
TRINITY_DN121062_c0_g1_i1	anxa1-like.2	Chr01	118556373	118556373	5.24786827769434	-2.30325907295127	9.85618073356524e-13	2.26219416981612e-11
TRINITY_DN124404_c2_g1_i10	pcsk5	Chr01	119429662	119429662	2.49800181222243	-2.11351387699221	5.31743138065196e-09	8.15360910980018e-08
TRINITY_DN114530_c0_g5_i1	mrps18c	Chr01	121827523	121827523	1.11507523491504	-6.22454978929441	3.07064733269406e-23	1.50633960641754e-21
TRINITY_DN134088_c4_g1_i2	ctsv	Chr01	123183730	123183730	1.47414239488465	-2.63660582293083	1.57801147692082e-09	2.58036925065544e-08
TRINITY_DN127574_c0_g1_i13	aaed1	Chr01	124125662	124125662	1.78577824680668	-3.17504295282202	5.6304649516213e-14	1.43951463813528e-12
TRINITY_DN122578_c0_g1_i3	shc3	Chr01	125590501	125590501	1.80682121077141	-2.41248864702289	2.41774004172468e-09	3.87113149862508e-08
TRINITY_DN126124_c0_g1_i1	mmp14	Chr01	127876910	127876910	1.8853810444272	-6.71178436954659	8.10782345322132e-38	8.25825776789554e-36
TRINITY_DN124802_c6_g3_i1	rem2	Chr01	127940248	127940248	4.30768695924656	-2.82083301261815	8.32331961253657e-07	9.3446671984574e-06
TRINITY_DN134031_c5_g1_i1	tmem55b	Chr01	130593011	130593011	3.75650929717022	-3.75222967873069	1.23042788521595e-22	5.77890963423092e-21
TRINITY_DN109288_c0_g1_i1	nipsnap1	Chr01	132381492	132381492	0.07938583808092	-4.1740767125876	5.41313221507117e-12	1.1459754527432e-10
TRINITY_DN134686_c3_g2_i1	LOC100145581	Chr01	134198372	134198372	0.95097728858249	-2.77748615355934	7.10687452634257e-09	1.07416300200894e-07
TRINITY_DN122436_c6_g1_i1	wdr36	Chr01	135270707	135270707	0.654347857748377	-2.9546083651577	2.95543469419657e-09	4.67305079265669e-08
TRINITY_DN130037_c1_g4_i6	pus1	Chr01	148124216	148124216	1.86979409783523	-2.06907390563667	4.23259756070845e-07	5.01856658881195e-06
TRINITY_DN120743_c0_g1_i1	vps37b	Chr01	152844919	152844919	5.56608293552367	-3.21393270244629	7.77463366993752e-32	5.95710752679624e-30
TRINITY_DN112501_c0_g1_i7	zcchc8	Chr01	153110233	153110233	3.37641627696975	-2.37997952573191	6.99288708721307e-12	1.4718141270199e-10
TRINITY_DN120569_c0_g1_i1	csnk1g3	Chr01	160600427	160600427	1.57725046026671	-6.57485526568452	9.39725518356163e-19	3.52043110731891e-17
TRINITY_DN135835_c0_g1_i3	LOC101732630	Chr01	163694682	163694682	7.25473123216881	-7.41057053397671	2.86482357632478e-89	1.02334726116548e-86
TRINITY_DN110156_c0_g1_i1	LOC100494836	Chr01	164238376	164238376	6.17888716650443	-2.85786517733056	1.13624837247719e-24	6.14446294728494e-23
TRINITY_DN131869_c0_g1_i1	slc30a5	Chr01	173689269	173689269	2.94254353809433	-2.86120903166061	1.5374337700634e-15	4.44104729798952e-14
TRINITY_DN130923_c0_g2_i2	setd9	Chr01	178036770	178036770	0.907619889826717	2.11448974714066	0.00153775909737723	0.00902583805315469
TRINITY_DN131094_c4_g2_i3	mrps30	Chr01	181453885	181453885	2.93315426990598	-4.62605349369044	5.11741837403501e-32	3.98122591418024e-30
TRINITY_DN131052_c1_g4_i2	atp5a1	Chr01	193286350	193286350	6.97000237261258	-2.97558929913932	2.42484558844287e-18	8.67403861975854e-17
TRINITY_DN124370_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	7.68326005377038	-2.78318226710174	2.28874008656187e-15	6.50751413401146e-14
TRINITY_DN121562_c0_g1_i6	LOC100493838-like	Chr02	30395779	30395779	3.4606391554921	-10.3836600029101	7.51711168519375e-74	1.94539782203963e-71
TRINITY_DN129361_c4_g3_i2	ptchd1	Chr02	40685252	40685252	6.94885449400507	-2.0238234577482	2.27211781491094e-12	5.00220937688986e-11
TRINITY_DN113308_c0_g1_i2	hip1	Chr02	44481656	44481656	1.58221906556869	-8.00866798083981	4.13421569239211e-18	1.45830289833726e-16
TRINITY_DN115331_c0_g1_i2	LOC100145338	Chr02	46369017	46369017	2.01806136556181	-7.34331926633194	1.32463314944805e-24	7.11765803735201e-23
TRINITY_DN120396_c0_g1_i4	cisd3	Chr02	51509213	51509213	3.45681017931137	-4.05692676957334	9.19655002757924e-19	3.4554503970291e-17
