gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46	Am2_463	Am2_464	Am4_461	Am5_461	Am6_462	Am6_464	average	ward.D
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.07073161396974	-1.35015860243861	7.4992220641392e-06	7.19346709495833e-05	3.36877904961107	4.60767536001435	3.18912592590146	3.67985978125158	3.60498703757893	5.00038447393992	1	1
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.60033173103434	-2.06332721667416	3.06362876308666e-10	5.44497215763167e-09	2.55698223484334	4.72814388469252	2.30229666570423	2.34932366039972	2.97093208335694	4.50173636860291	1	1
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.01027284139923	-1.3513591147257	2.7484167526456e-07	3.36091348508186e-06	4.39731958889884	5.8535564677347	4.21558858441226	4.40570123751609	4.60016874730717	5.65945860313029	1	1
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.56670969871539	-1.47172272148443	0.000802752804349306	0.0051067000568686	0.996459383933326	3.11972054913184	2.74682674400931	1.59329938153124	1.68468304615414	3.56695254372009	1	1
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	6.10553848320268	1.12372878818836	0.00205684951555536	0.0116027173962444	6.04348326059134	4.70875147545003	6.21017537473213	6.37828303258985	6.81685583108686	5.67025542672223	2	2
TRINITY_DN100754_c0_g1_i1	hsdl2	Chr01	96084504	96084504	3.89452332786004	1.36703914885932	7.52564300777989e-05	0.000602288917523867	4.19334691724441	3.1098979546024	4.25039756947833	4.44337979249597	3.95306033089336	2.58096360754799	2	2
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	3.41797443914775	-1.44690680810246	3.98335058976437e-06	3.99627126810143e-05	2.85659681315785	4.25343306491698	2.76915706972878	2.88855048810227	2.54250471730191	4.15841211528137	1	1
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	1.14187559900635	-1.07169574913716	0.0112749327139397	0.0484094876402469	0.753942287920966	1.90222378581997	0.693139238904369	0.818611631151016	0.583713107141263	1.5921617243213	1	1
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	5.99457966804365	-1.96034091851197	3.8423280629188e-10	6.77671240137319e-09	4.37173273174486	6.99876456803457	5.00699162037131	5.46244005066737	5.0436725624632	6.9633330506496	1	1
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.226284041212239	-4.92144953064751	1.09339949896239e-12	2.49827009844002e-11	-1.90854355451981	2.31512147859868	-2.72793186879741	-2.7649089450951	-2.37293602226136	0.73888022724655	1	1
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.03303222049099	-1.68947289007751	3.71392022457249e-06	3.75119254223845e-05	2.29187025618145	4.37323620972236	2.28173409684906	2.01439952045943	2.37624135481892	3.2693471458499	1	1
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.70387428752299	-2.60968172303483	5.19217570933903e-11	1.00445431228266e-09	0.462253218857898	3.83150226182712	0.896161028415788	1.51219075605993	1.88738998114428	3.9193551229047	1	1
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	6.63762401495236	-11.0395558575216	2.00582857741675e-129	3.63370174146026e-126	-2.2889758174553	8.22253425194484	-2.72793186879741	-1.68001077468452	-2.37293602226136	8.21945220349501	1	1
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.2901035665658	-1.57482323360305	7.48159934977804e-05	0.00059914216201159	3.10456147563053	4.6111611787846	2.29205201546189	2.20194117313119	2.5239100426583	3.42116907200442	1	1
TRINITY_DN101111_c0_g1_i2	NA	NA	NA	NA	1.85802135222467	-1.8307278027812	1.05290145421389e-06	1.16153487089051e-05	0.753942287920966	2.81573111531025	0.975124624880489	1.19633790156719	1.01504163894027	2.76803150649227	1	1
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.32196144464056	-2.40151771657921	4.44593946956884e-10	7.79791955928112e-09	0.586090251407103	3.75793438479637	1.41350605861845	0.972072876474113	1.19035635949648	3.04639579996489	1	1
TRINITY_DN101437_c0_g1_i1	Xetrov90007874m	Chr03	43068369	43068369	4.84227099449402	-0.818745793521239	0.00211840084151669	0.0119075536663445	4.60556481630846	5.35801440532791	4.33266499852958	4.65086306529469	4.45558614570891	5.30750394864164	1	1
TRINITY_DN101457_c0_g1_i1	parl	Chr02	48794290	48794290	5.20822337370131	-1.65833897165033	8.5471208834487e-10	1.4480432855446e-08	4.45531449785954	6.25105861625661	4.29980755205636	4.31774139225603	4.62218916758096	5.89692305434058	1	1
