gid	gname	chr	start	end	logCPM	logFC.M46.F46	PV.M46.F46	FDR.M46.F46
TRINITY_DN129942_c2_g2_i2	LOC100486685	Chr01	7605581	7605581	1.12774937960867	-2.87649790846655	1.75132774748973e-10	3.18859830092135e-09
TRINITY_DN125507_c0_g7_i1	exoc6b-like	Chr01	8355256	8355256	3.93463110897959	-1.14130561123155	0.00055860183665134	0.0037113274632891
TRINITY_DN13815_c0_g2_i1	cdc25b	Chr01	9356036	9356036	0.960886597924345	-1.83380071781963	0.00306201795333751	0.0163251837991478
TRINITY_DN124509_c0_g1_i1	rnf103	Chr01	11428540	11428540	2.02727414805209	-1.27798898364599	0.000798353644094918	0.00508877947920575
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.688773180498954	-3.1493686255704	3.26165931846767e-06	3.33826487631061e-05
TRINITY_DN116347_c0_g1_i1	fgfrl1	Chr01	14724047	14724047	4.07621781231425	1.16095826875677	0.00120263886567918	0.007305707044636
TRINITY_DN109790_c0_g1_i1	fgfbp2	Chr01	16906025	16906025	4.81629428603916	-1.19412982901873	8.44590266312049e-06	8.02566441896073e-05
TRINITY_DN128835_c0_g1_i1	cd38	Chr01	16945176	16945176	3.86307706303334	-1.24870551222494	0.000497351514179983	0.00335117670101826
TRINITY_DN125304_c0_g1_i1	c1qtnf7	Chr01	17071229	17071229	3.62044578464201	-2.49585522327521	3.10469510382986e-15	8.70069361583789e-14
TRINITY_DN118925_c0_g1_i1	otop1	Chr01	18521298	18521298	3.33314733025565	-1.54801585894286	1.5753194276024e-06	1.69437028510823e-05
TRINITY_DN128607_c0_g2_i1	tbc1d14-like	Chr01	20379605	20379605	3.0469343646027	1.75899889806593	0.00133280992511514	0.00797234087754011
TRINITY_DN126319_c1_g1_i2	dhx15	Chr01	21109905	21109905	2.06469171020018	-1.68352336620967	6.04151071194577e-06	5.87743746361215e-05
TRINITY_DN122453_c4_g2_i1	kcnip4-like	Chr01	22625130	22625130	4.39480378780082	-2.77809795783215	1.79490378153497e-21	7.84868098401551e-20
TRINITY_DN115118_c0_g1_i1	klb	Chr01	26974623	26974623	1.18647627259469	-2.66115953085644	3.56058437418533e-06	3.61503366285382e-05
TRINITY_DN96624_c0_g3_i2	rhoh	Chr01	27214303	27214303	4.9071695659245	-2.38871941556213	1.50902098039727e-17	5.14405780978972e-16
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.68615033760167	-3.56365847797374	8.91709610636241e-27	5.43642767907605e-25
TRINITY_DN122116_c1_g1_i2	cpe	Chr01	41986099	41986099	3.07839740450908	-1.0282892419734	0.00124263279065087	0.00751984081042408
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	0.967906528674317	-3.3519310210961	2.85869512121542e-09	4.53422299338746e-08
TRINITY_DN135299_c1_g3_i1	etfdh	Chr01	43724131	43724131	2.21487965990953	-1.37807020596151	0.000291295302637688	0.00206652628405512
TRINITY_DN128072_c3_g6_i3	glrb	Chr01	44226997	44226997	2.77613730822506	-1.43834073056339	5.54618107470796e-05	0.000455660007828776
TRINITY_DN119403_c0_g1_i1	sfrp2	Chr01	45713108	45713108	5.60561594312691	-1.56815264963726	2.53720936626879e-06	2.63940541211275e-05
TRINITY_DN126931_c1_g4_i1	ercc8	Chr01	46198772	46198772	1.18439275057782	-2.00668314941103	6.38450122999229e-05	0.000518321767589835
TRINITY_DN128898_c3_g5_i2	smad1	Chr01	49182917	49182917	2.08662397075914	-1.85441889461418	2.08331753373499e-05	0.000184809721198275
TRINITY_DN131264_c0_g1_i4	usp38	Chr01	49976472	49976472	3.77048337212182	1.32479758680487	0.00534811404515934	0.0262764177476426
TRINITY_DN126721_c4_g1_i3	clgn-like	Chr01	51220422	51220422	4.95080034990085	-1.2193828889036	1.17930491443849e-05	0.000109079253245766
TRINITY_DN135645_c0_g1_i1	cyp2u1	Chr01	57523715	57523715	3.13145674719324	-1.44704032071132	0.00015543530519016	0.00116493800538795
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.02926563718999	-5.31881526437728	4.30728358984334e-30	3.09465513896903e-28
TRINITY_DN122217_c0_g1_i1	enpep	Chr01	58901065	58901065	3.43314445200585	-1.44800520042238	5.81837850115879e-05	0.000475864932429504
TRINITY_DN131472_c0_g1_i1	larp7	Chr01	59504263	59504263	5.59898097594708	1.44421661448861	6.66448157268675e-05	0.000539325404104918
TRINITY_DN135242_c0_g2_i3	sec24d-like.1	Chr01	61127823	61127823	6.12675128962756	-1.78495489688885	2.68366444305957e-10	4.78980278711308e-09
TRINITY_DN82945_c0_g1_i1	h2afz	Chr01	65008501	65008501	5.37768071427447	-2.16611663807504	1.16294260463455e-12	2.64051480203594e-11
TRINITY_DN130296_c5_g17_i3	eif4e	Chr01	65533264	65533264	2.98974519786562	-1.03428139413889	0.00161797920402114	0.00944640620911236
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.55188217717315	-3.99373372354063	7.27877203085435e-24	3.81413669930843e-22
TRINITY_DN129503_c1_g1_i2	gprin3	Chr01	69220445	69220445	4.09107688777793	-1.37707152049931	1.96557918418286e-06	2.08059345864966e-05
TRINITY_DN127814_c3_g6_i6	fbn3	Chr01	73533826	73533826	1.44797388367399	-2.05487712988602	7.34342090708041e-07	8.32933099487359e-06
TRINITY_DN128087_c0_g1_i1	lmnb2	Chr01	74015431	74015431	3.03795705379811	-2.78055322734323	6.35433562424924e-15	1.75363068663993e-13
TRINITY_DN114777_c0_g1_i1	mfsd12	Chr01	74074214	74074214	3.93605135596169	-1.0855747839601	0.0002999451202106	0.0021207717141849
TRINITY_DN112201_c0_g1_i1	eef2.1	Chr01	74239834	74239834	2.29682070422706	1.92037750646645	1.92975732738477e-05	0.000172029895736846
TRINITY_DN125533_c0_g1_i1	ubxn6	Chr01	74902024	74902024	3.04820447544187	-2.46480316011651	8.90481863765706e-12	1.84212080169868e-10
TRINITY_DN121112_c0_g1_i1	sh3gl1	Chr01	74984069	74984069	5.52870408863819	-1.39746570233198	5.49325361217867e-07	6.3761967099348e-06
TRINITY_DN128422_c5_g3_i2	psd3	Chr01	77582054	77582054	4.91875283434045	-1.2977030322302	8.00555007889981e-07	9.02385604893587e-06
TRINITY_DN119826_c0_g2_i1	lpl	Chr01	77718946	77718946	4.2269477317892	-1.00990452922742	0.00111137096859666	0.00683476976371206
TRINITY_DN121418_c2_g1_i1	Xetrov90001431m	Chr01	79966891	79966891	7.10745044339598	1.33654001267054	0.00144586817180342	0.00855778496459237
TRINITY_DN115215_c1_g2_i1	polr2e	Chr01	81249350	81249350	3.22169614443259	-1.68252058527497	0.00178034869579768	0.01025975996883
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.61602156712249	-12.1730041423593	1.13146249376295e-127	1.59423065371199e-124
TRINITY_DN125305_c3_g2_i1	palm	Chr01	81998606	81998606	3.00855255830596	-2.37669498986801	3.37228615965864e-11	6.64552615239024e-10
TRINITY_DN48675_c0_g1_i1	jund	Chr01	84460422	84460422	1.31797434830047	-1.40729728587039	0.000710993334034862	0.0045965365632914
TRINITY_DN122320_c0_g1_i4	ifi30	Chr01	84909967	84909967	2.22589848847726	1.09504478237201	0.00494609453406152	0.0246304436624521
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.32457452995001	-3.49003580958296	2.55344472471447e-24	1.36337821280439e-22
TRINITY_DN128633_c6_g7_i2	comp	Chr01	87999172	87999172	1.13990035219221	1.66543757127926	0.00139083274431694	0.00827258444215904
TRINITY_DN125285_c1_g1_i1	ptpn13	Chr01	88284804	88284804	2.14435960900644	-1.10843445923783	0.00552312992388901	0.0270003124768067
TRINITY_DN124999_c0_g1_i1	LOC100486686	Chr01	89906047	89906047	3.61826607708109	-1.80447751412303	2.7824014646992e-08	3.90305674489497e-07
TRINITY_DN131766_c10_g2_i1	mrpl1	Chr01	91224097	91224097	7.96989350987506	-1.23161280560479	0.000113532626694708	0.000873078980664398
TRINITY_DN114768_c0_g1_i1	sowahb	Chr01	94515141	94515141	3.7846125318964	-1.55306093970651	7.30359282511033e-06	7.02707591921276e-05
TRINITY_DN100754_c0_g1_i1	hsdl2	Chr01	96084504	96084504	3.89452332786004	1.36703914885932	7.52564300777989e-05	0.000602288917523867
TRINITY_DN131203_c2_g2_i4	LOC594879	Chr01	96973380	96973380	2.52937320404444	-1.03718683097459	0.0086901491784589	0.039300920731825
TRINITY_DN184690_c0_g1_i1	use1	Chr01	99717791	99717791	2.73019434714407	-1.38979578843937	6.88499580492799e-05	0.000554959668983144
TRINITY_DN136341_c3_g1_i2	cpamd8	Chr01	99845191	99845191	4.08682908805125	-1.28971189503231	7.16688578879158e-06	6.90864908306089e-05
TRINITY_DN127045_c0_g1_i2	gdf1	Chr01	100408473	100408473	3.91650971153236	-1.89187034767428	9.05374964328741e-09	1.35469733600623e-07
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.77076821796025	-5.50182625405654	6.5250515764706e-53	1.00907535416126e-50
TRINITY_DN114945_c0_g2_i1	Xetrov90002071m	Chr01	105042124	105042124	2.50603317573092	-1.85863676654057	5.66756086680554e-08	7.61824704635013e-07
TRINITY_DN129824_c0_g3_i2	ift74	Chr01	110027308	110027308	4.57382325267309	-1.04936535949439	0.00122521254517153	0.00742860161860874
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.53653050469501	-3.57962885110933	1.71600080044892e-18	6.26204493539359e-17
TRINITY_DN103653_c0_g1_i1	kank1	Chr01	116514172	116514172	1.49982307799377	-1.61878257867029	0.000296332015817937	0.00209814980043956
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.49063040567241	-3.21335204175354	1.18020544475238e-26	7.12675487852615e-25
TRINITY_DN121062_c0_g1_i1	anxa1-like.2	Chr01	118556373	118556373	5.24786827769434	-2.30325907295127	9.85618073356524e-13	2.26219416981612e-11
TRINITY_DN130266_c3_g6_i3	anxa8	Chr01	118585630	118585630	2.18010861730669	-1.76241985221174	4.4925486201693e-05	0.000376163810184001
TRINITY_DN124404_c2_g1_i10	pcsk5	Chr01	119429662	119429662	2.49800181222243	-2.11351387699221	5.31743138065196e-09	8.15360910980018e-08
TRINITY_DN135256_c0_g1_i2	foxb2	Chr01	119952909	119952909	3.44336422654977	-1.05944771885423	0.000967150662982355	0.00601492768870978
TRINITY_DN114530_c0_g5_i1	mrps18c	Chr01	121827523	121827523	1.11507523491504	-6.22454978929441	3.07064733269406e-23	1.50633960641754e-21
TRINITY_DN134088_c4_g1_i2	ctsv	Chr01	123183730	123183730	1.47414239488465	-2.63660582293083	1.57801147692082e-09	2.58036925065544e-08
TRINITY_DN132524_c0_g1_i3	slc35d2	Chr01	123976221	123976221	5.47536543522244	-1.22924435333633	4.54890790465593e-06	4.5278415336689e-05
TRINITY_DN127574_c0_g1_i13	aaed1	Chr01	124125662	124125662	1.78577824680668	-3.17504295282202	5.6304649516213e-14	1.43951463813528e-12
TRINITY_DN122578_c0_g1_i3	shc3	Chr01	125590501	125590501	1.80682121077141	-2.41248864702289	2.41774004172468e-09	3.87113149862508e-08
TRINITY_DN127706_c0_g1_i2	psme1	Chr01	127231566	127231566	4.01276498172604	-1.64438754387644	4.33831914534977e-07	5.12953147619398e-06
TRINITY_DN129108_c0_g5_i7	efs	Chr01	127517336	127517336	9.13853548171007	1.29559134750252	0.000371945841346053	0.00257599410928962
TRINITY_DN126124_c0_g1_i1	mmp14	Chr01	127876910	127876910	1.8853810444272	-6.71178436954659	8.10782345322132e-38	8.25825776789554e-36
TRINITY_DN124802_c6_g3_i1	rem2	Chr01	127940248	127940248	4.30768695924656	-2.82083301261815	8.32331961253657e-07	9.3446671984574e-06
TRINITY_DN114305_c0_g2_i2	lpcat4	Chr01	130496211	130496211	0.872908721814008	-1.75815188120606	0.000249714679391978	0.00179820093660969
TRINITY_DN134031_c5_g1_i1	tmem55b	Chr01	130593011	130593011	3.75650929717022	-3.75222967873069	1.23042788521595e-22	5.77890963423092e-21
TRINITY_DN120753_c3_g1_i2	ndrg2	Chr01	131181710	131181710	3.80074088817095	-1.00578005552812	0.00135251112970917	0.00806925129891412
TRINITY_DN109288_c0_g1_i1	nipsnap1	Chr01	132381492	132381492	0.07938583808092	-4.1740767125876	5.41313221507117e-12	1.1459754527432e-10
TRINITY_DN129398_c8_g2_i1	ap1b1	Chr01	132451489	132451489	0.307361326583734	-1.73063195079512	0.0010125127446543	0.00627243483876948
TRINITY_DN134092_c1_g3_i3	LOC100494784	Chr01	133867919	133867919	1.31823022498458	-1.53566159406082	0.000348696352295766	0.00243224336824126
TRINITY_DN134686_c3_g2_i1	LOC100145581	Chr01	134198372	134198372	0.95097728858249	-2.77748615355934	7.10687452634257e-09	1.07416300200894e-07
TRINITY_DN104018_c1_g1_i1	reep5	Chr01	134723110	134723110	2.81078773346137	1.34545913056868	0.00314286262678653	0.0167070387634793
TRINITY_DN122436_c6_g1_i1	wdr36	Chr01	135270707	135270707	0.654347857748377	-2.9546083651577	2.95543469419657e-09	4.67305079265669e-08
TRINITY_DN133323_c0_g1_i1	prkab1-like	Chr01	142819530	142819530	4.6403168566884	-1.21034749216357	8.9131485434107e-06	8.43804678454581e-05
TRINITY_DN122034_c0_g3_i2	pxn	Chr01	143026286	143026286	5.65748800812079	-1.99897385050464	5.09249078089101e-13	1.19588658504591e-11
TRINITY_DN112708_c0_g1_i1	drg1	Chr01	143548439	143548439	1.940594271959	1.29812057941921	0.0104713131885127	0.0456704118808355
TRINITY_DN124309_c0_g1_i3	upb1	Chr01	144075898	144075898	4.83678505992038	-1.06358768283051	8.10393652574507e-05	0.000645312521714118
TRINITY_DN122355_c6_g2_i1	arvcf	Chr01	146462404	146462404	4.66321675492568	-1.13664817045599	0.000115698866469497	0.000888929006785635
TRINITY_DN130037_c1_g4_i6	pus1	Chr01	148124216	148124216	1.86979409783523	-2.06907390563667	4.23259756070845e-07	5.01856658881195e-06
TRINITY_DN120743_c0_g1_i1	vps37b	Chr01	152844919	152844919	5.56608293552367	-3.21393270244629	7.77463366993752e-32	5.95710752679624e-30
TRINITY_DN123200_c1_g1_i1	ccdc62	Chr01	152925967	152925967	2.93079705102899	-1.01262157716058	0.00965815158557653	0.04272632836445
