gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	A12FL1	A12ML1	A15ML1	A17FL1	A17ML1	A2FL1	A7FL1	A8FL1	A8ML1	average	ward.D
TRINITY_DN100376_c0_g3_i1	bcar1	Chr04	51234279	51234279	4.63716945451713	1.33815849140757	0.000161905063357461	0.0196413674617945	3.75214257285766	4.76368663452677	5.23862319744141	4.37981968248049	5.69587360469928	3.37319570181188	4.34332785475382	3.22921538150074	5.05445620554407	2	2
TRINITY_DN102016_c0_g3_i1	NA	NA	NA	NA	0.56193456460985	-3.73918866624265	9.57287727419489e-06	0.0021065895629551	1.43343827396072	-2.9872298283248	-0.435922311425507	1.22499780699063	-2.9872298283248	0.422781017201156	0.0982578454896792	2.15792860032401	-2.9872298283248	1	1
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	2.28340833953545	-2.07022140278983	6.87582110340049e-05	0.0100096087986042	3.21309431050725	0.380422469304329	0.435447971395407	2.53920107643499	1.520188631076	3.77167136669252	2.26167812788755	1.53682448588951	0.901858933623607	1	1
TRINITY_DN105647_c0_g2_i1	cpeb3	Chr07	17464515	17464515	0.00765221844495389	-4.45666785858096	1.10056864089796e-07	4.95910988785568e-05	0.809242670885429	-2.35649480879066	-2.9872298283248	0.474868071387363	-2.9872298283248	1.25182296510806	-0.805753502631636	1.10424923860404	-1.84881148744853	1	1
TRINITY_DN106055_c0_g2_i1	NA	NA	NA	NA	1.13681034365768	-2.95647314847999	0.000217225297836543	0.0236745225885933	1.60392127766968	-1.58392887350682	-1.83965402480171	1.49130456489624	0.517939376319664	1.88070977206228	2.80715220227208	-1.07996174310055	-1.84881148744853	1	1
TRINITY_DN107343_c0_g1_i1	NA	NA	NA	NA	4.18732620970344	-2.20973097529579	6.47042714769617e-05	0.00964195541497244	4.29574294897505	2.78725830526189	3.00358392769261	5.12094595089964	2.92013233498634	5.94141616834355	4.02549910869651	2.87849382342825	1.01434215548915	1	1
TRINITY_DN107602_c0_g1_i1	NA	NA	NA	NA	8.68900901938702	-8.0240181281239	2.17228510984407e-11	1.78741285668692e-08	7.33983911902778	1.69511389618535	-1.20867370044022	6.62603186377955	-0.624976709588726	11.3045621689949	7.60213315668383	9.48850103594735	2.90194385744535	1	1
TRINITY_DN107602_c0_g2_i1	NA	NA	NA	NA	9.6412355870997	-4.31551411094066	9.50653856084353e-09	5.2915071254107e-06	8.63514348101772	6.94184519033594	4.24634981367768	8.94278553716138	6.59431751118734	11.8759465224827	9.53375683492815	10.5692769179265	5.30446038662909	1	1
TRINITY_DN107602_c0_g3_i1	NA	NA	NA	NA	9.48180944908935	-6.80832223129521	9.14302882497866e-14	9.6128789173734e-11	9.17195284211769	4.13930400533904	0.166605626462582	9.17241731263817	3.98145794431363	11.8771779466909	8.71425548529916	10.0409245140494	3.53170429243625	1	1
TRINITY_DN107814_c0_g2_i1	NA	NA	NA	NA	0.612981003069549	-1.99581802858999	0.000523041884084626	0.0435638913021247	-0.315295501001691	-1.08350963563951	-0.164078453822409	0.898147224728679	-0.949392364839301	1.44805106281085	1.31442562915263	1.62059410582297	-0.60736377841784	1	1
