gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	A12FL1	A12ML1	A15ML1	A17FL1	A17ML1	A2FL1	A7FL1	A8FL1	A8ML1
TRINITY_DN100376_c0_g1_i1	Xetrov90003149m	Chr01	153885424	153885424	4.329290217	-0.179337366	0.744989727	0.953420998	5.604085592	3.831213577	5.172714123	2.210379672	3.677208766	4.875701433	3.050398453	3.922173572	3.559779597
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	5.382061695	-0.321921819	0.411618463	0.842775591	4.428777634	5.376746459	5.307248019	5.410692621	5.150284095	6.513797497	5.201598325	5.196504959	4.898304953
TRINITY_DN102559_c0_g2_i1	lipg	Chr01	191735667	191735667	0.918259102	-0.724721807	0.269610548	0.770964478	0.353875255	-0.557793521	1.183959767	-0.007389335	0.759639928	-0.286211066	2.572821285	0.895893064	-0.059774198
TRINITY_DN102661_c0_g1_i1	sec24d-like.1	Chr01	61127823	61127823	0.57046054	0.023709189	0.965477476	0.993261141	1.433438274	0.891381846	0.59034629	-1.177779556	0.227431964	-0.009352482	0.414465312	0.895893064	0.499724093
TRINITY_DN103795_c0_g1_i3	foxi4.1	Chr01	15315114	15315114	4.259598739	-0.022186474	0.961779206	0.993161122	5.192969214	5.064286143	3.367239573	3.826248345	2.992930563	4.435515249	3.172954053	3.916660383	4.588842411
TRINITY_DN105592_c1_g1_i2	hapln4	Chr01	101891688	101891688	3.050791825	-1.000308285	0.068827596	0.50603966	2.506456296	2.048592495	1.868486031	2.210379672	2.73445978	2.590868972	2.566446341	4.938095291	2.811429732
TRINITY_DN105848_c0_g1_i1	ell	Chr01	87372118	87372118	1.730208719	0.971774274	0.021339002	0.325687158	1.666846942	1.841487154	2.066248645	0.474868071	2.676704745	0.827187013	1.499810164	1.385399594	2.050019712
TRINITY_DN106246_c1_g1_i1	plbd2	Chr01	133777750	133777750	4.112799979	0.477997705	0.184281513	0.702847166	3.499029303	4.039697011	4.641375655	4.43880165	4.790690333	3.137565975	4.037072071	3.954817457	3.709310911
TRINITY_DN106256_c0_g3_i3	orai2	Chr01	153669594	153669594	7.131745255	0.774865674	0.026444387	0.356269343	6.993702132	7.719038969	7.54430551	7.027276675	7.380376689	7.058274814	6.031052776	6.259727776	7.368033562
TRINITY_DN106968_c0_g1_i1	lmnb2	Chr01	74015431	74015431	1.652231895	-1.025384534	0.113995606	0.604922908	1.064247464	0.129958354	-0.9733985	0.701975773	0.227431964	2.3172179	2.163724166	2.760349371	2.399837841
TRINITY_DN107064_c0_g1_i2	tmem120b	Chr01	153609208	153609208	1.412710888	0.866186165	0.115434046	0.607334953	0.499275817	2.024272861	2.747825662	-0.256819016	0.227431964	1.579479628	1.388572703	1.024480245	1.014342155
TRINITY_DN107707_c0_g1_i1	oxa1l	Chr01	128276275	128276275	5.728720609	0.095603545	0.764927695	0.959506845	5.641773558	5.739944106	5.534162848	5.538766673	5.662788365	6.10306921	5.391179602	5.652925796	6.117731655
TRINITY_DN107915_c0_g2_i1	arid3a	Chr01	81529718	81529718	4.890590337	-2.315611953	0.001220401	0.077244435	6.029206068	4.550339418	2.535399984	5.150118704	-0.62497671	4.321220186	3.842386138	6.55945522	2.857396531
