gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN100323_c0_g3_i1	NA	NA	NA	NA	-0.870577104735109	-4.66754202344963	1.36101813682271e-05	0.00015704208375502
TRINITY_DN100411_c0_g1_i1	NA	NA	NA	NA	-0.924419951122793	-3.72237482750301	4.51560286875176e-05	0.000465100453018364
TRINITY_DN100550_c0_g2_i1	NA	NA	NA	NA	-0.504100159440483	-5.05045123743714	3.40663949708265e-08	6.22797574557279e-07
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.490631662128916	-4.76259439883563	6.38347788117768e-10	1.47607202768639e-08
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	6.90298261618221	-11.5147682607729	1.69625615394924e-100	1.01817133074408e-96
TRINITY_DN101116_c0_g3_i1	NA	NA	NA	NA	-0.512046643933273	-8.23881305503595	7.97448891096866e-12	2.34198569412394e-10
TRINITY_DN101751_c0_g1_i1	ssna1	Chr08	103347	103347	3.58765687541342	-3.03298527224099	5.42030091747019e-15	2.27473776380087e-13
TRINITY_DN10201_c0_g1_i1	NA	NA	NA	NA	3.38033343922837	-4.30363160537949	2.15978586644582e-22	1.58335579898262e-20
TRINITY_DN102303_c0_g1_i1	NA	NA	NA	NA	-0.161974669353569	-8.61836370984332	2.87904821509212e-14	1.10663652220315e-12
TRINITY_DN102326_c0_g4_i1	NA	NA	NA	NA	-0.919014525793984	7.21328211371228	1.30859275845393e-05	0.000151295046551525
TRINITY_DN102409_c0_g1_i1	NA	NA	NA	NA	0.721635818251096	-3.91376339510439	3.79147795360898e-07	5.88665189071212e-06
TRINITY_DN102581_c0_g1_i2	xkr5	scaffold_13	875624	875624	1.42645281398674	-5.2305188008798	1.09748780182702e-18	6.33187686217792e-17
TRINITY_DN102628_c0_g1_i1	NA	NA	NA	NA	3.1310527546263	-6.97024434481651	3.04538934546237e-38	4.6884570391642e-36
TRINITY_DN102868_c0_g1_i4	NA	NA	NA	NA	-0.366723620145007	-3.96054634256041	3.60047798122349e-06	4.63954103210433e-05
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	6.01604368924171	-14.9036906479611	5.95307779754708e-94	8.29207041219284e-91
