gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.XXliver	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	0.349531037	0.349531037	unbias	0.250670296	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.337962097	0.337962097	unbias	0.194444628	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	-0.321921819	0.321921819	unbias	0.482394987	G27_mean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-0.77911209	0.77911209	unbias	0.568551038	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	pdia2	Chr09	9296722	9296722	0.090309412	0.090309412	unbias	0.608105373	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-0.121452802	0.121452802	unbias	0.456256144	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.358560448	0.358560448	unbias	0.155105807	G23_mean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-0.07810206	0.07810206	unbias	0.246994246	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.308251224	0.308251224	unbias	0.42239493	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.382055945	0.382055945	unbias	0.389206888	Brain_mean	0.0979	0.1516	1.5493
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.025378664	0.025378664	unbias	0.437470329	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.542588607	0.542588607	unbias	0.411181266	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-1.031514447	1.031514447	unbias	0.403031814	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	rundc3a	Chr10	14285958	14285958	0.440272676	0.440272676	unbias	0.253002842	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.267394783	0.267394783	unbias	0.452032675	Ovary_mean	0.1384	0.2751	1.9882
