gid	gname	chr	start	end	logFC.XYliver.XXliver	bias
TRINITY_DN142998_c0_g1_i1	NA	NA	NA	NA	-9.818867834	female
TRINITY_DN27005_c0_g1_i1	pdcd10	Chr05	101611723	101611723	-9.499604859	female
TRINITY_DN126082_c1_g2_i1	NA	NA	NA	NA	-9.423775057	female
TRINITY_DN109500_c0_g4_i1	slc5a7-like.2	Chr02	162489117	162489117	-9.194719499	female
TRINITY_DN167774_c0_g1_i1	NA	NA	NA	NA	-8.676215324	female
TRINITY_DN113022_c0_g1_i1	hoxa13	Chr06	32871331	32871331	-8.547724529	female
TRINITY_DN130085_c0_g4_i1	NA	NA	NA	NA	-8.323594284	female
TRINITY_DN107602_c0_g1_i1	NA	NA	NA	NA	-8.024018128	female
TRINITY_DN70872_c0_g1_i1	NA	NA	NA	NA	-7.84226272	female
TRINITY_DN179282_c0_g1_i1	NA	NA	NA	NA	-7.728457958	female
TRINITY_DN130269_c0_g1_i1	prss12-like	Chr01	60992714	60992714	-7.71078323	female
TRINITY_DN133632_c2_g7_i15	NA	NA	NA	NA	-7.657281107	female
TRINITY_DN123727_c4_g1_i1	LOC100486088	Chr10	14761731	14761731	-7.641376285	female
TRINITY_DN120303_c3_g1_i1	NA	NA	NA	NA	-6.950167507	female
TRINITY_DN134368_c1_g3_i1	NA	NA	NA	NA	-6.82527896	female
TRINITY_DN107602_c0_g3_i1	NA	NA	NA	NA	-6.808322231	female
TRINITY_DN37225_c0_g2_i1	NA	NA	NA	NA	-6.729212648	female
TRINITY_DN127561_c4_g3_i1	NA	NA	NA	NA	-6.644871705	female
TRINITY_DN120299_c0_g3_i2	NA	NA	NA	NA	-6.440301863	female
TRINITY_DN119520_c3_g2_i4	NA	NA	NA	NA	-6.163660503	female
TRINITY_DN133632_c2_g4_i3	NA	NA	NA	NA	-6.072439773	female
TRINITY_DN118022_c0_g1_i1	ptpn13	Chr01	88284804	88284804	-5.976611763	female
TRINITY_DN6127_c0_g1_i1	serpine1	scaffold_48	919493	919493	-5.874486058	female
TRINITY_DN126472_c1_g2_i1	NA	NA	NA	NA	-5.857903654	female
TRINITY_DN128394_c4_g1_i3	NA	NA	NA	NA	-5.651746529	female
TRINITY_DN96380_c0_g1_i1	slc15a1	Chr02	117931085	117931085	-5.531752963	female
