gid	gname	chr	start	end	logCPM	logFC.M43.F43	PV.M43.F43	FDR.M43.F43	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433	average	ward.D
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	3.48594677505746	-5.9714318681355	2.67081619522779e-09	2.22453142454134e-06	-1.75065828230275	5.47747235706697	-0.245440762787478	-3.12507483927595	4.17975299168237	1.83683839921124	1	1
TRINITY_DN102894_c0_g1_i2	NA	NA	NA	NA	2.79617808595379	-5.94887713457842	8.01166541276436e-11	1.57576120135185e-07	-1.75065828230275	4.70916817368511	-1.02294457807189	-3.70342037281092	3.28701969881732	2.36665271731957	1	1
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	2.19228765769797	-5.92341422025921	6.76696695812783e-07	0.000213076935193732	-3.70342037281093	4.12964979832028	-1.02294457807189	-3.70342037281092	3.01940802697469	0.503919000372359	1	1
TRINITY_DN103798_c0_g1_i1	NA	NA	NA	NA	3.27976719600747	-5.71503656295378	5.62234387815408e-09	4.14768339811253e-06	-1.94101851473848	5.25320695888624	-0.191808101164306	-2.71335723934916	4.00664167287058	1.60590858021097	1	1
TRINITY_DN103838_c0_g1_i1	NA	NA	NA	NA	2.94444752459361	-4.10376117036888	6.83627967337263e-08	3.04332312356002e-05	0.366223647445074	4.68221803786061	0.0938389633695641	-1.39742428349148	3.79622504086273	2.03585353329355	1	1
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	2.18527604654162	-10.8809817559741	3.31239609008943e-13	1.22180095780156e-09	-3.70342037281093	4.46224274814973	-3.70342037281092	-3.70342037281092	2.01541854269683	0.418750985512448	1	1
TRINITY_DN105624_c0_g1_i1	rabl2b	Chr03	79920463	79920463	1.07965259601111	-5.36582265133997	1.86409480755805e-08	1.02406229640742e-05	-3.13926178735364	2.97872922541779	-2.28938097244993	-2.39342475731973	1.81317576078401	0.0166490004800705	1	1
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	3.50721201324287	-6.7459764438214	1.61765171799849e-10	2.61048545992007e-07	-2.16037009344142	5.57226242696335	-1.1197888241535	-2.71335723934916	4.19545388353445	0.835009224384966	1	1
TRINITY_DN105980_c0_g1_i1	NA	NA	NA	NA	1.0144600593039	-9.66099737876695	3.43743576929484e-08	1.64360354746653e-05	-3.70342037281093	-3.70342037281093	-3.70342037281092	-3.70342037281092	2.12878710050939	2.88614525196002	1	1
TRINITY_DN107978_c0_g1_i1	NA	NA	NA	NA	1.1015285669947	-3.02559456462832	2.95236446961085e-05	0.00564667041521127	-0.950179688858316	2.75128629969351	-1.33547456210047	-0.551208509370991	1.46150703468119	0.99066093925046	1	1
TRINITY_DN108208_c0_g1_i3	NA	NA	NA	NA	2.79926399266926	-4.35187100031681	2.01857714273006e-07	7.89691845837731e-05	-1.58251288804101	4.76481836911691	0.43803075101531	-1.13505754465618	3.0994758403555	2.05008300484892	1	1
TRINITY_DN108709_c0_g1_i2	NA	NA	NA	NA	3.39369965360471	-3.29527502208231	5.68826473241173e-06	0.0012997433220431	0.52196431419879	4.87899357953758	1.94367137028998	-0.473323254264196	4.401272167662	2.73580566581564	1	1
TRINITY_DN109666_c0_g1_i1	NA	NA	NA	NA	4.07052746849722	-5.88984376164966	1.56968578802445e-07	6.33270110106116e-05	-2.73473983658004	5.86817064767375	0.715719006779145	-3.70342037281092	4.59917609113252	4.04772382293486	1	1
TRINITY_DN109929_c0_g1_i1	NA	NA	NA	NA	2.4275704831014	-5.00404950389517	3.00489294413135e-10	4.31035198985952e-07	-1.58251288804101	3.89747273018156	-0.548333953631206	-2.71335723934916	3.51267272739608	2.30865347521418	1	1
TRINITY_DN110103_c0_g1_i1	pex5l	Chr05	95332243	95332243	1.45016407409951	-4.51894681668785	1.00413214977841e-06	0.000290125659264122	-2.73473983658004	3.39025017897514	-1.33547456210047	-1.54898243720389	2.11784282735364	-0.10420666657176	1	1
TRINITY_DN110679_c0_g1_i1	bag6	Chr08	53607974	53607974	1.22266199578737	-5.95171396931798	1.34060408749442e-08	8.44253598514781e-06	-3.13926178735364	3.02236181567728	-2.08000856403196	-3.70342037281092	2.25402489583586	-0.168656097567496	1	1
TRINITY_DN111028_c0_g1_i1	NA	NA	NA	NA	2.4717820599003	-6.42407207182636	1.85112334198073e-08	1.02406229640742e-05	-3.13926178735364	4.51283214309612	-1.33547456210047	-3.70342037281092	3.12702768618066	0.503919000372359	1	1
TRINITY_DN111232_c1_g1_i1	NA	NA	NA	NA	0.211261419055896	-3.98756689357355	7.52835027174131e-05	0.0131339191902946	-1.94101851473848	1.81802989893187	-1.89720619161608	-3.70342037281092	1.33490941104191	-1.17601479675792	1	1
TRINITY_DN111236_c0_g1_i1	NA	NA	NA	NA	2.26491450963621	-3.70729311494795	7.22229267256346e-07	0.000222287512528798	0.095684920299533	4.1095610237676	-1.22360476115277	-0.399428212174393	2.44125864031681	2.05008300484892	1	1
