gid	gname	chr	start	end	logCPM	logFC.M43.F43	PV.M43.F43	FDR.M43.F43
TRINITY_DN123052_c0_g1_i2	klhl2	Chr01	42086166	42086166	0.568385900723849	-4.35823595698092	0.000195161246021632	0.0311053294585094
TRINITY_DN127464_c0_g2_i1	phka2-like	Chr02	40416520	40416520	1.09006505105565	9.73045497856211	2.89047747876738e-14	1.2438688083629e-10
TRINITY_DN129651_c0_g4_i5	rabif	Chr02	49235169	49235169	4.05275436633246	-4.78063051365808	2.4349598479232e-06	0.000598768221651209
TRINITY_DN133823_c0_g1_i1	ppp1r12a-like	Chr03	53118381	53118381	0.674075303160025	-4.94728298271132	2.33030745946463e-07	8.59550551476809e-05
TRINITY_DN164909_c0_g1_i1	Xetrov90008423m	Chr03	76840268	76840268	3.46603672025438	-4.27980168395956	1.8982206766987e-06	0.00048526789972634
TRINITY_DN105624_c0_g1_i1	rabl2b	Chr03	79920463	79920463	1.07965259601111	-5.36582265133997	1.86409480755805e-08	1.02406229640742e-05
TRINITY_DN117740_c0_g1_i2	nek2-like.1	Chr05	11114175	11114175	2.20279343384389	-4.41431856888882	4.02726606757809e-07	0.000140518932249819
TRINITY_DN110103_c0_g1_i1	pex5l	Chr05	95332243	95332243	1.45016407409951	-4.51894681668785	1.00413214977841e-06	0.000290125659264122
TRINITY_DN180950_c0_g1_i1	nod1	Chr06	72837948	72837948	0.20955516375985	5.55722284957724	5.4174069867323e-06	0.00124890578926275
TRINITY_DN133823_c0_g2_i1	top2b-like	Chr06	76506454	76506454	3.53717162012539	-4.93036722041758	7.51220468483197e-07	0.000228194264661602
TRINITY_DN110679_c0_g1_i1	bag6	Chr08	53607974	53607974	1.22266199578737	-5.95171396931798	1.34060408749442e-08	8.44253598514781e-06
TRINITY_DN127614_c0_g1_i2	ccdc97	Chr08	58072232	58072232	1.47422448768523	3.85651530725445	0.000223142496468082	0.0347080678241318
TRINITY_DN135315_c3_g6_i1	otub2	Chr08	67105474	67105474	0.568343520228436	-3.5442950755277	4.66104448156501e-05	0.0085353311002843
TRINITY_DN118245_c0_g1_i2	LOC549067	Chr09	36972293	36972293	4.24610128583244	-5.45330357340315	4.55423924474901e-10	5.7870261565933e-07
TRINITY_DN128130_c4_g11_i1	gpatch8-like	Chr10	9394413	9394413	0.432205306765719	9.03424679707905	4.27935187482383e-12	1.22769850453279e-08
TRINITY_DN129649_c3_g2_i1	rbl1	Chr10	33877655	33877655	2.09748037834576	-4.57956823536334	9.80766421817242e-05	0.0167704562988882
TRINITY_DN135526_c5_g1_i1	arpc2	scaffold_131	10018	10018	0.768095484626247	-5.06279172790636	7.48641570042534e-06	0.00163812926597443
TRINITY_DN136663_c13_g1_i1	LOC101730718-like	scaffold_208	63567	63567	3.67539544059427	-6.0399648191103	4.08357465037151e-10	5.54936302487329e-07
TRINITY_DN124263_c0_g1_i1	saal1	scaffold_383	54807	54807	3.45254320529722	-3.6041621214123	2.60339771860716e-07	9.41036299311398e-05
TRINITY_DN122293_c0_g1_i1	bod1	scaffold_448	278	278	1.52194920815165	-4.44242592206222	4.00765540522492e-06	0.000949336353788141
TRINITY_DN135585_c3_g1_i1	NA	NA	NA	NA	1.66758421409262	-4.81925671379268	1.257586521953e-07	5.32309573718468e-05
TRINITY_DN69456_c0_g1_i2	NA	NA	NA	NA	3.86876295533126	-5.78238808864523	3.73528416580069e-08	1.72223280644596e-05
TRINITY_DN121465_c5_g2_i1	NA	NA	NA	NA	2.30725292819734	7.687641105446	2.62530214877245e-16	2.25951004937682e-12
TRINITY_DN119751_c0_g1_i3	NA	NA	NA	NA	1.82761839023197	-4.77535919178401	1.09214907314625e-06	0.000299992436900385
TRINITY_DN129466_c1_g5_i1	NA	NA	NA	NA	0.233306605614897	-4.47361118791635	4.37321999037918e-05	0.00806546715368503
TRINITY_DN128648_c7_g8_i1	NA	NA	NA	NA	0.703840818552915	-4.01788120610811	0.000108198359244271	0.0181407898421238
TRINITY_DN132305_c3_g4_i3	NA	NA	NA	NA	1.32963443452448	-4.67466761330821	2.05005376652634e-06	0.000518944982859904
TRINITY_DN123396_c0_g1_i4	NA	NA	NA	NA	4.46717314723681	-3.97524881797288	1.42293955899393e-09	1.36075183011938e-06
TRINITY_DN125119_c3_g6_i1	NA	NA	NA	NA	2.61726617153692	-3.39187511895146	1.55180620876402e-06	0.000403629768602677
