gid	gname	chr	start	end	logCPM	logFC.M23.F23	PV.M23.F23	FDR.M23.F23	Am2_274	Am2_275	Am4_271	Am4_272	Am5_273	Am5_274	average	ward.D
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	2.37046623995646	-11.0748720340392	3.00887468601801e-09	1.47850084321553e-05	2.74030594254001	-3.72554452717215	4.58689921618203	-3.72554452717215	-3.72554452717215	-3.72554452717215	0	0
TRINITY_DN115817_c2_g3_i1	NA	NA	NA	NA	3.36426772817616	-5.1216388298672	4.60637443197585e-06	0.0113174013419215	4.69069235375826	-3.72554452717215	4.96270988941975	-2.350315742401	1.45930729441158	0.742378686203097	0	0
TRINITY_DN119076_c0_g1_i1	NA	NA	NA	NA	0.723098311889117	-5.43995677462972	1.14177347267995e-06	0.00391086204847125	0.698209186841355	-3.20471492258178	2.93057158380098	-3.11072776616411	-2.07298761352228	-2.2604462955813	0	0
TRINITY_DN122692_c0_g1_i5	capn9	Chr05	42322566	42322566	1.53525536021443	2.93372326172546	1.52838754139889e-05	0.0341372304587539	-0.608933698752877	2.80277382039016	-0.856357841518325	2.86908503867704	-0.0484344779711326	-0.193859138707767	0	0
TRINITY_DN122783_c1_g1_i2	sptlc1	Chr01	126819515	126819515	2.17288280503097	-4.53480993913089	1.86238879618595e-05	0.0381308586112439	4.46088322503626	-3.72554452717215	0.866849628072345	-0.560363804777663	0.727515916980694	-0.827074977873244	0	0
TRINITY_DN128445_c0_g1_i1	NA	NA	NA	NA	0.989336375164767	-5.79067593303985	1.41794226270774e-06	0.00391086204847125	1.24105263703753	-2.82284565585289	3.16589798697921	-2.350315742401	-2.67455413686297	-3.72554452717215	0	0
TRINITY_DN129504_c3_g3_i1	NA	NA	NA	NA	1.95954610262012	-8.7851325112613	1.38053829628668e-09	1.13061484671558e-05	4.08701666482914	-3.20471492258178	2.51529045883349	-3.72554452717215	-2.67455413686297	-3.72554452717215	0	0
TRINITY_DN129842_c2_g12_i1	NA	NA	NA	NA	0.569778153161555	-9.22548128595269	8.77976407816695e-16	2.15710023636484e-11	0.228125774425511	-3.72554452717215	1.62994279159715	-3.72554452717215	2.15429337885755	-3.72554452717215	0	0
TRINITY_DN133769_c11_g8_i1	NA	NA	NA	NA	5.97329868310104	-14.697605578686	5.5419773737988e-08	0.000226934736828105	-3.72554452717215	-3.72554452717215	0.47161014092795	-3.72554452717215	8.55224976702742	-3.72554452717215	0	0
TRINITY_DN135249_c0_g1_i1	zdhhc1	Chr04	51809224	51809224	3.74950525748538	-12.4689709238509	9.64135449588545e-10	1.13061484671558e-05	-3.72554452717215	-3.72554452717215	4.33190500552535	-3.72554452717215	5.91566203723998	-3.72554452717215	0	0
TRINITY_DN169273_c0_g1_i1	tec	Chr01	29623054	29623054	0.535568904245407	-3.9095348524707	1.43260850812981e-06	0.00391086204847125	1.42544791957258	-1.87407315580289	2.2399784614128	-2.68099165527942	-0.939840299934135	-1.749289246176	0	0
TRINITY_DN50226_c0_g1_i1	NA	NA	NA	NA	1.93293718455682	10.6298791729095	1.86256527741913e-09	1.14403415752276e-05	-3.72554452717215	3.63238150929007	-3.72554452717215	-3.72554452717215	-3.72554452717215	3.34937319989802	0	0
