gid	gname	chr	start	end	logFC.XY43.XX43	abslogFC.XY43.XX43	bias	tau	tissue
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.25029612	0.25029612	unbias	0.48457286	Brain_mean
TRINITY_DN100034_c0_g1_i1	myo9a	Chr03	82351034	82351034	-0.308220086	0.308220086	unbias	0.156573961	G46_F_mean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.287648268	1.287648268	unbias	0.455835556	Ovary_mean
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.994444919	0.994444919	unbias	0.408639329	Ovary_mean
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	0.198804439	0.198804439	unbias	0.802280257	Brain_mean
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-0.418171006	0.418171006	unbias	0.459221931	Ovary_mean
TRINITY_DN100132_c0_g1_i2	NA	NA	NA	NA	0.031109366	0.031109366	unbias	0.522244786	G46_M_mean
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343	0.284541343	unbias	0.250670296	Ovary_mean
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.379938795	0.379938795	unbias	0.43879131	Brain_mean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-1.159534132	1.159534132	unbias	0.472032646	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.134339371	0.134339371	unbias	0.262335873	G46_M_mean
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.326822689	0.326822689	unbias	0.375960092	Testis_mean
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	-0.489764091	0.489764091	unbias	0.430530854	G31_mean
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205	0.196229205	unbias	0.315592516	G46_M_mean
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	0.7622727	0.7622727	unbias	0.345277235	G31_mean
TRINITY_DN100376_c0_g2_i1	nkx6-2	Chr07	12176665	12176665	0.355412316	0.355412316	unbias	0.598050901	Liver_mean
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.647253317	0.647253317	unbias	0.515305525	Ovary_mean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	-0.412198171	0.412198171	unbias	0.378138338	Brain_mean
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331	1.051464331	unbias	0.547874968	G43_M_mean
TRINITY_DN100418_c0_g3_i1	NA	NA	NA	NA	0.528491455	0.528491455	unbias	0.490338924	G43_M_mean
TRINITY_DN100549_c0_g1_i1	cndp2	scaffold_21	1670075	1670075	-0.013124011	0.013124011	unbias	0.380726878	Brain_mean
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	0.359103315	0.359103315	unbias	0.401678381	G46_M_mean
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	-0.577164179	0.577164179	unbias	0.465736002	G43_F_mean
TRINITY_DN100595_c0_g1_i1	gde1	Chr09	25932397	25932397	-0.151644677	0.151644677	unbias	0.156980954	Brain_mean
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	0.031080099	0.031080099	unbias	0.348450255	G23_mean
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508	0.15914508	unbias	0.194444628	Ovary_mean
TRINITY_DN100681_c0_g1_i1	ocel1	Chr01	99481568	99481568	0.05654699	0.05654699	unbias	0.115938334	Brain_mean
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	-0.728611331	0.728611331	unbias	0.427145038	G23_mean
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.189640414	0.189640414	unbias	0.400208459	G27_mean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	0.022417693	0.022417693	unbias	0.133099765	G43_M_mean
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	0.048341254	0.048341254	unbias	0.26436211	G46_M_mean
TRINITY_DN100754_c0_g1_i1	cyth2	Chr10	15271968	15271968	0.373020773	0.373020773	unbias	0.583992164	G46_M_mean
TRINITY_DN100779_c0_g1_i1	atat1	Chr08	52476494	52476494	1.180885876	1.180885876	unbias	0.6313903	G27_mean
TRINITY_DN100784_c0_g2_i1	NA	NA	NA	NA	0.204159669	0.204159669	unbias	0.63010744	G31_mean
