gid	gname	chr	start	end	logFC.XY43.XX43	abslogFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343	0.284541343	unbias	0.250670296	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205	0.196229205	unbias	0.315592516	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331	1.051464331	unbias	0.547874968	G43_M_mean	0.2178	0.4114	1.8887
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508	0.15914508	unbias	0.194444628	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231	0.077297231	unbias	0.482394987	G27_mean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	0.219652679	0.219652679	unbias	0.568551038	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	nsun3-like	Chr02	17600060	17600060	0.334089705	0.334089705	unbias	0.608105373	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	0.172738488	0.172738488	unbias	0.456256144	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.200778845	0.200778845	unbias	0.155105807	G23_mean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	0.035816107	0.035816107	unbias	0.246994246	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.507119141	0.507119141	unbias	0.42239493	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	0.389292808	0.389292808	unbias	0.389206888	Brain_mean	0.0979	0.1516	1.5493
TRINITY_DN101821_c0_g1_i1	NA	NA	NA	NA	0.157261097	0.157261097	unbias	0.72321634	Brain_mean	0.1315	0.1055	0.8024
