gid	gname	chr	start	end	logFC.XY43.XX43	
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.25029612	unbias
TRINITY_DN100034_c0_g1_i1	myo9a	Chr03	82351034	82351034	-0.308220086	unbias
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.287648268	unbias
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.994444919	unbias
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	0.198804439	unbias
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-0.418171006	unbias
TRINITY_DN100132_c0_g1_i2	NA	NA	NA	NA	0.031109366	unbias
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343	unbias
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.379938795	unbias
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-1.159534132	unbias
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.134339371	unbias
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.326822689	unbias
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	-0.489764091	unbias
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205	unbias
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	0.7622727	unbias
TRINITY_DN100376_c0_g2_i1	nkx6-2	Chr07	12176665	12176665	0.355412316	unbias
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.647253317	unbias
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	-0.412198171	unbias
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331	unbias
TRINITY_DN100418_c0_g3_i1	NA	NA	NA	NA	0.528491455	unbias
TRINITY_DN100549_c0_g1_i1	cndp2	scaffold_21	1670075	1670075	-0.013124011	unbias
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	0.359103315	unbias
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	-0.577164179	unbias
TRINITY_DN100595_c0_g1_i1	gde1	Chr09	25932397	25932397	-0.151644677	unbias
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	0.031080099	unbias
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508	unbias
TRINITY_DN100681_c0_g1_i1	ocel1	Chr01	99481568	99481568	0.05654699	unbias
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	-0.728611331	unbias
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.189640414	unbias
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	0.022417693	unbias
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	0.048341254	unbias
TRINITY_DN100754_c0_g1_i1	cyth2	Chr10	15271968	15271968	0.373020773	unbias
TRINITY_DN100779_c0_g1_i1	atat1	Chr08	52476494	52476494	1.180885876	unbias
TRINITY_DN100784_c0_g2_i1	NA	NA	NA	NA	0.204159669	unbias
TRINITY_DN100788_c0_g1_i1	pls1	Chr05	116352087	116352087	-0.871550145	unbias
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231	unbias
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.429677951	unbias
