gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433	average	ward.D
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	3.49509793126803	-5.96559314950411	2.46794890656283e-09	2.03597823665928e-06	-1.77173577887466	5.47543463825331	-0.246192132901697	-3.20289213099189	4.18980600943596	1.84683664286896	1	1
TRINITY_DN102894_c0_g1_i2	morc2	Chr01	131453682	131453682	2.82529329382471	-5.96238863813705	7.47954059505882e-11	1.45145849791112e-07	-1.77173577887466	4.7331240081742	-1.03209543394565	-3.82634330580618	3.29660972042868	2.3775078098859	1	1
TRINITY_DN102894_c0_g2_i1	NA	NA	NA	NA	2.27198677295773	-5.98565962184565	6.13716061773338e-07	0.000181054857345118	-3.82634330580618	4.22460276451576	-1.03209543394565	-3.82634330580618	3.0287934861088	0.509674746372142	1	1
TRINITY_DN103798_c0_g1_i1	kctd9	Chr03	106568067	106568067	3.33511700930618	-5.75607044845203	4.78373678203092e-09	3.58633041588881e-06	-1.96693487655332	5.32025248996117	-0.192131578495248	-2.76898862435396	4.01662579979307	1.61542266081644	1	1
TRINITY_DN103834_c0_g4_i1	Xetrov90022714m	Chr09	3340566	3340566	0.0290045784711145	-3.18113693348614	0.000230245589864082	0.0336474326581944	-1.44623963533523	0.672177272582801	-3.82634330580618	-1.56815837588026	1.13842008964015	0.629240506482942	1	1
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	16477067	16477067	3.032561976919	-4.18073346728027	6.71344834468044e-08	2.81458570437472e-05	0.371261354489224	4.81671194702959	0.0955430903894034	-1.41371122792215	3.80611349424229	2.0462110613559	1	1
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	2.14714956429648	-10.9479931527165	2.57180207054049e-13	9.39589516457177e-10	-3.82634330580618	4.38436576822013	-3.82634330580618	-3.82634330580618	2.0235884740073	0.424078216740378	1	1
TRINITY_DN105624_c0_g1_i1	usp13	Chr05	95267617	95267617	1.10176125195465	-5.36144301578978	1.54395785400179e-08	8.58373438222647e-06	-3.21685527078948	2.95987915280418	-2.32723753028405	-2.43585822116468	1.82098066106861	0.0195711206815738	1	1
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	3.54060344902582	-6.76576742398193	1.46510076047079e-10	2.34178042801749e-07	-2.19273970609795	5.60522713603616	-1.13034424314039	-2.76898862435396	4.20551275015303	0.842209046968936	1	1
TRINITY_DN105980_c0_g1_i1	NA	NA	NA	NA	1.00904611084476	-9.79150762359923	1.28308743910843e-07	4.82554090702339e-05	-3.82634330580618	-3.82634330580618	-3.82634330580618	-3.82634330580618	2.13714031338617	2.89758394103867	1	1
