gid	gname	chr	start	end	logCPM	logFC.M46.F46	logFC.M46.SR46	logFC.SR46.F46	PV.M46.F46	PV.M46.SR46	PV.SR46.F46	FDR.M46.F46	FDR.M46.SR46	FDR.SR46.F46
TRINITY_DN57850_c0_g1_i1	siglec1	Chr01	8069004	8069004	0.186149332922437	-0.212913348170884	7.88773283058234	-8.10064617875322	0.832717785431094	0.00126811198972953	0.0010903733932486	0.909367571345976	0.180279672302622	0.0122051003978267
TRINITY_DN98773_c0_g2_i1	smu1	Chr01	75505026	75505026	1.24365113952882	1.31783351271606	6.55950546453161	-5.24167195181555	0.0141314215234844	9.05820572411871e-09	6.94442436643071e-06	0.06453520141478	7.85971140124135e-06	0.000165007129681299
TRINITY_DN52336_c0_g1_i1	ska1	Chr01	191661376	191661376	0.452534772804894	8.53481433111277	-0.0286856845215722	8.56350001563434	5.10891403999474e-11	0.968629004059407	1.1067359902238e-09	1.25175855879637e-09	1	6.35817299589077e-08
TRINITY_DN33369_c0_g1_i1	trim2	Chr01	45903183	45903183	5.47957413810823	-4.58432839164759	-0.0870089387045039	-4.49731945294308	3.05739776895317e-39	0.837909881540342	6.88859367005254e-16	4.29794972403176e-37	1	8.93493208863567e-14
TRINITY_DN45107_c0_g2_i1	ksr2	Chr01	156474255	156474255	3.03965446761485	-12.2327486310215	0	-12.2327486310215	4.19830412776656e-46	1	8.48392407091415e-19	7.04279511779934e-44	1	1.47228263032009e-16
TRINITY_DN133071_c2_g6_i2	mmrn1	Chr01	68973451	68973451	3.4774625766342	1.19979273042262	3.10758348911059	-1.90779075868797	0.0176125027699157	4.09917588977163e-05	0.00885794882218234	0.0764241088462475	0.0118560417142901	0.0621343382886568
TRINITY_DN129466_c1_g3_i1	Xetrov90003513m	Chr01	175019242	175019242	4.64932008871731	-3.76694159942476	-0.0244454930275291	-3.74249610639724	1.13670496475613e-23	0.958431861330135	2.28404267696636e-10	7.8150019202619e-22	1	1.5045383738352e-08
TRINITY_DN132659_c0_g1_i2	ccdc92	Chr01	152187591	152187591	6.52825217323792	-4.59139345114435	0.201117217112922	-4.79251066825727	2.53358367282312e-27	0.694574173180826	3.80966299700593e-12	2.22134376164627e-25	1	3.24786717431357e-10
TRINITY_DN46536_c0_g1_i1	bmpr1b	Chr01	66712593	66712593	1.88609181311604	-2.22400967175818	0.843214361952407	-3.06722403371059	0.00133954868601044	0.374069017664286	0.005338944559646	0.00888665003587679	1	0.0424333107878624
TRINITY_DN94938_c0_g2_i1	cxxc4	Chr01	63487626	63487626	0.337725575223346	-3.80219217642912	0.426356795075076	-4.22854897150419	3.94452379428785e-09	0.664331818022893	3.59208514597077e-05	7.55373304685427e-08	1	0.000694755100138835
TRINITY_DN133064_c1_g5_i1	LOC100487567-like	Chr01	69722063	69722063	0.385631956266956	8.65977482459574	0.630612731314244	8.02916209328149	1.21137117868749e-05	0.658516790691031	0.00012784952768555	0.000130431035384311	1	0.0020782155459635
TRINITY_DN99366_c0_g2_i1	zdhhc21	Chr01	111993185	111993185	5.31844578696402	-6.00683348774101	-0.849003243633831	-5.15783024410717	9.82616525662691e-11	0.396286421895479	0.000385537643202118	2.33922229283352e-09	1	0.00519062799138304
TRINITY_DN4687_c0_g1_i1	LOC100124862	Chr01	30840173	30840173	5.93378548331841	8.28588192632404	-1.48892922875126	9.7748111550753	1.01173049484038e-05	0.310821617983642	2.1680167648594e-06	0.000110543527753663	1	5.96216457422482e-05
TRINITY_DN96776_c0_g2_i1	med26	Chr01	100077708	100077708	5.95909219812147	14.5671476071762	8.83799000772484	5.7291575994514	2.85182788629928e-08	0.0015886318714625	0.0160839787127868	4.8129138231354e-07	0.213768683324122	0.0967075642413031
TRINITY_DN91264_c0_g1_i2	cbwd2	Chr01	116760953	116760953	5.06327607793148	-3.69056246997931	-0.283269395764281	-3.40729307421503	3.97692424328889e-30	0.476553754445687	9.12602647042249e-12	4.05147144671572e-28	1	7.40768400242713e-10
