gid	gname	chr	start	end	logCPM	logFC.M31.F31	PV.M31.F31	FDR.M31.F31	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313	average	ward.D
TRINITY_DN100586_c0_g2_i1	ppapdc3	Chr08	6269516	6269516	0.589547605742079	-9.2103638113077	7.05477331448293e-11	2.73100353251227e-07	-3.50764686032182	-3.50764686032182	-3.50764686032182	1.69443267845324	2.57924927190566	-3.50764686032182	2.01836628935627	-3.50764686032182	-3.50764686032182	0	0
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	1.79710591276444	-10.4544380891429	1.57125826622762e-12	7.09632608303934e-09	2.15471827925644	-3.50764686032182	-3.50764686032182	2.92427244334411	4.2516840740003	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	0	0
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.592867935941989	8.84361578966814	7.89871923436561e-16	5.35098734532098e-12	-3.50764686032182	1.63271859996647	1.43139142274775	-3.50764686032181	-3.50764686032182	1.11807543788518	-3.50764686032182	1.22117169683601	1.44830341470721	0	0
TRINITY_DN118329_c0_g1_i1	NA	NA	NA	NA	5.04625929072448	-1.21267529202225	2.364647825484e-05	0.0347959213060565	5.33898590183505	4.23870783032357	3.66266181571724	5.46273872841696	5.80178706534986	4.66298684398756	5.72110065650661	4.53558187057118	4.60229328655696	0	0
TRINITY_DN119122_c0_g3_i1	NA	NA	NA	NA	1.52678921767284	9.82818944365033	7.48401312680188e-07	0.00202169307150371	-3.50764686032182	2.75051720665126	2.75858778790501	-3.50764686032181	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	3.55040543513788	0	0
TRINITY_DN123125_c6_g5_i7	NA	NA	NA	NA	8.90232710308495	-1.27361259477216	2.9032173349084e-05	0.039335691670674	9.14137859027465	8.00584491280206	8.53407336384298	9.48655361231779	10.1867977358041	8.42724295526111	8.61085477206631	7.7322141775586	8.14638790031531	0	0
TRINITY_DN123655_c6_g3_i1	NA	NA	NA	NA	0.53856642721282	6.25648997651388	8.20673990203734e-07	0.00202169307150371	-3.50764686032182	-3.50764686032182	1.05023843247487	-3.50764686032181	-2.81661849583206	1.76115125598473	-2.90534156011332	1.71932960213332	1.86213941293533	0	0
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	0.491371924568741	8.73604694351323	3.00184506673874e-14	1.62687995236973e-10	-3.50764686032182	0.799283875438941	0.58193924086897	-3.50764686032181	-3.50764686032182	1.84513696942526	-3.50764686032182	1.3421614860217	1.46899334462024	0	0
TRINITY_DN127464_c0_g2_i1	ppp1r16b	Chr10	31910171	31910171	1.05908362649657	9.33865760374002	2.13761175034834e-18	1.93083344036465e-14	-3.50764686032182	2.29727233511259	1.84164178920477	-3.50764686032181	-3.50764686032182	1.62522694520309	-3.50764686032182	1.51389497886646	1.90831918688814	0	0
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.29617679290142	9.5867338032994	3.0360943510499e-20	4.11360423623751e-16	-3.50764686032182	2.08233140203358	1.9430178790123	-3.50764686032181	-3.50764686032182	1.80375517430174	-3.50764686032182	2.29139427868504	2.3375629114631	0	0
TRINITY_DN127864_c2_g3_i1	NA	NA	NA	NA	2.18862071288975	-4.48876361766938	3.36914745372706e-06	0.00608647718007306	4.04824315136828	-0.646805244673066	-0.288977441534478	4.41440979032286	-2.35133582454446	-2.05703019950649	-0.291929788703776	-1.01211440102595	-1.45861965934807	0	0
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	0.923902117136621	3.13996971545265	1.06120949849564e-06	0.0023963879158529	-1.36234936593553	1.96751051200449	2.14375371745479	-0.680731867037984	-1.10137218796908	1.30763279371511	-2.15465028515198	0.654284358729369	1.52934025972314	0	0
TRINITY_DN130830_c3_g7_i1	NA	NA	NA	NA	0.545021215980702	-7.81550697842363	2.87726289307064e-06	0.0055691478483163	-3.50764686032182	-3.50764686032182	-2.83542980589929	2.99871066432719	2.30739181466969	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	0	0
TRINITY_DN131077_c0_g9_i1	LOC100158581	Chr03	83721211	83721211	1.48038004736131	3.4851685011888	2.43974649352378e-05	0.0347959213060565	-1.36234936593553	-1.39780437357786	1.22143580690242	-0.680731867037984	-2.00007968587696	2.77480565756942	-0.556091458913916	3.28270580225742	1.87769749322319	0	0
TRINITY_DN133092_c2_g8_i1	NA	NA	NA	NA	0.539042810569677	-9.17027320210881	1.90391346772929e-07	0.000573247190539203	2.70262135746704	-3.50764686032182	-3.50764686032182	2.65948615057025	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	0	0
TRINITY_DN135864_c0_g11_i1	mbd2	Chr01	190347040	190347040	2.19816136857388	7.03868497120946	1.47221677625464e-23	3.98941302029483e-19	-3.50764686032182	2.77120494465024	3.22099511459531	-1.49051734419519	-3.50764686032182	2.96513213014977	-3.50764686032182	3.22992122972992	2.83664913521639	0	0
TRINITY_DN136216_c2_g2_i1	NA	NA	NA	NA	2.35571087755974	10.6756008203566	1.87896235988649e-05	0.0299506600165907	-3.50764686032182	5.19124948107867	3.09449860355096	-3.50764686032181	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032182	0	0
TRINITY_DN136267_c1_g13_i1	NA	NA	NA	NA	8.13565296929644	-1.11458601175696	1.94336617900007e-06	0.00405087205527262	8.77075698709808	7.6818110674392	7.66070134361335	8.7661814820698	8.59676149332931	7.51213584586219	8.43192748170569	7.29205226068363	7.48890857466608	0	0
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	0.642788854215698	2.7203444924865	3.59386740682026e-05	0.0463745804714359	-1.79282701801755	1.50679542620562	1.53893481143153	-2.69047875345418	-0.244300737417383	1.18406759017198	-1.14444104721549	0.986762615333288	1.12236099075797	0	0
TRINITY_DN54546_c0_g2_i1	NA	NA	NA	NA	0.110049054151815	8.31615397742577	9.55720338902237e-06	0.016186318589733	-3.50764686032182	-3.50764686032182	-3.50764686032182	-3.50764686032181	-3.50764686032182	1.55213985547025	-3.50764686032182	1.51389497886646	1.67891708098664	0	0
TRINITY_DN79823_c0_g1_i1	NA	NA	NA	NA	0.925803622282979	9.19481317099835	2.16881634144281e-08	7.34632315255214e-05	-3.50764686032182	-3.50764686032182	0.110225023634455	-3.50764686032181	-3.50764686032182	2.34083719375566	-3.50764686032182	2.82976697424785	1.66104635106997	0	0
