gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB	A17MB	A16MB	A15MB	A15FB	A10FB	A8MB	average	ward.D
TRINITY_DN100108_c0_g1_i1	NA	NA	NA	NA	3.05619287456801	-7.44457293632639	2.08899832701401e-40	9.45515459445325e-37	-2.17171992517065	-2.80095690039957	-1.61823566771774	4.22693747429202	4.93041818721238	-1.450419068777	1	1
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	0.979895683460091	-7.01022821203456	6.48521762046179e-17	1.02394799371442e-14	-2.80095690039957	-2.80095690039957	-2.80095690039957	1.96721614254047	2.90756677165959	-1.77707622703155	1	1
TRINITY_DN100580_c0_g1_i1	NA	NA	NA	NA	0.204980827881843	-8.46339785202124	1.18688750674362e-14	1.36577559409477e-12	-2.80095690039957	-2.80095690039957	-2.80095690039957	1.26512127763935	2.06889092337627	-2.80095690039957	1	1
TRINITY_DN100616_c0_g1_i1	NA	NA	NA	NA	1.35903119530657	-7.41130235353082	6.08374801418926e-21	2.01483347343095e-18	-2.17171992517065	-2.80095690039957	-2.80095690039957	2.43743643754551	3.25866038948792	-2.20003011048788	1	1
TRINITY_DN100672_c0_g1_i1	NA	NA	NA	NA	0.271768822406041	-8.53730332685993	4.11972246633839e-15	5.10864397344072e-13	-2.80095690039957	-2.80095690039957	-2.80095690039957	1.36226239052033	2.12467019773049	-2.80095690039957	1	1
TRINITY_DN100825_c0_g1_i1	NA	NA	NA	NA	1.59866389301329	-6.35469104721051	2.27938529922387e-21	7.83560336342059e-19	-1.73504450210317	-2.80095690039957	-1.61823566771774	2.95614377180411	3.29558038380823	-2.80095690039957	1	1
TRINITY_DN100825_c1_g1_i1	tnnc2	Chr10	16545216	16545216	1.00123493554437	-7.77420802899736	8.34539347808997e-19	1.81308680547591e-16	-2.17171992517065	-2.80095690039957	-2.80095690039957	2.05701278695576	2.90756677165959	-2.80095690039957	1	1
TRINITY_DN100851_c0_g2_i1	NA	NA	NA	NA	1.83721411566865	-7.41676442747551	2.72218641699901e-25	1.84816041316105e-22	-1.73504450210317	-2.80095690039957	-2.80095690039957	3.08980251561047	3.63984915569607	-2.20003011048788	1	1
TRINITY_DN100875_c0_g1_i1	NA	NA	NA	NA	1.5524166516234	-8.39502057951241	8.79428934499454e-24	3.91518878265601e-21	-2.80095690039957	-2.80095690039957	-2.40314147493158	2.54480651281114	3.52016663830437	-2.80095690039957	1	1
TRINITY_DN101171_c0_g1_i1	NA	NA	NA	NA	0.979046253261876	-5.79461450246474	3.92338086027839e-13	3.72542846232798e-11	-2.80095690039957	-2.80095690039957	-1.26238482142761	1.96721614254047	2.87541092957533	-2.80095690039957	1	1
TRINITY_DN101453_c0_g1_i1	NA	NA	NA	NA	0.0806338251564757	-8.32476768282208	4.37262992475497e-14	4.60261670025468e-12	-2.80095690039957	-2.80095690039957	-2.80095690039957	1.21398245387655	1.88731419101035	-2.80095690039957	1	1
TRINITY_DN101696_c0_g4_i1	NA	NA	NA	NA	0.128227533530694	-5.5915572012335	8.71576486132038e-11	6.96158900996699e-09	-2.80095690039957	-2.11299845615924	-2.40314147493158	0.98910916522984	2.01086800385563	-2.20003011048788	1	1
TRINITY_DN101747_c0_g1_i1	NA	NA	NA	NA	1.83959091842473	-5.92390046073885	1.62427727124175e-20	4.74306428549594e-18	-1.73504450210317	-1.2986229717185	-2.40314147493158	2.87616396151913	3.72351508836585	-1.450419068777	1	1
TRINITY_DN101753_c0_g1_i1	NA	NA	NA	NA	1.13882823143066	8.47013567515145	0.000813395829914723	0.0455451351608127	-2.80095690039957	3.32921714000035	-2.80095690039957	-2.80095690039957	-2.80095690039957	1.5660116348782	2	2
TRINITY_DN101899_c0_g1_i2	kpna1	scaffold_327	13306	13306	1.40946416754933	-7.00724989250706	3.36880700751219e-21	1.14358364878761e-18	-2.80095690039957	-2.80095690039957	-2.40314147493158	2.60559100944216	3.23351148808567	-1.77707622703155	1	1
TRINITY_DN101927_c0_g2_i1	NA	NA	NA	NA	0.85496117403147	-7.61685334789613	5.00696071820756e-17	8.04580072333507e-15	-2.17171992517065	-2.80095690039957	-2.80095690039957	1.73301046551953	2.84252200402747	-2.80095690039957	1	1
TRINITY_DN101935_c0_g2_i1	NA	NA	NA	NA	2.12508073546826	3.0509646861138	8.55467828118105e-07	6.03427008005283e-05	2.5144288066801	2.0922646432765	2.53430521857232	0.199032851935602	-0.844311435463953	3.09109491530897	2	2
TRINITY_DN102067_c0_g1_i1	crim1	Chr05	43608681	43608681	0.103574472003436	7.27007107410861	0.000134017494375144	0.00823419252204928	1.64373503611687	-2.80095690039957	-0.0535254841910628	-2.80095690039957	-2.80095690039957	0.886538693061772	2	2
TRINITY_DN103197_c0_g1_i2	NA	NA	NA	NA	1.79001733030737	-7.09214874566474	3.0802720428122e-22	1.21233257777755e-19	-2.17171992517065	-2.80095690039957	-1.83560912172104	2.62529641504404	3.81959337207211	-2.80095690039957	1	1
TRINITY_DN103690_c0_g1_i1	NA	NA	NA	NA	0.835106251829067	5.52414008065152	0.000598752454246958	0.0340887220125464	-1.4002877341572	-2.11299845615924	2.2464353265184	-2.13799620247451	-2.80095690039957	2.15175190181968	2	2
TRINITY_DN103814_c0_g1_i1	NA	NA	NA	NA	1.56759663487637	-7.24062873569282	6.09274143382629e-22	2.23595377187055e-19	-2.80095690039957	-2.80095690039957	-1.83560912172104	2.64473629222232	3.47795955791406	-2.80095690039957	1	1
TRINITY_DN10390_c0_g1_i1	NA	NA	NA	NA	1.18290847354278	-6.38774124916619	1.20520339009291e-18	2.55700847380883e-16	-2.17171992517065	-2.80095690039957	-2.40314147493158	2.41496910228886	2.95449537125579	-1.77707622703155	1	1
TRINITY_DN104435_c0_g4_i2	slc40a1	Chr09	39469907	39469907	0.516216554767997	-6.59767416700186	2.77841427171061e-14	3.00611140943606e-12	-2.80095690039957	-2.80095690039957	-2.09164617812348	1.6584635389634	2.3284369858261	-2.80095690039957	1	1
TRINITY_DN104559_c0_g1_i2	NA	NA	NA	NA	1.82187699760895	-6.28916541341886	2.04202457814269e-21	7.20198200891183e-19	-1.73504450210317	-2.80095690039957	-2.40314147493158	2.97162110611233	3.65886539370779	-1.18424054411856	1	1
TRINITY_DN105825_c0_g1_i2	NA	NA	NA	NA	0.129495570659296	-6.11414322750482	2.55958818030591e-12	2.22790821194127e-10	-2.17171992517065	-2.80095690039957	-2.40314147493158	1.49671253212677	1.71632115555346	-2.80095690039957	1	1
