gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB
TRINITY_DN117646_c0_g2_i1	asah1	Chr01	33488227	33488227	2.35663895378836	2.54472430429056	0.000492810491661119	0.0285966976966688
TRINITY_DN200018_c0_g1_i1	LOC100485437	Chr01	67211793	67211793	0.1516134283135	-6.849095392613	1.22396386812556e-12	1.08980940218642e-10
TRINITY_DN121800_c0_g1_i2	hapln4	Chr01	101891688	101891688	1.13579663890169	2.62105921140498	0.000864359957972185	0.0481012774152677
TRINITY_DN87262_c0_g1_i1	LOC100486127-like	Chr01	116814354	116814354	0.829457987393314	-6.88705465486862	6.93191716109288e-17	1.08815071875029e-14
TRINITY_DN118778_c1_g1_i12	mamdc2	Chr01	117467899	117467899	3.2626788712526	-6.18402378031513	7.70541534784693e-34	2.30980755827542e-30
TRINITY_DN180006_c0_g1_i1	rec8	Chr01	127110813	127110813	0.854238100879141	-6.50134213691408	5.10006045802079e-15	6.26707429223849e-13
TRINITY_DN129581_c0_g1_i5	dcaf11	Chr01	127254242	127254242	4.07331271837248	-1.08394765206372	0.000540836725137916	0.030986293132005
TRINITY_DN78131_c0_g1_i1	twsg2	Chr01	127451015	127451015	0.769537186303195	-6.8675386527924	1.08029702525522e-16	1.62986812860312e-14
TRINITY_DN81743_c0_g3_i1	diablo	Chr01	153284825	153284825	0.205193001400472	-6.90607193558827	1.87685346656512e-13	1.84006171810501e-11
TRINITY_DN71326_c0_g2_i1	runx1	Chr02	9819664	9819664	0.98025179336161	-5.32895113517569	3.15808892793423e-14	3.40334210380594e-12
TRINITY_DN61917_c0_g2_i1	pnpla4-like	Chr02	29064471	29064471	0.921281166559725	-9.23756661064855	6.1588334121561e-21	2.01512577077016e-18
TRINITY_DN140209_c0_g1_i1	piga-like	Chr02	32957552	32957552	0.538810390272309	-6.15928409416485	2.485284995717e-13	2.41046016531024e-11
TRINITY_DN97526_c0_g2_i2	zc3h13	Chr02	131018375	131018375	1.19231115920866	-6.39028874952928	8.95089808714751e-18	1.59920749574122e-15
TRINITY_DN207325_c0_g1_i1	tspan31	Chr02	138418876	138418876	1.1762310349628	-5.34321182922217	5.14394582487284e-13	4.80048579952137e-11
TRINITY_DN94125_c0_g1_i1	LOC496972	Chr02	139142051	139142051	0.455234632262901	-8.73799926223319	4.03052933693913e-16	5.55619721843939e-14
