Tissue_specific_index	Tissue_name
TRINITY_DN143736_c0_g1_i1	0.89120611748349	Brain_fmean
TRINITY_DN115740_c0_g2_i1	0.960548973910792	Brain_fmean
TRINITY_DN127333_c1_g1_i5	0.804818356304769	G46_M_mean
TRINITY_DN116567_c0_g1_i1	0.744522144522145	Testis_mean
TRINITY_DN125436_c0_g1_i6	0.962396683896422	Brain_fmean
TRINITY_DN135409_c1_g3_i4	0.64581428521727	Brain_mmean
TRINITY_DN37970_c0_g1_i1	0.44266230223677	Brain_mmean
TRINITY_DN85219_c0_g1_i1	0.772079299216229	G23_mmean
TRINITY_DN203225_c0_g1_i1	0.976994862115969	Ovary_mean
TRINITY_DN120582_c1_g2_i1	0.689561790528201	Testis_mean
TRINITY_DN135828_c4_g29_i1	0.644509652049571	G27_mmean
TRINITY_DN127864_c0_g1_i2	0.704318778334526	G23_mmean
TRINITY_DN120367_c1_g1_i1	0.931570951078699	Brain_mmean
TRINITY_DN104004_c0_g1_i1	0.857600950118765	Brain_fmean
TRINITY_DN125523_c6_g3_i1	0.846804709703613	G23_mmean
TRINITY_DN125998_c1_g1_i4	0.704279975603088	Brain_mmean
TRINITY_DN24608_c0_g1_i1	0.612386660519441	G43_F_mean
TRINITY_DN105192_c0_g1_i2	0.649156094029794	G46_M_mean
TRINITY_DN123376_c1_g1_i2	0.699380945751543	Brain_fmean
TRINITY_DN99798_c0_g2_i1	1.02481375962857	Ovary_mean
TRINITY_DN126328_c0_g1_i1	0.772941796849252	Testis_mean
TRINITY_DN133014_c5_g4_i7	0.816315909784646	Brain_mmean
TRINITY_DN133363_c0_g1_i1	0.769780301898072	Brain_mmean
TRINITY_DN121799_c0_g1_i2	0.95825055187638	Brain_fmean
TRINITY_DN124678_c1_g2_i1	0.738823995248466	Brain_mmean
TRINITY_DN123791_c1_g1_i1	0.874958233321311	Brain_mmean
TRINITY_DN122558_c2_g3_i1	0.823760429983367	G43_F_mean
TRINITY_DN175633_c0_g1_i1	0.998623188405797	Ovary_mean
TRINITY_DN122565_c0_g2_i2	0.960867938645716	Liver_fmean
TRINITY_DN135798_c3_g12_i1	0.819740552735477	Brain_fmean
TRINITY_DN131116_c0_g9_i1	0.780644479661912	G23_mmean
TRINITY_DN110438_c1_g1_i1	0.936364265448758	Brain_fmean
TRINITY_DN69707_c0_g1_i1	0.519782992682311	Liver_mmean
TRINITY_DN121556_c12_g4_i1	0.946048365227029	Brain_fmean
TRINITY_DN155059_c0_g1_i1	0.541052866429361	G46_M_mean
TRINITY_DN122407_c3_g1_i3	0.797336662505202	G23_mmean
TRINITY_DN113089_c0_g1_i1	0.681422554983622	G43_M_mean
TRINITY_DN119009_c0_g2_i2	0.871465585220232	Brain_fmean
TRINITY_DN21989_c0_g1_i1	0.983328778354742	Brain_mmean
TRINITY_DN130448_c1_g3_i1	0.68720152817574	Brain_fmean
TRINITY_DN117798_c2_g1_i1	1.00593582472224	Ovary_mean
TRINITY_DN133934_c1_g2_i1	0.750972004574139	G23_fmean
TRINITY_DN132269_c11_g10_i1	0.94076062639821	Liver_mmean
TRINITY_DN205013_c0_g1_i1	0.991933149016806	G46_M_mean
TRINITY_DN37812_c0_g1_i1	0.642459439528024	Testis_mean
TRINITY_DN118987_c0_g1_i1	0.565331241703874	Ovary_mean
TRINITY_DN211431_c0_g1_i1	0.657958241527647	Brain_fmean
TRINITY_DN115175_c0_g1_i4	0.989727792308437	Brain_fmean
TRINITY_DN106470_c0_g1_i1	0.742465453749954	Ovary_mean
TRINITY_DN131353_c0_g2_i1	0.846679815910585	G23_fmean
TRINITY_DN83780_c0_g1_i1	1.03652714741973	Ovary_mean
TRINITY_DN119494_c0_g1_i1	1.02439422571268	Ovary_mean
TRINITY_DN132231_c0_g2_i2	0.538070785466233	Liver_fmean
TRINITY_DN134708_c12_g1_i1	0.518184268048028	Brain_fmean
TRINITY_DN131970_c0_g8_i2	0.928566913205639	Brain_mmean
TRINITY_DN127557_c7_g5_i1	0.813682995216889	Liver_fmean
TRINITY_DN128222_c5_g1_i3	0.617622708456535	Brain_fmean
TRINITY_DN119214_c0_g1_i2	0.913336846377022	G43_M_mean
TRINITY_DN94212_c0_g1_i1	0.498600823045268	G31_mmean
TRINITY_DN102061_c0_g3_i1	0.705843387745446	Brain_mmean
TRINITY_DN82693_c0_g1_i1	0.855072463768116	G46_M_mean
TRINITY_DN121765_c1_g1_i1	0.961873638344227	Brain_fmean
TRINITY_DN128623_c0_g3_i1	0.951851721425972	Brain_mmean
TRINITY_DN127626_c0_g3_i1	0.503141161733874	Testis_mean
TRINITY_DN125646_c0_g1_i1	0.801638829907551	G43_M_mean
TRINITY_DN112186_c0_g1_i2	0.837343599615014	G23_fmean
TRINITY_DN128434_c0_g1_i6	0.713946317689018	Brain_fmean
TRINITY_DN107815_c0_g2_i1	0.882058076625814	Brain_fmean
TRINITY_DN102213_c0_g1_i1	0.850321683185533	G43_M_mean
TRINITY_DN114596_c0_g2_i1	0.827048618703987	Ovary_mean
TRINITY_DN120511_c0_g1_i3	0.87732060707683	Brain_fmean
TRINITY_DN123999_c6_g2_i3	0.83436376936043	Brain_mmean
TRINITY_DN159474_c0_g1_i1	0.925147928994083	Ovary_mean
TRINITY_DN76006_c0_g1_i1	0.962180267965895	Brain_fmean
TRINITY_DN120770_c0_g2_i1	0.749881991327735	G46_F_mean
TRINITY_DN61254_c0_g1_i1	0.822430881585811	Ovary_mean
TRINITY_DN127274_c0_g2_i1	0.82840391074856	G23_mmean
TRINITY_DN140163_c0_g1_i1	0.785056446821153	G31_mmean
TRINITY_DN103614_c0_g2_i2	1.01372416786487	Brain_mmean
TRINITY_DN8881_c0_g1_i1	0.768501185573443	G46_F_mean
TRINITY_DN131416_c0_g1_i2	0.624344703770198	Brain_mmean
TRINITY_DN203490_c0_g1_i1	0.693410744524461	Brain_fmean
TRINITY_DN124239_c5_g1_i4	0.6832638781705	Brain_fmean
TRINITY_DN123498_c2_g1_i1	0.453866852958679	G43_M_mean
TRINITY_DN121164_c1_g2_i1	0.471539385993663	Brain_mmean
TRINITY_DN161249_c0_g1_i1	0.695291902071563	Brain_mmean
TRINITY_DN117706_c0_g1_i1	0.908649578339991	Brain_fmean
TRINITY_DN117634_c1_g1_i1	0.457776038354288	G43_F_mean
TRINITY_DN136318_c3_g3_i1	0.957477267349491	G31_fmean
TRINITY_DN126356_c1_g3_i1	0.846294176626649	Brain_mmean
TRINITY_DN136578_c3_g3_i1	0.597647459938629	G43_M_mean
TRINITY_DN72899_c0_g1_i1	0.884884844216932	Ovary_mean
TRINITY_DN61650_c0_g1_i1	0.912428298279159	G31_fmean
TRINITY_DN43882_c0_g1_i1	0.920599506734965	Brain_fmean
TRINITY_DN129347_c0_g6_i2	0.948882288228823	Brain_mmean
TRINITY_DN169041_c0_g1_i1	0.956485821166485	G27_mmean
TRINITY_DN106031_c0_g1_i1	0.708576677083683	G43_M_mean
TRINITY_DN115163_c0_g1_i1	0.728736801706518	G27_fmean
TRINITY_DN125613_c5_g2_i2	0.527954759660697	G46_M_mean
TRINITY_DN133680_c0_g2_i1	0.949243986254296	Ovary_mean
TRINITY_DN120182_c0_g1_i4	0.521191186122832	Testis_mean
TRINITY_DN125473_c4_g2_i1	0.968497883504838	Brain_mmean
TRINITY_DN200103_c0_g1_i1	0.952734829592685	G31_mmean
TRINITY_DN123330_c0_g1_i1	0.576286549707602	G23_fmean
TRINITY_DN113795_c0_g1_i4	0.583987470212282	Brain_mmean
TRINITY_DN87787_c0_g1_i1	0.972310258548791	G43_M_mean
TRINITY_DN128975_c2_g1_i4	0.72764328341403	Ovary_mean
TRINITY_DN136539_c9_g1_i2	0.880376107492812	Ovary_mean
TRINITY_DN128408_c3_g6_i1	0.743196269605765	Brain_fmean
TRINITY_DN106096_c0_g1_i1	0.866411889596603	Ovary_mean
TRINITY_DN127931_c1_g1_i5	0.650793650793651	Testis_mean
TRINITY_DN118561_c1_g1_i1	0.901303081404262	Ovary_mean
TRINITY_DN102559_c0_g3_i1	0.73355667225014	G23_fmean
TRINITY_DN123863_c0_g1_i1	0.762919343326196	G46_M_mean
TRINITY_DN135224_c9_g6_i1	0.582543772712256	G27_mmean
TRINITY_DN136458_c4_g3_i1	0.854092100863996	Brain_mmean
TRINITY_DN53268_c0_g1_i1	0.980717435347396	Brain_mmean
TRINITY_DN135322_c0_g2_i1	0.569112825944419	Brain_fmean
TRINITY_DN197055_c0_g1_i1	1.01454011065007	Brain_fmean
TRINITY_DN213402_c0_g1_i1	1.04318166766011	Ovary_mean
TRINITY_DN115885_c0_g2_i1	0.91605749486653	Brain_fmean
TRINITY_DN121957_c0_g1_i4	0.76351933505651	Ovary_mean
TRINITY_DN112444_c0_g1_i3	0.786140233474608	G23_mmean
TRINITY_DN132485_c2_g2_i9	0.606142441090813	G27_mmean
TRINITY_DN113630_c0_g1_i1	0.776642718892497	Testis_mean
TRINITY_DN190696_c0_g1_i1	0.568564920273349	Brain_mmean
TRINITY_DN75107_c0_g1_i1	1.01200252684776	Ovary_mean
TRINITY_DN131877_c0_g6_i1	0.939159821797535	Brain_mmean
TRINITY_DN159347_c0_g1_i1	0.940765688755157	Liver_mmean
TRINITY_DN127271_c1_g3_i7	0.766658526805768	G23_fmean
TRINITY_DN91229_c0_g2_i1	0.897075007240081	Liver_fmean
TRINITY_DN80682_c0_g1_i1	0.948755186721992	Brain_fmean
TRINITY_DN127075_c0_g2_i1	0.773525557011796	G27_mmean
TRINITY_DN120931_c0_g1_i5	0.500472891235016	Brain_mmean
TRINITY_DN124990_c0_g2_i1	0.932765185141347	Liver_fmean
TRINITY_DN110378_c0_g1_i1	0.850423728813559	G46_M_mean
TRINITY_DN130109_c5_g4_i1	0.801816364663451	G46_M_mean
TRINITY_DN128849_c0_g1_i1	0.92377862404169	Ovary_mean
TRINITY_DN114256_c0_g1_i1	0.732168717795029	Ovary_mean
TRINITY_DN111938_c0_g1_i1	0.620344635908838	Brain_mmean
TRINITY_DN114600_c0_g1_i1	0.331664257984074	G43_M_mean
TRINITY_DN90799_c0_g1_i1	0.573142377226716	G43_F_mean
TRINITY_DN115547_c0_g2_i1	0.605792682926829	Brain_mmean
TRINITY_DN104964_c0_g2_i1	0.821045197740113	G46_F_mean
TRINITY_DN119813_c0_g5_i1	0.629180448364572	Ovary_mean
TRINITY_DN119539_c0_g2_i1	0.809744408945687	G43_F_mean
TRINITY_DN127929_c0_g1_i1	0.913084452697205	Ovary_mean
TRINITY_DN154119_c0_g1_i1	0.828953936918539	Ovary_mean
TRINITY_DN102573_c0_g1_i1	0.797932514140823	Brain_mmean
TRINITY_DN141373_c0_g1_i1	0.953106115542664	Ovary_mean
TRINITY_DN146443_c0_g1_i1	0.769658290120995	G46_M_mean
