G23	M-bias	23_M-bias		TRINITY_DN93628_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN105647_c0_g2_i1			
G43	F-bias	43_F-bias		TRINITY_DN126089_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN105647_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN126089_c1_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN126754_c2_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132176_c6_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129860_c0_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN117920_c0_g1_i5			
G46	F-bias	46_F-bias		TRINITY_DN124922_c6_g7_i1			
Brain	M-bias	Br_M-bias		TRINITY_DN136241_c3_g1_i3			
Liver	F-bias	Li_F-bias		TRINITY_DN27005_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN127561_c4_g3_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN96380_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN128592_c11_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN134935_c0_g2_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN105647_c0_g2_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN122533_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN133894_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN129827_c5_g2_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN110205_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN110867_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN121035_c0_g2_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN112847_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN114230_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN128775_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN134057_c5_g4_i2			
Liver	F-bias	Li_F-bias		TRINITY_DN104464_c0_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN129628_c2_g2_i2			
Liver	F-bias	Li_F-bias		TRINITY_DN121738_c0_g2_i3			
Liver	F-bias	Li_F-bias		TRINITY_DN134360_c3_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN115794_c1_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN126754_c2_g1_i1			
Liver	F-bias	Li_F-bias		TRINITY_DN115604_c0_g3_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN128065_c4_g6_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN118885_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN133911_c4_g9_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN193423_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN131896_c3_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN129860_c0_g3_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN96922_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN130699_c6_g2_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN136241_c3_g1_i3			
Liver	M-bias	Li_M-bias		TRINITY_DN44500_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN122349_c0_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN132293_c0_g2_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN119631_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN132129_c0_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN124922_c6_g7_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN132176_c6_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN93628_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN131144_c0_g5_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN119671_c0_g2_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN120237_c0_g2_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN129698_c3_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN128547_c9_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN115622_c0_g2_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN113202_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN119647_c0_g2_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN117920_c0_g1_i5			
Liver	M-bias	Li_M-bias		TRINITY_DN127904_c4_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN129430_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN93825_c0_g1_i2			
Liver	M-bias	Li_M-bias		TRINITY_DN122892_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN121044_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN130177_c4_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN128940_c2_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN179330_c0_g1_i1			
Liver	M-bias	Li_M-bias		TRINITY_DN126089_c1_g1_i2			
Gonad	F-bias	Go_F-bias		TRINITY_DN105647_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN129860_c0_g3_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN115622_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN134935_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN122892_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN134360_c3_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN120237_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN117920_c0_g1_i5			
