gid	gene name	chr	start	end
TRINITY_DN129315_c0_g2_i1	sema4d	Chr01	125685068	125685068
TRINITY_DN128704_c0_g1_i1	mogs	Chr01	654078	654078
TRINITY_DN118790_c0_g2_i1	lrrtm1	Chr01	3694236	3694236
TRINITY_DN121671_c0_g1_i1	LOC101733139	Chr01	4854434	4854434
TRINITY_DN110309_c0_g1_i1	LOC101730429	Chr01	5360742	5360742
TRINITY_DN129538_c1_g1_i3	pank2-like	Chr01	6077607	6077607
TRINITY_DN129877_c1_g2_i2	ptpra	Chr01	6230782	6230782
TRINITY_DN22009_c0_g2_i1	oxt	Chr01	6308159	6308159
TRINITY_DN94880_c0_g1_i1	avp	Chr01	6322131	6322131
TRINITY_DN136052_c0_g1_i3	ubox5	Chr01	6358205	6358205
TRINITY_DN136052_c0_g2_i1	fastkd5	Chr01	6365286	6365286
TRINITY_DN121434_c0_g1_i2	lzts3	Chr01	6389111	6389111
TRINITY_DN110371_c0_g1_i1	gfra4	Chr01	7416468	7416468
TRINITY_DN129562_c0_g5_i1	atrn-like	Chr01	7483258	7483258
TRINITY_DN129590_c0_g1_i1	LOC100486685	Chr01	7605581	7605581
TRINITY_DN125182_c0_g2_i2	slc4a11	Chr01	7782056	7782056
TRINITY_DN134992_c0_g2_i5	paip2b	Chr01	8039015	8039015
TRINITY_DN108434_c0_g2_i2	siglec1	Chr01	8069004	8069004
TRINITY_DN120530_c0_g1_i1	LOC101732970	Chr01	8176111	8176111
TRINITY_DN129009_c2_g3_i1	LOC100486585	Chr01	8181594	8181594
TRINITY_DN100194_c0_g1_i1	vax2	Chr01	8250217	8250217
TRINITY_DN134209_c5_g3_i2	LOC100485993	Chr01	8342983	8342983
TRINITY_DN128994_c2_g4_i1	exoc6b-like	Chr01	8355256	8355256
TRINITY_DN131773_c3_g1_i3	dysf-like	Chr01	9051421	9051421
TRINITY_DN105513_c0_g1_i1	cdc25b	Chr01	9356036	9356036
TRINITY_DN123784_c6_g1_i1	spef1	Chr01	9437248	9437248
TRINITY_DN123232_c1_g1_i4	c20orf27	Chr01	9469931	9469931
TRINITY_DN130648_c3_g1_i1	hspa12b	Chr01	9492898	9492898
TRINITY_DN53312_c0_g1_i1	LOC100489054	Chr01	9594775	9594775
TRINITY_DN117710_c0_g1_i4	LOC100127651	Chr01	9648232	9648232
TRINITY_DN116724_c0_g7_i2	nat8b-like	Chr01	9901794	9901794
TRINITY_DN128978_c0_g1_i1	LOC100489358	Chr01	9910989	9910989
TRINITY_DN125378_c4_g1_i2	LOC100145252	Chr01	9931810	9931810
TRINITY_DN131182_c0_g1_i6	adam33	Chr01	9999783	9999783
TRINITY_DN133119_c1_g3_i2	dctn1	Chr01	10068970	10068970
