gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	PV.XY43.XX43	FDR.XY43.XX43	stage	sexbias
TRINITY_DN128948_c4_g2_i1	NA	NA	NA	NA	2.725005772	-11.53397417	7.95E-11	1.45E-07	G43	female
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	2.147149564	-10.94799315	2.57E-13	9.40E-10	G43	female
TRINITY_DN83270_c0_g2_i1	tbc1d2b	Chr03	81536627	81536627	1.534016171	-10.3240009	2.74E-17	3.50E-13	G43	female
TRINITY_DN105980_c0_g1_i1	NA	NA	NA	NA	1.009046111	-9.791507624	1.28E-07	4.83E-05	G43	female
TRINITY_DN93354_c0_g1_i1	NA	NA	NA	NA	0.769951562	-9.544639601	2.55E-07	8.69E-05	G43	female
TRINITY_DN97717_c0_g2_i1	NA	NA	NA	NA	0.220258976	-8.974105646	1.45E-06	0.000355691	G43	female
TRINITY_DN135643_c7_g7_i1	LOC100495666	Chr03	128127747	128127747	0.121861366	-8.855046793	3.69E-11	9.44E-08	G43	female
TRINITY_DN135526_c5_g2_i2	NA	NA	NA	NA	0.101145429	-6.919504177	6.51E-08	2.78E-05	G43	female
TRINITY_DN112124_c0_g2_i1	arl2bp	Chr04	53778260	53778260	0.065992743	-6.880641607	6.36E-09	4.52E-06	G43	female
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	3.540603449	-6.765767424	1.47E-10	2.34E-07	G43	female
TRINITY_DN135864_c0_g7_i1	NA	NA	NA	NA	0.996533863	-6.552700727	5.39E-11	1.15E-07	G43	female
TRINITY_DN120463_c0_g1_i1	NA	NA	NA	NA	1.97944824	-6.478661768	1.77E-09	1.56E-06	G43	female
TRINITY_DN111028_c0_g1_i1	fam172a	Chr01	171646628	171646628	2.51979108	-6.455165359	1.77E-08	9.31E-06	G43	female
TRINITY_DN127129_c2_g3_i1	NA	NA	NA	NA	2.486113374	-6.43400854	2.77E-08	1.29E-05	G43	female
TRINITY_DN126783_c1_g5_i3	LOC101734633	Chr10	16918626	16918626	0.979087459	-6.206898715	4.91E-09	3.59E-06	G43	female
TRINITY_DN97753_c0_g1_i1	NA	NA	NA	NA	3.495005051	-6.085931795	2.51E-08	1.21E-05	G43	female
TRINITY_DN127464_c0_g12_i1	xkrx	Chr08	17474508	17474508	0.474683989	-6.067623886	1.27E-09	1.30E-06	G43	female
