gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	stage	sexbias	tissue
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.385760103	2.41357018	3.19E-08	6.93E-05	G23	male	larva
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	4.516851438	2.449258295	2.00E-07	0.000368039	G23	male	larva
TRINITY_DN126986_c0_g1_i1	NA	NA	NA	NA	2.026286271	2.784696051	4.08E-09	9.74E-06	G23	male	larva
TRINITY_DN180929_c0_g1_i1	NA	NA	NA	NA	0.183389218	2.940168519	4.35E-06	0.006928188	G23	male	larva
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.507587627	3.278585741	2.26E-05	0.027012101	G23	male	larva
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.365772345	3.680715064	4.04E-06	0.006898153	G23	male	larva
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.415100346	4.069544525	1.33E-05	0.016673854	G23	male	larva
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.519170823	4.454926363	4.48E-18	1.19E-14	G23	male	larva
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.111484681	5.87534307	1.05E-05	0.014738995	G23	male	larva
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.087521257	7.828981595	8.47E-23	6.41E-19	G23	male	larva
TRINITY_DN127464_c0_g2_i1	slc35g2	Chr05	128370751	128370751	0.477693892	9.035609501	3.18E-19	9.50E-16	G23	male	larva
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.621642358	9.190524492	1.39E-21	6.63E-18	G23	male	larva
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.677978075	9.253532659	1.07E-22	6.41E-19	G23	male	larva
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.133710863	9.739059093	9.42E-21	3.21E-17	G23	male	larva
TRINITY_DN127055_c1_g5_i1	eif3b	Chr09	25242861	25242861	2.357891787	10.97699851	2.32E-38	2.77E-34	G23	male	larva
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.689486817	11.31412598	1.93E-50	4.60E-46	G23	male	larva
TRINITY_DN122692_c0_g1_i5	NA	NA	NA	NA	1.55768264	2.939391736	1.09E-05	0.024190272	G27	male	larva
TRINITY_DN50226_c0_g1_i1	NA	NA	NA	NA	1.951356661	10.63017146	1.72E-09	1.05E-05	G27	male	larva
TRINITY_DN126159_c0_g1_i2	NA	NA	NA	NA	4.184734852	1.378595501	4.71E-05	0.038618559	G31	male	larva
TRINITY_DN131565_c0_g8_i1	ap3s2	Chr03	98624121	98624121	4.567957501	1.827150365	1.62E-05	0.015380045	G31	male	larva
TRINITY_DN128124_c11_g2_i3	LOC100487364	Chr08	53092821	53092821	4.699986993	1.860845087	1.50E-05	0.014847721	G31	male	larva
TRINITY_DN142384_c0_g1_i1	NA	NA	NA	NA	1.321222997	1.874762712	8.94E-06	0.010109593	G31	male	larva
TRINITY_DN131032_c0_g4_i1	aldh1a1	Chr01	118420715	118420715	0.054518718	2.283147083	3.58E-06	0.00472945	G31	male	larva
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	0.677697969	2.825540979	1.38E-08	2.97E-05	G31	male	larva
TRINITY_DN121041_c1_g3_i1	NA	NA	NA	NA	0.007943004	3.142474327	6.52E-08	0.000129047	G31	male	larva
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	0.963226931	3.214450787	2.35E-10	6.98E-07	G31	male	larva
TRINITY_DN135426_c4_g1_i1	NA	NA	NA	NA	0.577889321	3.499155626	3.89E-07	0.000660907	G31	male	larva
TRINITY_DN131077_c0_g9_i1	NA	NA	NA	NA	1.52757718	3.57411607	1.66E-06	0.002466654	G31	male	larva
TRINITY_DN123655_c6_g3_i1	NA	NA	NA	NA	0.574515822	6.469563245	9.82E-09	2.33E-05	G31	male	larva
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.641850615	6.654841185	2.60E-23	1.54E-19	G31	male	larva
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.350963134	6.928488368	4.69E-28	3.72E-24	G31	male	larva
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.250453785	7.351232267	5.65E-39	1.34E-34	G31	male	larva
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	0.52717512	8.869108825	1.81E-22	8.62E-19	G31	male	larva
TRINITY_DN79823_c0_g1_i1	NA	NA	NA	NA	0.972966802	9.331398452	3.35E-10	8.84E-07	G31	male	larva
TRINITY_DN127464_c0_g2_i1	NA	NA	NA	NA	1.109214691	9.481740457	2.24E-29	2.66E-25	G31	male	larva
TRINITY_DN119122_c0_g3_i1	NA	NA	NA	NA	1.572252176	9.965101073	1.19E-07	0.000217196	G31	male	larva
TRINITY_DN142384_c0_g1_i1	NA	NA	NA	NA	1.764107813	2.131405655	0.000336921	0.0468284	G43	male	larva
TRINITY_DN124874_c1_g1_i1	rnf26	Chr07	86057804	86057804	4.634777705	2.164275802	5.38E-06	0.001166759	G43	male	larva
TRINITY_DN131565_c0_g5_i1	NA	NA	NA	NA	4.10031904	2.24757282	0.000273893	0.039131517	G43	male	larva
TRINITY_DN126159_c0_g1_i2	prkcd	Chr04	113363332	113363332	3.571094011	2.363546726	0.000341786	0.047247819	G43	male	larva
TRINITY_DN127436_c2_g1_i1	NA	NA	NA	NA	2.155605022	2.555936696	0.000236706	0.034394945	G43	male	larva
TRINITY_DN121490_c3_g1_i3	NA	NA	NA	NA	1.104769532	2.746749474	7.15E-05	0.012022079	G43	male	larva
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	0.936700073	2.793083223	3.93E-05	0.006880595	G43	male	larva
TRINITY_DN133889_c1_g7_i1	Xetrov90000522m	Chr01	20771304	20771304	5.318671832	2.850644919	0.000206158	0.03138267	G43	male	larva
TRINITY_DN119926_c0_g1_i1	stk16	Chr09	78602996	78602996	2.690324597	2.931996685	0.000159173	0.024821245	G43	male	larva
TRINITY_DN116044_c0_g2_i1	nxnl1	Chr03	124621269	124621269	1.275481359	3.022782272	0.000284699	0.040449391	G43	male	larva
TRINITY_DN133889_c1_g4_i7	NA	NA	NA	NA	4.936104637	3.176505723	3.59E-05	0.006374431	G43	male	larva
TRINITY_DN116044_c0_g1_i1	NA	NA	NA	NA	1.040033974	3.212457175	0.000351007	0.048261594	G43	male	larva
TRINITY_DN129533_c4_g2_i3	Xetrov90029798m	scaffold_622	10589	10589	4.147019781	3.318206368	0.000114792	0.018348075	G43	male	larva
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	0.973774169	3.489854998	1.03E-06	0.000260346	G43	male	larva
TRINITY_DN130291_c2_g1_i1	NA	NA	NA	NA	0.892675075	3.6131319	7.19E-07	0.000201945	G43	male	larva
TRINITY_DN127614_c0_g1_i2	NA	NA	NA	NA	1.480580082	3.781880606	0.000248985	0.035974753	G43	male	larva
TRINITY_DN125925_c5_g1_i1	fut8	Chr08	99166881	99166881	0.944798779	4.068266362	0.000213234	0.031730211	G43	male	larva
TRINITY_DN130234_c0_g4_i4	kcnj1	Chr07	66717587	66717587	3.826813049	4.777365441	0.000166273	0.025771301	G43	male	larva
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	3.447526869	4.984260611	6.16E-07	0.000181055	G43	male	larva
TRINITY_DN129279_c4_g4_i1	lmbrd1	Chr05	90577488	90577488	1.640831693	5.343337432	1.56E-09	1.45E-06	G43	male	larva
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.191856859	5.731592986	2.89E-06	0.000660014	G43	male	larva
TRINITY_DN27210_c0_g1_i1	NA	NA	NA	NA	2.745061041	6.845879572	6.84E-06	0.001410605	G43	male	larva
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.632990371	7.537763162	1.53E-12	4.34E-09	G43	male	larva
TRINITY_DN121465_c5_g2_i1	NA	NA	NA	NA	2.318275603	7.910859932	4.17E-17	3.55E-13	G43	male	larva
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.418464669	9.167846809	6.39E-13	2.04E-09	G43	male	larva
TRINITY_DN127093_c0_g4_i1	NA	NA	NA	NA	0.916920732	9.68734612	9.31E-08	3.72E-05	G43	male	larva
TRINITY_DN127464_c0_g2_i1	b3galt1	Chr09	64355431	64355431	1.085221133	9.864909739	3.96E-15	1.69E-11	G43	male	larva
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.108000475	9.888689647	1.57E-16	1.00E-12	G43	male	larva
TRINITY_DN127055_c1_g5_i1	NA	NA	NA	NA	1.124555895	9.904435091	2.10E-16	1.07E-12	G43	male	larva
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.219949089	11.02532958	1.76E-23	4.50E-19	G43	male	larva
TRINITY_DN123374_c0_g1_i4	NA	NA	NA	NA	6.110794119	1.000173869	0.003433436	0.0198547	G46	male	larva
TRINITY_DN130048_c0_g1_i3	NA	NA	NA	NA	3.828685089	1.001052016	0.007400887	0.037647463	G46	male	larva
TRINITY_DN130854_c0_g3_i2	NA	NA	NA	NA	2.908074046	1.001519993	0.010242584	0.049240609	G46	male	larva
TRINITY_DN135877_c0_g1_i10	NA	NA	NA	NA	5.471447261	1.003051063	0.001294601	0.008510449	G46	male	larva
TRINITY_DN127347_c4_g6_i1	cct5	Chr06	41005617	41005617	4.55620793	1.003125777	0.003859181	0.021886437	G46	male	larva
TRINITY_DN129158_c1_g1_i4	NA	NA	NA	NA	4.569778021	1.004122076	0.00296479	0.017501732	G46	male	larva
TRINITY_DN134885_c1_g1_i1	LOC496913-like	Chr02	62548925	62548925	4.381700267	1.004567207	0.003296425	0.019191442	G46	male	larva
TRINITY_DN118623_c0_g1_i1	npffr2	scaffold_51	971509	971509	6.144001713	1.006942537	0.004380182	0.024249973	G46	male	larva
TRINITY_DN120324_c0_g1_i2	NA	NA	NA	NA	3.467010128	1.009416218	0.009908722	0.047912648	G46	male	larva
TRINITY_DN127245_c0_g1_i2	NA	NA	NA	NA	5.363467402	1.011107908	0.003812899	0.021662305	G46	male	larva
TRINITY_DN133182_c5_g1_i2	NA	NA	NA	NA	3.811968194	1.015103844	0.004451025	0.024609402	G46	male	larva
TRINITY_DN108890_c1_g2_i1	NA	NA	NA	NA	4.823563916	1.016381701	0.008276121	0.041225233	G46	male	larva
TRINITY_DN95938_c0_g1_i1	lyz	Chr03	49462801	49462801	6.510225617	1.01677766	0.007623021	0.038547147	G46	male	larva
TRINITY_DN116432_c0_g1_i1	NA	NA	NA	NA	3.449323954	1.016801515	0.007029231	0.036006585	G46	male	larva
TRINITY_DN136469_c4_g1_i3	NA	NA	NA	NA	5.678635861	1.018411341	0.004163141	0.023317515	G46	male	larva
TRINITY_DN121583_c1_g3_i5	NA	NA	NA	NA	3.076954532	1.02109732	0.009914358	0.047930608	G46	male	larva
TRINITY_DN130339_c2_g2_i1	sh3pxd2b	Chr03	30631744	30631744	7.585142239	1.024048617	0.006894209	0.035420974	G46	male	larva
TRINITY_DN109892_c0_g1_i1	uqcc2	Chr05	49176538	49176538	4.583324077	1.024716537	0.003389316	0.019654251	G46	male	larva
TRINITY_DN130513_c3_g3_i2	NA	NA	NA	NA	4.286978436	1.025665582	0.007174307	0.03665937	G46	male	larva
TRINITY_DN113380_c0_g1_i1	NA	NA	NA	NA	4.539745353	1.028423069	0.006018278	0.031680428	G46	male	larva
