gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	stage	sexbias	tissue
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.090540209	-9.67313979	7.72E-21	3.07E-17	G23	female	larva
TRINITY_DN44748_c0_g1_i1	LOC100485703	Chr03	12772077	12772077	0.231404465	-8.732932111	4.34E-08	8.64E-05	G23	female	larva
TRINITY_DN119122_c0_g3_i1	pgam1	Chr07	24615072	24615072	1.724163079	-6.534232265	1.14E-05	0.015085894	G23	female	larva
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.584226794	-1.097520052	7.99E-06	0.011917518	G23	female	larva
TRINITY_DN133769_c11_g8_i1	NA	NA	NA	NA	5.99010944	-14.69636031	5.30E-08	0.000215267	G27	female	larva
TRINITY_DN135249_c0_g1_i1	NA	NA	NA	NA	3.766231112	-12.46771086	9.40E-10	1.04E-05	G27	female	larva
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	2.392589405	-11.07899817	2.80E-09	1.37E-05	G27	female	larva
TRINITY_DN129842_c2_g12_i1	NA	NA	NA	NA	0.586571544	-9.2243235	5.85E-16	1.42E-11	G27	female	larva
TRINITY_DN129504_c3_g3_i1	rcc1	Chr02	52871484	52871484	1.979549911	-8.785804526	1.28E-09	1.04E-05	G27	female	larva
TRINITY_DN128445_c0_g1_i1	ptdss1	Chr06	114987607	114987607	1.007676115	-5.790634169	1.32E-06	0.00357808	G27	female	larva
TRINITY_DN119076_c0_g1_i1	NA	NA	NA	NA	0.741192068	-5.440605749	1.10E-06	0.00357808	G27	female	larva
TRINITY_DN115817_c2_g3_i1	NA	NA	NA	NA	3.382996331	-5.123753947	4.43E-06	0.010799683	G27	female	larva
TRINITY_DN169273_c0_g1_i1	NA	NA	NA	NA	0.554295253	-3.909847463	1.27E-06	0.00357808	G27	female	larva
TRINITY_DN108146_c0_g2_i1	NA	NA	NA	NA	1.875273244	-10.62540849	2.03E-14	8.02E-11	G31	female	larva
TRINITY_DN100586_c0_g2_i1	oxa1l	Chr01	128276275	128276275	0.56291549	-9.303809237	3.95E-12	1.34E-08	G31	female	larva
TRINITY_DN133320_c3_g1_i1	NA	NA	NA	NA	0.013838902	-3.930341856	1.26E-05	0.01303298	G31	female	larva
TRINITY_DN127464_c0_g12_i1	ephx1	Chr05	4579485	4579485	0.930148462	-2.237850718	1.10E-05	0.011899068	G31	female	larva
TRINITY_DN124321_c3_g2_i1	NA	NA	NA	NA	1.908577667	-1.619459011	4.43E-06	0.005539786	G31	female	larva
TRINITY_DN100376_c0_g1_i1	mrpl54	Chr01	74389900	74389900	4.803597693	-1.422130079	1.95E-05	0.01717803	G31	female	larva
TRINITY_DN134864_c1_g1_i1	NA	NA	NA	NA	3.510653819	-1.384858036	2.11E-05	0.017898575	G31	female	larva
TRINITY_DN123125_c6_g5_i7	NA	NA	NA	NA	8.929647124	-1.230487193	1.94E-05	0.01717803	G31	female	larva
TRINITY_DN118329_c0_g1_i1	dpepe	Chr09	50885200	50885200	5.080236807	-1.182699898	2.42E-06	0.003381476	G31	female	larva
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	3.320442393	-1.156310247	6.03E-06	0.007161709	G31	female	larva
TRINITY_DN136267_c1_g13_i1	NA	NA	NA	NA	8.169267236	-1.077269856	6.45E-07	0.001021207	G31	female	larva
TRINITY_DN128948_c4_g2_i1	NA	NA	NA	NA	2.725005772	-11.53397417	7.95E-11	1.45E-07	G43	female	larva
TRINITY_DN103897_c0_g2_i1	NA	NA	NA	NA	2.147149564	-10.94799315	2.57E-13	9.40E-10	G43	female	larva
TRINITY_DN83270_c0_g2_i1	tbc1d2b	Chr03	81536627	81536627	1.534016171	-10.3240009	2.74E-17	3.50E-13	G43	female	larva
TRINITY_DN105980_c0_g1_i1	NA	NA	NA	NA	1.009046111	-9.791507624	1.28E-07	4.83E-05	G43	female	larva
TRINITY_DN93354_c0_g1_i1	NA	NA	NA	NA	0.769951562	-9.544639601	2.55E-07	8.69E-05	G43	female	larva
TRINITY_DN97717_c0_g2_i1	NA	NA	NA	NA	0.220258976	-8.974105646	1.45E-06	0.000355691	G43	female	larva
TRINITY_DN135643_c7_g7_i1	LOC100495666	Chr03	128127747	128127747	0.121861366	-8.855046793	3.69E-11	9.44E-08	G43	female	larva
TRINITY_DN135526_c5_g2_i2	NA	NA	NA	NA	0.101145429	-6.919504177	6.51E-08	2.78E-05	G43	female	larva
TRINITY_DN112124_c0_g2_i1	arl2bp	Chr04	53778260	53778260	0.065992743	-6.880641607	6.36E-09	4.52E-06	G43	female	larva
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	3.540603449	-6.765767424	1.47E-10	2.34E-07	G43	female	larva
TRINITY_DN135864_c0_g7_i1	NA	NA	NA	NA	0.996533863	-6.552700727	5.39E-11	1.15E-07	G43	female	larva
TRINITY_DN120463_c0_g1_i1	NA	NA	NA	NA	1.97944824	-6.478661768	1.77E-09	1.56E-06	G43	female	larva
TRINITY_DN111028_c0_g1_i1	fam172a	Chr01	171646628	171646628	2.51979108	-6.455165359	1.77E-08	9.31E-06	G43	female	larva
TRINITY_DN127129_c2_g3_i1	NA	NA	NA	NA	2.486113374	-6.43400854	2.77E-08	1.29E-05	G43	female	larva
TRINITY_DN126783_c1_g5_i3	LOC101734633	Chr10	16918626	16918626	0.979087459	-6.206898715	4.91E-09	3.59E-06	G43	female	larva
TRINITY_DN97753_c0_g1_i1	NA	NA	NA	NA	3.495005051	-6.085931795	2.51E-08	1.21E-05	G43	female	larva
TRINITY_DN127464_c0_g12_i1	xkrx	Chr08	17474508	17474508	0.474683989	-6.067623886	1.27E-09	1.30E-06	G43	female	larva
