gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	stage 
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	5.10328998	-4.898959793	5.91E-07	0.000561058	Brain
TRINITY_DN103776_c0_g1_i1	LOC101732853	Chr02	50935698	50935698	0.289199619	4.338190921	3.38E-09	7.07E-06	Brain
TRINITY_DN105687_c0_g2_i1	LOC100498263	Chr08	19459739	19459739	2.815365439	2.113178972	0.000314745	0.040222673	Brain
TRINITY_DN106674_c0_g1_i1	rplp0	Chr01	143013157	143013157	4.617012996	-4.608010479	6.96E-09	1.04E-05	Brain
TRINITY_DN107988_c0_g2_i2	Xetrov90017416m	Chr07	1849813	1849813	5.284544024	1.118114814	0.000324577	0.040222673	Brain
TRINITY_DN113301_c1_g1_i1	Xetrov90005045m	Chr02	63411130	63411130	7.439384855	1.081702758	1.73E-05	0.005487062	Brain
TRINITY_DN114180_c0_g1_i1	mfsd2b	Chr05	141397142	141397142	2.993695343	-1.210174356	8.38E-05	0.016192748	Brain
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	152363125	152363125	5.081367868	-1.163663187	1.15E-09	5.14E-06	Brain
TRINITY_DN115328_c0_g1_i1	LOC100487399	scaffold_19	216323	216323	5.486635632	1.074557375	4.17E-05	0.009467099	Brain
TRINITY_DN116138_c0_g2_i2	Xetrov90010951m	Chr04	36003417	36003417	3.818220731	4.001248832	0.000371301	0.04404131	Brain
TRINITY_DN117036_c0_g1_i1	tmem98	Chr10	10632374	10632374	3.715671381	2.22120942	0.000129283	0.020760848	Brain
TRINITY_DN117446_c0_g1_i2	ddx4	Chr01	178458618	178458618	2.394173411	1.972679308	7.35E-06	0.002839756	Brain
TRINITY_DN117550_c0_g1_i1	angptl7	Chr07	39873142	39873142	5.453453026	1.029010417	0.000101785	0.018007384	Brain
TRINITY_DN117646_c0_g2_i1	gmnc-like	Chr05	99423059	99423059	2.847303071	1.814374032	8.05E-05	0.016153141	Brain
TRINITY_DN120835_c1_g3_i1	h2afy	Chr03	16514310	16514310	2.603189319	-2.337806429	4.50E-06	0.002098806	Brain
TRINITY_DN120963_c0_g1_i2	LOC100494554	Chr02	26934936	26934936	2.850264448	3.613455654	1.85E-06	0.001207099	Brain
TRINITY_DN120967_c0_g2_i1	sulf1	Chr06	105111004	105111004	5.972215804	1.054838175	6.43E-05	0.013431482	Brain
TRINITY_DN120979_c0_g1_i3	enpp2	Chr06	122905717	122905717	8.912965524	1.497190939	2.99E-06	0.001735742	Brain
TRINITY_DN121102_c2_g1_i1	LOC100489129	Chr06	82005940	82005940	1.628652315	-2.654221103	0.000428799	0.048856725	Brain
TRINITY_DN121505_c1_g3_i1	elovl7	Chr01	176647919	176647919	3.328637283	1.5156442	8.26E-05	0.016192748	Brain
