gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	logFC.XY46.SR46	logFC.SR46.XX46	PV.XY46.XX46	PV.XY46.SR46	PV.SR46.XX46	FDR.XY46.XX46	FDR.XY46.SR46	FDR.SR46.XX46	Am2_463	Am2_464	Am4_461	Am5_461	Am6_462	Am6_464	average	ward.D
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.08018501067817	-1.42791256635005	-0.283591702178517	-1.14432086417153	1.8896763987987e-05	0.502162476254601	0.0160511661625886	0.000195996456835401	1	0.096261070892091	3.37845836533169	4.6185585635529	3.19803546202195	3.68876222490833	3.6140132605964	5.0092389476755	1	1
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.61001009648863	-1.9952221922024	0.292376946294514	-2.28759913849691	7.10970523571124e-08	0.548262392340628	4.40582758748906e-05	1.12893501318566e-06	1	0.000827598024499813	2.56665885483938	4.73902753061569	2.31120863302852	2.35822925154733	2.97995905583495	4.51059123484104	1	1
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.01985404715345	-1.35031559895141	0.00752515743363649	-1.35784075638505	5.89442832542286e-06	0.98433748323712	0.00162094911967766	6.74814115798979e-05	1	0.0166612636935564	4.40700072387979	5.86444286499607	4.22449666288785	4.4146028597787	4.60919429363908	5.66831272825698	1	1
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.57610344284706	-1.37795151089234	0.418215665651392	-1.79616717654373	0.00452980157332922	0.516432295345398	0.0125341411470672	0.0253017031251114	1	0.0803821310889941	1.00612379084952	3.13059378567188	2.75573730737125	1.60220857187422	1.69371305099386	3.57580863435813	1	1
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	6.11504738237683	1.1284560590076	0.0186400884199644	1.10981597058763	0.00420958753293875	0.969044143216253	0.0246352347577707	0.0237878107455573	1	0.129169360981332	6.05451539566131	4.71963505263126	6.21908240032446	6.38775577183465	6.82588084274619	5.67910954736037	2	2
TRINITY_DN100754_c0_g1_i1	LOC100493463	Chr03	35127454	35127454	3.90379185698843	1.28226348776961	-0.306654972016836	1.58891845978645	0.000454935972749411	0.474338578658459	0.000422911711645844	0.00344655108029915	1	0.00559257380195387	4.20302778655798	3.12077108532428	4.25930561444569	4.45228138237502	3.96208626281842	2.58982221608051	2	2
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	3.42754383819861	-1.49098125273421	-0.163324960720925	-1.32765629201329	2.85804906258849e-05	0.719640138247996	0.00935388046679241	0.000284695643652379	1	0.0649375659676408	2.86627460791118	4.26431473156646	2.77806757333661	2.89745444975025	2.55153241843731	4.1672673423862	1	1
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	6.00418048263634	-2.14433143773063	-0.623037493913504	-1.52129394381713	5.76913406480675e-11	0.122445452649122	0.00132874948166871	1.40333907154758e-09	1	0.0142762524403808	4.38141383542343	7.00965224097184	5.01589910537487	5.47134102059983	5.05269792850563	6.97218681759879	1	1
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.236538352130073	-4.74302648185821	0.76033068031335	-5.50335716217156	7.9600572186619e-10	0.554713078590215	1.65214241385396e-05	1.65327299061754e-08	1	0.000356081285289244	-1.89899907537857	2.32598314991517	-2.71885219610634	-2.75582760948309	-2.36382557292003	0.747751982905996	1	1
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.04284864649791	-1.61841716139344	0.308708430839172	-1.92712559223261	9.05186235497539e-05	0.570855688268673	0.00170794319860029	0.000808783097521638	1	0.0173078917531001	2.30154561247322	4.38411843888334	2.29064614017479	2.02330647698036	2.38526940237046	3.27820382471469	1	1
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.71349302057889	-2.69290576095081	-0.29623663533865	-2.39666912561216	3.04750642462368e-09	0.607004639630537	0.000402848090126231	5.90985979893098e-08	1	0.00537700525314567	0.471909345132302	3.84238153038458	0.905081732941017	1.52110045671561	1.8964193122616	3.92821065710487	1	1
TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	110018458	110018458	6.64749414826869	-11.4969434975184	-1.19228565628337	-10.304657841235	1.74476635873815e-101	0.164974912825363	9.04698201584598e-36	2.1942181727491e-97	1	9.17592438209263e-33	-2.27947310217359	8.23342252687147	-2.71885219610634	-1.67102509213352	-2.36382557292003	8.22830582869298	1	1
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.29995361505981	-1.46788763480577	0.481334076504994	-1.94922171131077	0.000864861939923716	0.410843456074329	0.00303514113982388	0.00607625908183277	1	0.0274209302977192	3.11424007411367	4.62204439564956	2.3009640205161	2.21084732627988	2.53293778058342	3.43002543565074	1	1
TRINITY_DN101111_c0_g1_i2	skap2	Chr06	33087585	33087585	1.86758603678353	-1.91022357606952	-0.281183865122315	-1.62903971094721	5.80779992204912e-06	0.603545851510723	0.00701254908713678	6.6702184310219e-05	1	0.0520293907491635	0.763603312428281	2.82660071879671	0.984044582048388	1.20524988683344	1.02407467969826	2.7768894965831	1	1
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.33177199294731	-2.3659967949218	0.15187455321795	-2.51787134813975	6.06952329071765e-08	0.79212871100663	0.000141137062225826	9.77967007098849e-07	1	0.00225246154130963	0.595748578723495	3.7688131585949	1.42242253480816	0.980986815874196	1.19938846475191	3.05525300621474	1	1
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	4.85175871744543	-0.867894306814612	-0.183294347728438	-0.684599959086174	0.00338448014054025	0.625392669103037	0.0972201521211134	0.019875424817854	1	0.317486531569754	4.6152461864213	5.36889984829103	4.34157296744425	4.65976449123759	4.46461176384965	5.31635824009859	1	1
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	5.21788345732571	-1.62331247085346	0.148170133578197	-1.77148260443166	8.71095160019138e-08	0.706283522849964	7.74653271776213e-05	1.35916783280405e-06	1	0.00134558557263227	4.46499570176816	6.26194557426416	4.3087155508272	4.3266430934919	4.63121470359397	5.90577708810213	1	1
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	6.2105450478025	1.10310509771255	0.28983166685519	0.813273430857361	0.00173810517014051	0.506582338990741	0.0673038851539945	0.0111922225395223	1	0.253076292329686	6.15231283952185	5.433808067767	6.46141603263548	6.25797901304666	6.92235251721463	5.45758901826343	2	2
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	3.39263269737428	-3.01117057253504	0.317070438869413	-3.32824101140445	1.02634860211951e-14	0.536718964217892	5.15942621649028e-08	3.71970029402161e-13	1	2.07631821115462e-06	1.58640888866999	4.91700107315057	1.45973954790572	1.3810248957518	1.9673797483572	4.37711581401053	1	1
TRINITY_DN101945_c0_g2_i1	NA	NA	NA	NA	0.527136647274777	2.48201460340327	0.873744716745302	1.60826988665796	0.00063984660683252	0.294993907919005	0.0656813166847886	0.00465800921998597	1	0.249285721632081	0.0200656936587366	-1.94374809395834	1.08302459614967	0.275381372928124	1.71035804311123	-0.73075438535086	2	2
