gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB	A17MB	A17FB	A16MB	A15MB	A15FB	A12FB	A10MB	A10FB	A8MB	average	ward.D
TRINITY_DN100108_c0_g1_i1	NA	NA	NA	NA	4.42347492103861	-5.48257303206476	1.48126063755195e-08	4.30141610907578e-07	-2.14124688619374	6.03774443071285	-2.76073336601957	-1.59255262929494	4.23732826325853	6.17322553989335	2.27983830241628	4.93829721858436	-1.42606264623299	1	1
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	2.3584540688887	-5.12387007898476	1.78597904120161e-08	5.12388083046269e-07	-2.76073336601957	4.02056047431221	-2.76073336601957	-2.76073336601957	1.97848862107517	4.02899043717538	0.620114757187685	2.91591955221857	-1.75010671133744	1	1
TRINITY_DN100580_c0_g1_i1	NA	NA	NA	NA	1.57279986827829	-5.29687704689148	1.04807528074076e-09	3.62528207021747e-08	-2.76073336601957	3.09551566362392	-2.76073336601957	-2.76073336601957	1.27709194463223	3.35727682871377	-0.121133712871129	2.07773895265782	-2.76073336601958	1	1
TRINITY_DN100616_c0_g1_i1	NA	NA	NA	NA	2.73256623331305	-5.24829490651388	1.13435799391109e-08	3.31882426822716e-07	-2.14124688619374	4.1487188237132	-2.76073336601957	-2.76073336601957	2.44839901551123	4.62168089605585	0.884217898311648	3.26687745060775	-2.16867773884217	1	1
TRINITY_DN100672_c0_g1_i1	NA	NA	NA	NA	1.80564713555621	-4.8507636935355	1.51061316819619e-06	3.6482022403376e-05	-2.76073336601957	3.5928204222359	-2.76073336601957	-2.76073336601957	1.37411509281721	3.4027926381346	0.467398733457097	2.13347562789552	-2.76073336601958	1	1
TRINITY_DN100697_c0_g2_i1	NA	NA	NA	NA	1.23578942468906	-5.66031135346319	1.26745161041431e-12	9.67361776676811e-11	-2.76073336601957	3.04621119233857	-2.76073336601957	-2.76073336601957	0.735391793568115	2.65681396323753	-0.711467750267295	1.95935751298097	-2.76073336601958	1	1
TRINITY_DN100697_c0_g3_i1	NA	NA	NA	NA	0.0622705125024994	-4.89447245427103	3.22358722529591e-10	1.25926139634056e-08	-2.14124688619374	1.33158367395653	-2.76073336601957	-2.76073336601957	0.212983515738366	1.77916020078898	-1.39925911009131	0.479915404221083	-2.76073336601958	1	1
TRINITY_DN100825_c0_g1_i1	NA	NA	NA	NA	3.2504016660277	-4.94143470794593	2.11429426850431e-07	5.42817030342602e-06	-1.70925234684164	4.83685404279418	-2.76073336601957	-1.59255262929494	2.96686341245296	5.15138574952644	1.62331859085865	3.30378499858212	-2.76073336601958	1	1
TRINITY_DN100825_c1_g1_i1	tnnc2	Chr10	16545216	16545216	2.30783273957691	-5.9484967241194	1.00096802882973e-14	1.81889380071554e-12	-2.14124688619374	3.96857875073793	-2.76073336601957	-2.76073336601957	2.06821803697393	3.97727455211311	-0.121133712871129	2.91591955221857	-2.76073336601958	1	1
TRINITY_DN100851_c0_g1_i1	NA	NA	NA	NA	1.43064639389395	-5.87120036575384	2.93632561016274e-13	2.77685445833807e-11	-2.76073336601957	3.08334661226315	-2.76073336601957	-2.76073336601957	0.806649067844981	3.14601023212407	-0.711467750267295	2.0490417558576	-2.76073336601958	1	1
