ID	Am2_274	Am2_275	Am4_271	Am4_272	Am5_273	Am5_274
TRINITY_DN100099_c0_g1_i1	102	101	38	30	3	4
TRINITY_DN100105_c0_g1_i1	76	78	35	49	75	58
TRINITY_DN100108_c0_g1_i1	10	12	16	14	17	8
TRINITY_DN100115_c0_g1_i1	935	790	868	868	836	640
TRINITY_DN100194_c0_g1_i1	147.801	166.961	158.722	180.298	205.875	207.756
TRINITY_DN100230_c0_g1_i1	17	11	9	16	11	9
TRINITY_DN100260_c0_g2_i1	1465	1310	1464	1386	877	626
TRINITY_DN100287_c0_g2_i1	4695	4616	6375	4282	4334	2900
TRINITY_DN100348_c0_g1_i1	5	9	5	7	4	3
TRINITY_DN100358_c0_g1_i1	525	573	330	404	297	334
TRINITY_DN100376_c0_g1_i1	1180	1217	555	1154	2555	1665
TRINITY_DN100418_c0_g1_i1	11	9	8	9	31	21
TRINITY_DN100514_c0_g1_i1	7	12	4	8	8	10
TRINITY_DN100638_c0_g2_i1	5206	5159	4110	4392	2629	2484
TRINITY_DN100830_c0_g1_i2	7	5	5	4	8	15
TRINITY_DN100835_c0_g1_i1	3449	3437	3065	3005	3110	2338
TRINITY_DN101042_c0_g2_i1	144.141	134.15	115.192	84.1704	88.2242	95.2978
TRINITY_DN101047_c0_g1_i2	84	84	136	70	49	50
TRINITY_DN101072_c0_g2_i2	2	1	3	6	16	7
TRINITY_DN101150_c0_g2_i1	1555	1843	1267	1784	968	681
TRINITY_DN101193_c0_g1_i1	316	425	238	195	116	177
TRINITY_DN101232_c0_g1_i1	404	383	272	295	432	321
TRINITY_DN101247_c0_g3_i1	32	49	41	34	45	56
TRINITY_DN101292_c0_g1_i3	88	105.025	64	75.0238	56	45
TRINITY_DN101326_c0_g1_i1	72	144	104	84	40	56
TRINITY_DN101356_c0_g1_i1	145	184	119	150	116	77
TRINITY_DN101361_c0_g1_i2	4105	3703	3520	4069	1425	1099
TRINITY_DN101369_c0_g1_i1	3	5	2	5	1	3
TRINITY_DN101457_c0_g1_i1	1268	1068	841	929	722	511.619
TRINITY_DN101488_c0_g2_i2	2141	1853	1638	1796	1513	1072
TRINITY_DN101542_c0_g1_i1	4180.08	4320.63	3566.64	3729.68	2292.01	1902.64
TRINITY_DN101606_c0_g1_i1	5	21	16	9	12	7
TRINITY_DN101610_c0_g2_i1	6386	6046	5439	5102	8013	6301
TRINITY_DN101728_c0_g2_i1	846.003	953.225	955.475	922.463	846.249	541.959
TRINITY_DN101751_c0_g1_i1	289	256	259	257	152	128
TRINITY_DN101798_c0_g1_i1	2	7	1	3	6	2
TRINITY_DN101809_c0_g1_i2	423	452	377	311	337	309
TRINITY_DN101821_c0_g1_i1	276	261	252	244	329	286
TRINITY_DN101833_c0_g1_i1	365	396	391	465	559	534
TRINITY_DN101895_c0_g1_i1	87	109	121	125	76	56
TRINITY_DN101903_c0_g2_i2	565	614	424	396	398	367
TRINITY_DN101930_c0_g2_i1	6	1	0	2	4	3
TRINITY_DN101930_c0_g4_i3	6	5	1	3	5	4
TRINITY_DN101966_c0_g1_i1	12	13	5	11	15	12
TRINITY_DN102026_c0_g1_i2	145	149	126	87	112	108
TRINITY_DN102065_c0_g1_i1	1199	1305	1220	1106	919	638
TRINITY_DN102078_c0_g1_i1	2192	1890	2030	2007	1604	1302
TRINITY_DN102094_c0_g3_i1	362	311	198	245	378	288
TRINITY_DN102159_c0_g1_i2	1129	933	958	972	1329	903
TRINITY_DN102162_c0_g1_i1	229	156	209	227	331	220
TRINITY_DN102167_c0_g1_i2	1478	1666	1062	1020	1020	914
TRINITY_DN102186_c0_g1_i2	377	147	312	244	300	200
TRINITY_DN102193_c0_g2_i1	323	436	343	312	292	331
TRINITY_DN102198_c0_g1_i3	13	9	6	5	10	9
TRINITY_DN102252_c0_g2_i1	441	387	204	243	416	350
TRINITY_DN102271_c0_g3_i1	0	3	1	2	5	2
