ID	Am2_314	Am2_315	Am2_316	Am2_318	Am4_314	Am4_317	Am5_311	Am5_312	Am5_313
TRINITY_DN100099_c0_g1_i1	49	98	54	32	41	31	3	8	36
TRINITY_DN100105_c0_g1_i1	43	44	29	36	27	28	38	45	32
TRINITY_DN100108_c0_g1_i1	14	12	7	8	8	4	11	8	11
TRINITY_DN100115_c0_g1_i1	182	323	128	185	362	330	405	527	444
TRINITY_DN100194_c0_g1_i1	74.4289	141.845	44.4242	55.8857	81.6126	102.867	87.1531	167.729	107.132
TRINITY_DN100230_c0_g1_i1	3	2	3	3	5	4	13	32	2
TRINITY_DN100260_c0_g2_i1	774	1201	876	596	542	571	599	783	621
TRINITY_DN100287_c0_g2_i1	3126	4841	3053	2133	4125	5157	3370	7206	5734
TRINITY_DN100348_c0_g1_i1	0	0	0	1	1	1	0	6	0
TRINITY_DN100358_c0_g1_i1	257	337	232	137	186	207	259	463	261
TRINITY_DN100376_c0_g1_i1	829	857	940	1460	2309	1195	1571	1331	1191
TRINITY_DN100418_c0_g1_i1	13	20	13	10	2	11	16	14	16
TRINITY_DN100514_c0_g1_i1	4	6	3	2	5	3	2	11	5
TRINITY_DN100638_c0_g2_i1	2316	3533	2622	2065	1985	2106	2176	3853	2390
TRINITY_DN100830_c0_g1_i2	9	4	2	1	2	6	4	9	6
TRINITY_DN100835_c0_g1_i1	2556	1625	1810	1238	934	1904	2261	4481	3210
TRINITY_DN101042_c0_g2_i1	41.0976	88.2256	44.0719	34.0231	67.1785	101.317	110.509	182.547	74.3118
TRINITY_DN101047_c0_g1_i2	52	71	48	15	50	85	35	68	45
TRINITY_DN101072_c0_g2_i2	2	0	0	2	5	2	7	13	1
TRINITY_DN101150_c0_g2_i1	211	580	358	142	190	314	280	475	290
TRINITY_DN101193_c0_g1_i1	197	219	210	88	85	193	215	346	394
TRINITY_DN101232_c0_g1_i1	214	294	126	190	274	174	215	361	230
TRINITY_DN101247_c0_g3_i1	9	16	6	3	13	6	7	8	3
TRINITY_DN101292_c0_g1_i3	64.0293	102	24.0359	17.0109	21	20	28.0233	71.0186	40
TRINITY_DN101326_c0_g1_i1	195	362	284	173	116	73	43	49	74
TRINITY_DN101356_c0_g1_i1	28	81	56	35	34	48	49	97	60
TRINITY_DN101361_c0_g1_i2	595	764	679	414	360	771	296	972	519
TRINITY_DN101369_c0_g1_i1	0	0	2	0	1	0	0	2	2
TRINITY_DN101457_c0_g1_i1	527	862	584.761	355	487.655	403	438	662	460
TRINITY_DN101488_c0_g2_i2	1546	1844	1308	916	1184	1071	1145	1422	990
TRINITY_DN101542_c0_g1_i1	1590.06	3092.91	1972.69	1329.2	1277.6	1353.43	1647.86	2173.4	1674
TRINITY_DN101606_c0_g1_i1	12	12	9	1	1	1	4	20	2
TRINITY_DN101610_c0_g2_i1	5926	8201	6004	3232	5236	5810	5211	7906	7153
