gid	gname	chr	logFC.XY43.XX43	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN103838_c0_g1_i1	cpox-like	Chr02	-4.180733467	0.745128049	Ovary_mean	female	0.0743	0.1212	1.6324	G43
TRINITY_DN105647_c0_g2_i1	NA	NA	-6.765767424	0.856680274	Ovary_mean	female	0.5406	0.7804	1.4436	G43
TRINITY_DN109666_c0_g1_i1	NA	NA	-5.915561205	0.808450443	Ovary_mean	female	0.1894	0.3577	1.8886	G43
TRINITY_DN109929_c0_g1_i1	steap1	Chr06	-5.041153273	0.830558631	Ovary_mean	female	0.0768	0.1115	1.4529	G43
TRINITY_DN110103_c0_g1_i1	NA	NA	-4.563973049	0.873793545	Ovary_mean	female	0.0936	0.1712	1.8293	G43
TRINITY_DN110679_c0_g1_i1	NA	NA	-6.009040831	0.890071596	Ovary_mean	female	0.1135	0.1386	1.2213	G43
TRINITY_DN111028_c0_g1_i1	fam172a	Chr01	-6.455165359	0.860872775	Ovary_mean	female	0.1157	0.1407	1.2163	G43
TRINITY_DN111236_c0_g1_i1	NA	NA	-3.74342717	0.796821699	Ovary_mean	female	0.0342	0.0568	1.6622	G43
TRINITY_DN112272_c0_g1_i1	NA	NA	-5.163111735	0.853146705	Ovary_mean	female	0.2092	0.3533	1.6892	G43
TRINITY_DN117125_c0_g1_i1	NA	NA	-3.841147209	0.777255934	Ovary_mean	female	0.0591	0.1002	1.6963	G43
TRINITY_DN118281_c0_g1_i1	NA	NA	-5.184766098	0.877922663	Ovary_mean	female	0.1003	0.1719	1.7135	G43
TRINITY_DN119288_c0_g1_i2	Xetrov90006124m	Chr02	-4.845393213	0.866339988	Ovary_mean	female	0.1552	0.1958	1.2617	G43
TRINITY_DN119494_c0_g1_i1	NA	NA	-4.676646489	0.794547002	Ovary_mean	female	0.1386	0.2642	1.9053	G43
TRINITY_DN120071_c0_g1_i2	NA	NA	-4.919958981	0.859855661	Ovary_mean	female	0.0762	0.1438	1.8866	G43
TRINITY_DN121071_c0_g1_i4	nkx2-4	Chr05	-4.420462375	0.843946808	Ovary_mean	female	0.0735	0.1288	1.7517	G43
TRINITY_DN121355_c0_g1_i4	NA	NA	-5.094790784	0.868801809	Ovary_mean	female	0.1721	0.2608	1.5154	G43
TRINITY_DN123296_c1_g1_i2	NA	NA	-2.752975065	0.772476373	Testis_mean	female	0.2322	0.308	1.3264	G43
TRINITY_DN123821_c0_g1_i1	NA	NA	-3.15109905	0.862053946	Ovary_mean	female	0.084	0.1512	1.8005	G43
TRINITY_DN124147_c1_g3_i2	NA	NA	-3.765222551	0.77973702	Ovary_mean	female	0.07	0.1015	1.4493	G43
TRINITY_DN124325_c0_g1_i1	NA	NA	-5.358873034	0.811035619	Ovary_mean	female	0.1505	0.2156	1.4328	G43
TRINITY_DN124339_c4_g3_i4	NA	NA	-3.056139692	0.763090528	Testis_mean	female	0.1292	0.1908	1.4771	G43
TRINITY_DN124649_c0_g1_i1	NA	NA	-3.372459469	0.627763467	Ovary_mean	female	0.0572	0.0657	1.1483	G43
TRINITY_DN125971_c0_g1_i2	NA	NA	-4.299730534	0.902583328	Ovary_mean	female	0.039	0.0653	1.6722	G43
TRINITY_DN126078_c0_g1_i1	NA	NA	-5.177776576	0.86741228	Ovary_mean	female	0.189	0.3196	1.6912	G43
TRINITY_DN126089_c1_g1_i2	skiv2l2-like	Chr01	-3.19676856	0.750716773	Testis_mean	female	0.222	0.3588	1.6162	G43
TRINITY_DN126410_c3_g1_i3	NA	NA	-2.437969947	0.552648125	Ovary_mean	female	0.2241	0.4171	1.8618	G43
TRINITY_DN126729_c2_g1_i2	NA	NA	-4.636947592	0.874467516	Ovary_mean	female	0.1025	0.1457	1.4211	G43
TRINITY_DN126783_c1_g5_i3	LOC101734633	Chr10	-6.206898715	0.870326524	Ovary_mean	female	0.046	0.0703	1.529	G43
TRINITY_DN127070_c0_g1_i3	NA	NA	-3.04935019	0.763323771	Ovary_mean	female	0.1381	0.2172	1.5734	G43
TRINITY_DN127129_c2_g3_i1	NA	NA	-6.43400854	0.87539592	Ovary_mean	female	0.1346	0.2598	1.9303	G43
TRINITY_DN129466_c1_g5_i1	NA	NA	-4.386264843	0.856463847	Ovary_mean	female	0.2196	0.2445	1.1132	G43
TRINITY_DN130577_c0_g2_i5	NA	NA	-4.916211612	0.893391746	Ovary_mean	female	0.2551	0.4968	1.9476	G43
TRINITY_DN131370_c0_g1_i1	mafg	Chr10	-2.471113071	0.767099057	Testis_mean	female	0.101	0.1977	1.9572	G43
TRINITY_DN132305_c3_g4_i3	NA	NA	-4.669217864	0.866905485	Ovary_mean	female	0.1371	0.2527	1.8432	G43
TRINITY_DN132480_c0_g2_i5	NA	NA	-2.339225403	0.707248797	Testis_mean	female	0.1156	0.1907	1.6503	G43
TRINITY_DN135526_c5_g1_i1	postn	Chr02	-5.088309739	0.895660137	Ovary_mean	female	0.138	0.2305	1.6705	G43
TRINITY_DN135643_c7_g7_i1	LOC100495666	Chr03	-8.855046793	0.480371194	G31_mean	female	0.0159	0.0287	1.7982	G43
TRINITY_DN208554_c0_g1_i1	il17c	Chr04	-6.059424038	0.779861152	Ovary_mean	female	0.0691	0.0942	1.3623	G43
TRINITY_DN45542_c0_g1_i1	NA	NA	-5.698186325	0.836261984	Ovary_mean	female	0.2401	0.3266	1.3606	G43
TRINITY_DN83270_c0_g1_i1	dnm2	Chr03	-5.216743009	0.816230812	Ovary_mean	female	0.0289	0.0568	1.9672	G43
TRINITY_DN97559_c0_g1_i1	NA	NA	-2.510709265	0.733267972	Ovary_mean	female	0.0678	0.0952	1.4042	G43
TRINITY_DN98655_c0_g1_i1	NA	NA	-4.745057841	0.861882739	Ovary_mean	female	0.1385	0.211	1.5236	G43
TRINITY_DN121490_c3_g1_i3	NA	NA	2.746749474	0.518447177	Brain_mean	male	0.1222	0.2357	1.9282	G43
TRINITY_DN127436_c2_g1_i1	NA	NA	2.555936696	0.418123091	Brain_mean	male	0.0448	0.0605	1.3523	G43
TRINITY_DN131565_c0_g5_i1	NA	NA	2.24757282	0.692591758	G43_M_mean	male	0.2542	0.3724	1.4649	G43
TRINITY_DN101488_c0_g2_i2	NA	NA	-0.200778845	0.155105807	G23_mean	unbias	0.0471	0.0856	1.8187	G43
TRINITY_DN101953_c0_g1_i3	myoz1	Chr07	-0.602961106	0.411181266	Ovary_mean	unbias	0.1123	0.1753	1.5602	G43
TRINITY_DN102279_c0_g1_i1	NA	NA	-0.232947809	0.132303324	G23_mean	unbias	0.0769	0.1219	1.5862	G43
TRINITY_DN102469_c0_g1_i1	zcchc4	scaffold_69	0.368988893	0.46905447	Liver_mean	unbias	0.1875	0.3205	1.7093	G43
TRINITY_DN102493_c0_g1_i1	NA	NA	-0.005942911	0.198656899	Ovary_mean	unbias	0.038	0.0702	1.8454	G43
TRINITY_DN102539_c0_g1_i1	psen1	Chr08	0.082609992	0.261451474	Brain_mean	unbias	0.1183	0.1998	1.6879	G43
TRINITY_DN103107_c0_g1_i1	NA	NA	-0.441284981	0.135045065	Ovary_mean	unbias	0.1794	0.2865	1.5972	G43
TRINITY_DN103150_c0_g1_i1	NA	NA	-0.320871688	0.328031285	Testis_mean	unbias	0.0816	0.1245	1.5262	G43
TRINITY_DN103157_c0_g1_i2	NA	NA	0.524666224	0.523378908	Brain_mean	unbias	0.0471	0.0801	1.6985	G43
TRINITY_DN103209_c0_g3_i2	NA	NA	-0.346733132	0.142706311	Ovary_mean	unbias	0.1141	0.2017	1.7681	G43
TRINITY_DN104287_c1_g1_i1	ankle2-like	Chr01	0.539349605	0.476666531	Brain_mean	unbias	0.0892	0.173	1.9391	G43
TRINITY_DN104339_c0_g1_i2	slc37a3-like	Chr03	0.838319124	0.437249278	Ovary_mean	unbias	0.0099	0.0157	1.5775	G43
TRINITY_DN104694_c0_g1_i1	NA	NA	0.365453087	0.353449949	Ovary_mean	unbias	0.0241	0.0443	1.8389	G43
TRINITY_DN104801_c0_g1_i1	NA	NA	0.111891143	0.523571394	Brain_mean	unbias	0.0525	0.0603	1.1476	G43
TRINITY_DN104972_c0_g1_i2	NA	NA	-0.629945386	0.096162953	G27_mean	unbias	0.0377	0.0743	1.9699	G43
TRINITY_DN105060_c0_g2_i3	NA	NA	0.033482638	0.567829549	Brain_mean	unbias	0.0429	0.0716	1.6683	G43
TRINITY_DN105400_c0_g1_i3	NA	NA	-0.125661257	0.231737257	Ovary_mean	unbias	0.1525	0.2011	1.3186	G43
TRINITY_DN105592_c1_g1_i2	NA	NA	-0.651305059	0.247918508	G43_F_mean	unbias	0.1597	0.2378	1.4894	G43
TRINITY_DN105705_c0_g1_i1	NA	NA	-0.023592474	0.417280644	G46_F_mean	unbias	0.1537	0.2185	1.4217	G43
TRINITY_DN105726_c0_g1_i1	NA	NA	0.91190619	0.526746595	Ovary_mean	unbias	0.0788	0.1018	1.2921	G43
TRINITY_DN106101_c0_g1_i1	NA	NA	-0.166516957	0.125290042	Ovary_mean	unbias	0.031	0.0387	1.2467	G43
TRINITY_DN106392_c0_g2_i2	NA	NA	0.348538422	0.286219196	Ovary_mean	unbias	0.0667	0.1122	1.683	G43
TRINITY_DN107234_c0_g1_i1	NA	NA	0.077898899	0.47132041	Ovary_mean	unbias	0.0603	0.1094	1.8135	G43
TRINITY_DN107396_c0_g1_i2	gjd4	Chr06	0.213949173	0.331983433	Brain_mean	unbias	0.0701	0.0936	1.3351	G43
TRINITY_DN107777_c0_g6_i1	NA	NA	0.527096618	0.392783523	Ovary_mean	unbias	0.039	0.0505	1.293	G43
TRINITY_DN108061_c0_g1_i1	NA	NA	-0.44054649	0.163126496	Ovary_mean	unbias	0.0392	0.065	1.6562	G43
TRINITY_DN10812_c0_g1_i1	NA	NA	-0.028538972	0.32618062	G27_mean	unbias	0.0493	0.0692	1.4016	G43
TRINITY_DN108196_c0_g1_i1	lgi1	Chr07	-0.433165683	0.321595845	Ovary_mean	unbias	0.0643	0.0824	1.2798	G43
TRINITY_DN108314_c0_g1_i2	NA	NA	0.633419221	0.37142808	Brain_mean	unbias	0.071	0.0918	1.2929	G43
TRINITY_DN108539_c0_g1_i2	NA	NA	-0.329298346	0.177139529	Ovary_mean	unbias	0.0422	0.0714	1.6932	G43
TRINITY_DN108558_c2_g1_i2	NA	NA	0.338778735	0.572729047	Ovary_mean	unbias	0.0506	0.0876	1.7305	G43
TRINITY_DN108580_c0_g1_i1	NA	NA	-0.283716321	0.331756999	Brain_mean	unbias	0.0568	0.1092	1.9239	G43
TRINITY_DN108588_c0_g1_i1	NA	NA	0.218048091	0.287791849	G43_M_mean	unbias	0.1556	0.2039	1.3108	G43
TRINITY_DN108683_c0_g3_i1	NA	NA	-0.175932593	0.126919823	G23_mean	unbias	0.053	0.0368	0.6955	G43
TRINITY_DN108726_c0_g1_i1	NA	NA	-0.411992001	0.145170452	G23_mean	unbias	0.0854	0.1011	1.1838	G43
TRINITY_DN109124_c0_g2_i2	NA	NA	-0.123779135	0.19323608	Brain_mean	unbias	0.1062	0.2105	1.9825	G43
TRINITY_DN109157_c0_g1_i1	NA	NA	0.166391285	0.235029567	Ovary_mean	unbias	0.0156	0.0301	1.9237	G43
TRINITY_DN109277_c0_g2_i3	NA	NA	-0.438315564	0.278600966	G23_mean	unbias	0.1038	0.1589	1.5305	G43
TRINITY_DN109500_c0_g1_i1	NA	NA	-0.149482591	0.171750692	G23_mean	unbias	0.0275	0.0505	1.8368	G43
