gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	6.034701246	1.134274441	0.004156044	0.023288228
TRINITY_DN100754_c0_g1_i1	LOC100493463	Chr03	35127454	35127454	3.743813316	1.288130644	0.000643053	0.00462068
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	6.181812278	1.109236347	0.001741089	0.011065918
TRINITY_DN101945_c0_g2_i1	NA	NA	NA	NA	0.55982804	2.487069815	0.000631818	0.004550013
TRINITY_DN101983_c0_g1_i1	NA	NA	NA	NA	0.122683593	1.729019034	0.008285665	0.041264532
TRINITY_DN102579_c0_g1_i1	ttpa	Chr06	102990382	102990382	3.044359502	1.225781589	0.001750085	0.011110201
TRINITY_DN103086_c1_g1_i1	NA	NA	NA	NA	0.111933359	1.928638256	0.003839415	0.021793091
TRINITY_DN103284_c0_g1_i2	rnf207	Chr07	90525912	90525912	0.160523969	1.958950458	0.006412706	0.03332069
TRINITY_DN103698_c0_g1_i1	spaca5-like.2	Chr10	10577050	10577050	1.000782566	2.508684921	4.07E-05	0.000385897
TRINITY_DN104018_c1_g1_i1	NA	NA	NA	NA	2.798062133	1.440912013	0.00323992	0.018913104
TRINITY_DN104073_c1_g1_i1	NA	NA	NA	NA	1.557060948	1.76219502	0.001378435	0.008983419
TRINITY_DN104546_c0_g1_i1	NA	NA	NA	NA	2.678769285	1.178560411	0.007518187	0.038141268
TRINITY_DN105039_c0_g1_i1	nphp1	Chr05	50712580	50712580	5.248607505	1.040594215	0.00169779	0.010832589
TRINITY_DN105307_c0_g1_i1	NA	NA	NA	NA	5.830405609	1.133882547	0.00627976	0.032773279
TRINITY_DN105833_c0_g2_i1	NA	NA	NA	NA	0.224419153	8.403004378	1.28E-10	2.90E-09
TRINITY_DN105870_c0_g1_i1	NA	NA	NA	NA	2.026544621	1.508291642	0.007391646	0.037614924
TRINITY_DN105987_c0_g2_i2	NA	NA	NA	NA	1.013478283	2.092673474	0.009431727	0.045953644
TRINITY_DN106183_c0_g1_i1	NA	NA	NA	NA	3.212140663	1.066216331	0.006513735	0.033782299
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	3.415614422	1.189074694	0.001657163	0.010611376
TRINITY_DN106256_c0_g3_i3	NA	NA	NA	NA	3.521382242	1.312675387	0.000848325	0.005882144
TRINITY_DN106277_c0_g1_i2	LOC100486434-like	Chr09	4553521	4553521	6.078287988	1.557631038	0.001913012	0.01202127
TRINITY_DN107052_c0_g1_i1	NA	NA	NA	NA	2.675289067	4.321922754	0.000950649	0.006499491
TRINITY_DN107294_c0_g1_i2	NA	NA	NA	NA	0.682473252	4.023757759	0.000151889	0.001268254
TRINITY_DN107711_c0_g1_i1	NA	NA	NA	NA	0.632380626	1.52931413	0.007668925	0.038718756
TRINITY_DN108081_c0_g2_i1	NA	NA	NA	NA	0.721554365	1.950841377	0.009352299	0.045602284
TRINITY_DN108162_c0_g1_i1	NA	NA	NA	NA	3.78055893	2.254950409	0.000580571	0.004219121
TRINITY_DN108203_c0_g2_i1	NA	NA	NA	NA	1.49252302	1.842109289	0.000337479	0.00261481
TRINITY_DN108376_c0_g1_i4	cpne3	Chr06	110644971	110644971	2.466900695	1.115140645	0.008220982	0.041016105
TRINITY_DN108517_c0_g1_i1	NA	NA	NA	NA	1.953191222	1.466702663	0.002651898	0.015956815
TRINITY_DN108683_c0_g1_i2	NA	NA	NA	NA	1.052819537	2.072307737	0.000715751	0.005063862
TRINITY_DN108890_c1_g2_i1	NA	NA	NA	NA	4.823563916	1.016381701	0.008276121	0.041225233
TRINITY_DN108998_c0_g2_i1	NA	NA	NA	NA	1.593756405	2.12771204	1.89E-05	0.000193014
TRINITY_DN109035_c0_g1_i1	LOC100145251	scaffold_51	15926	15926	0.789949809	3.356025597	6.63E-07	8.87E-06
TRINITY_DN109528_c0_g2_i1	nkx3-1	Chr03	106998375	106998375	1.961638969	2.1953091	0.002465656	0.015017321
TRINITY_DN109892_c0_g1_i1	uqcc2	Chr05	49176538	49176538	4.583324077	1.024716537	0.003389316	0.019654251
TRINITY_DN109948_c0_g1_i1	cabp7	Chr01	132254155	132254155	0.168324674	1.616180004	0.006392194	0.033244345
TRINITY_DN110181_c0_g1_i1	NA	NA	NA	NA	2.693206438	1.179517213	0.005849692	0.030956328
TRINITY_DN110260_c0_g2_i1	NA	NA	NA	NA	0.112817165	2.075602386	0.003692965	0.021086594
TRINITY_DN110378_c0_g4_i1	NA	NA	NA	NA	0.570392003	1.772165299	0.002821267	0.016821712
TRINITY_DN111011_c1_g2_i1	NA	NA	NA	NA	2.634570451	2.03821411	9.34E-06	0.000100588
TRINITY_DN111082_c0_g1_i1	NA	NA	NA	NA	0.104734985	1.843118421	0.002176396	0.01346267
TRINITY_DN111167_c0_g1_i1	NA	NA	NA	NA	1.302842248	1.27313864	0.010014713	0.048359526
TRINITY_DN111757_c0_g1_i1	hspb2	Chr07	74665677	74665677	1.803366106	1.176219653	0.009683929	0.046943996
TRINITY_DN112201_c0_g1_i1	NA	NA	NA	NA	2.167965327	1.894997713	0.000100387	0.000872085
TRINITY_DN112522_c0_g1_i1	dnttip1	Chr10	16892880	16892880	1.669603792	2.395841313	0.007015459	0.035943417
TRINITY_DN112592_c0_g1_i1	NA	NA	NA	NA	0.949425923	1.676128592	0.003641929	0.020857255
TRINITY_DN112596_c0_g1_i1	thbs2	Chr05	40438631	40438631	0.071037512	1.89050594	0.002060413	0.012837562
TRINITY_DN112641_c0_g1_i2	NA	NA	NA	NA	6.338940462	1.169454395	0.003437227	0.019867412
TRINITY_DN112708_c0_g1_i1	NA	NA	NA	NA	1.929382826	1.391522959	0.010334218	0.049528387
TRINITY_DN112721_c0_g1_i1	NA	NA	NA	NA	1.74146478	1.414501229	0.002598078	0.01569355
TRINITY_DN112760_c0_g1_i2	amotl2-like	Chr05	126721734	126721734	1.392048882	2.233807449	0.000135669	0.001145465
TRINITY_DN113011_c0_g3_i1	cactin	Chr01	74559688	74559688	0.383420748	1.513971513	0.009556701	0.046453651
TRINITY_DN113131_c0_g1_i5	NA	NA	NA	NA	3.983890304	1.326849138	0.001919485	0.012055871
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	0.265526767	4.658107381	8.59E-09	1.53E-07
TRINITY_DN113380_c0_g1_i1	NA	NA	NA	NA	4.539745353	1.028423069	0.006018278	0.031680428
TRINITY_DN113404_c0_g2_i1	NA	NA	NA	NA	0.586899757	1.676706876	0.00963147	0.046753307
TRINITY_DN113584_c0_g1_i1	surf1	scaffold_124	372121	372121	2.13064317	1.359994434	0.002204312	0.013598257
TRINITY_DN113797_c0_g1_i1	NA	NA	NA	NA	3.549404184	2.101232826	0.000478487	0.003549656
TRINITY_DN113982_c0_g1_i1	NA	NA	NA	NA	2.104630543	1.926500597	0.003757863	0.021403259
TRINITY_DN114195_c0_g1_i1	NA	NA	NA	NA	1.829977775	1.722785311	0.000263344	0.002083777
TRINITY_DN114220_c0_g1_i1	NA	NA	NA	NA	2.845410425	1.987741858	0.002254752	0.013864835
TRINITY_DN114406_c0_g1_i1	NA	NA	NA	NA	4.291119304	1.319349342	0.000423251	0.003184674
TRINITY_DN114439_c1_g1_i1	NA	NA	NA	NA	2.900435356	1.041153135	0.008811748	0.043382115
TRINITY_DN114543_c0_g2_i1	NA	NA	NA	NA	1.807638895	1.991383468	6.02E-05	0.000553198
TRINITY_DN114581_c0_g1_i2	NA	NA	NA	NA	2.834918222	5.224771771	6.82E-05	0.000616024
TRINITY_DN114610_c0_g2_i1	gid8	scaffold_1656	751	751	0.888567141	2.483384069	3.75E-05	0.000357494
