gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	ID	tau	tissue
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	4.126468493	-1.421971308	1.32E-05	0.000138523	TRINITY_DN100034_c0_g1_i1	0.156573961419932	G46_F_mean
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.748325849	-1.988918474	4.86E-08	7.72E-07	TRINITY_DN100115_c0_g1_i1	0.459221931040166	Ovary_mean
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.094464643	-1.344107007	5.32E-06	6.05E-05	TRINITY_DN100260_c0_g2_i1	0.250670295947791	Ovary_mean
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	2.692817042	-1.372111536	0.005023325	0.027254022	TRINITY_DN100376_c0_g1_i1	0.345277234722298	G31_mean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	3.49352572	-1.484850461	2.80E-05	0.000274508	TRINITY_DN100856_c0_g1_i1	0.257924433634246	G46_F_mean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	6.068641705	-2.138227805	1.21E-10	2.76E-09	TRINITY_DN100882_c0_g1_i1	0.290451992079921	Ovary_mean
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.474489076	-4.73466241	3.40E-10	7.28E-09	TRINITY_DN100904_c0_g1_i1	0.761740109041632	Ovary_mean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.163248434	-1.611944782	0.000107041	0.000924097	TRINITY_DN101042_c0_g2_i1	0.568551038089569	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.848251499	-2.686553236	2.97E-09	5.60E-08	TRINITY_DN101047_c0_g1_i2	0.674802957572689	Ovary_mean
TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	110018458	110018458	6.886359301	-11.48717789	4.69E-97	1.67E-93	TRINITY_DN101072_c0_g2_i2	0.831807709527025	Ovary_mean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.426268406	-1.461381506	0.000868679	0.006008243	TRINITY_DN101087_c0_g1_i1	0.272358663800009	Ovary_mean
TRINITY_DN101111_c0_g1_i2	skap2	Chr06	33087585	33087585	1.952885871	-1.903766797	4.27E-06	4.91E-05	TRINITY_DN101111_c0_g1_i2	0.430844051867075	Ovary_mean
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.480192623	-2.359130221	4.73E-08	7.53E-07	TRINITY_DN101356_c0_g1_i1	0.608105373023531	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	5.323810964	-1.617057321	1.06E-07	1.60E-06	TRINITY_DN101457_c0_g1_i1	0.456256144147692	Ovary_mean
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	3.574996648	-3.004701222	7.54E-15	2.68E-13	TRINITY_DN101751_c0_g1_i1	0.488707151370368	Ovary_mean
TRINITY_DN102016_c0_g1_i1	NA	NA	NA	NA	5.467133202	-1.046272184	0.001618397	0.010389816	TRINITY_DN102016_c0_g1_i1	0.313979327578557	Ovary_mean
