gid	gname	chr	logFC.XY46.XX46	tau	tissue
TRINITY_DN100684_c0_g3_i1	NA	NA	1.134274441	0.400208459459579	G27_mean
TRINITY_DN100754_c0_g1_i1	LOC100493463	Chr03	1.288130644	0.583992163852875	G46_M_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	1.109236347	0.422394930039444	G43_F_mean
TRINITY_DN101945_c0_g2_i1	NA	NA	2.487069815	0.465739188743555	G31_mean
TRINITY_DN101983_c0_g1_i1	NA	NA	1.729019034	0.626084091023829	G46_M_mean
TRINITY_DN102579_c0_g1_i1	ttpa	Chr06	1.225781589	0.762407146366445	G46_M_mean
TRINITY_DN103086_c1_g1_i1	NA	NA	1.928638256	0.589719860380239	G43_F_mean
TRINITY_DN103284_c0_g1_i2	rnf207	Chr07	1.958950458	0.404689826720284	Liver_mean
TRINITY_DN103698_c0_g1_i1	spaca5-like.2	Chr10	2.508684921	0.667717713491942	Brain_mean
TRINITY_DN104018_c1_g1_i1	NA	NA	1.440912013	0.817658643394122	G46_M_mean
TRINITY_DN104073_c1_g1_i1	NA	NA	1.76219502	0.555744259940625	G46_M_mean
TRINITY_DN104546_c0_g1_i1	NA	NA	1.178560411	0.695618319518349	G43_M_mean
TRINITY_DN105039_c0_g1_i1	nphp1	Chr05	1.040594215	0.436348038182195	G43_M_mean
TRINITY_DN105307_c0_g1_i1	NA	NA	1.133882547	0.297450830810378	Liver_mean
TRINITY_DN105833_c0_g2_i1	NA	NA	8.403004378	0.669071614584707	G43_F_mean
TRINITY_DN105870_c0_g1_i1	NA	NA	1.508291642	0.313183404305002	G43_M_mean
TRINITY_DN105987_c0_g2_i2	NA	NA	2.092673474	0.766606372633511	G43_F_mean
TRINITY_DN106183_c0_g1_i1	NA	NA	1.066216331	0.284297910973658	G43_F_mean
TRINITY_DN106189_c0_g2_i1	NA	NA	1.189074694	0.584198537614047	Liver_mean
TRINITY_DN106256_c0_g3_i3	NA	NA	1.312675387	0.669676207149935	Liver_mean
TRINITY_DN106277_c0_g1_i2	LOC100486434-like	Chr09	1.557631038	0.769328446837643	G46_M_mean
TRINITY_DN107052_c0_g1_i1	NA	NA	4.321922754	0.701228852918245	G31_mean
TRINITY_DN107294_c0_g1_i2	NA	NA	4.023757759	0.632693789504304	G46_M_mean
TRINITY_DN107711_c0_g1_i1	NA	NA	1.52931413	0.296343226914573	G46_M_mean
TRINITY_DN108081_c0_g2_i1	NA	NA	1.950841377	0.618147370852498	Ovary_mean
TRINITY_DN108162_c0_g1_i1	NA	NA	2.254950409	0.780175414244666	G46_M_mean
TRINITY_DN108203_c0_g2_i1	NA	NA	1.842109289	0.77517823227589	G46_M_mean
TRINITY_DN108376_c0_g1_i4	cpne3	Chr06	1.115140645	0.504731486840956	G46_M_mean
TRINITY_DN108517_c0_g1_i1	NA	NA	1.466702663	0.666820465721391	G43_M_mean
TRINITY_DN108683_c0_g1_i2	NA	NA	2.072307737	0.332722827024791	Brain_mean
TRINITY_DN108890_c1_g2_i1	NA	NA	1.016381701	0.73187100929749	G46_M_mean
TRINITY_DN108998_c0_g2_i1	NA	NA	2.12771204	0.71041657590214	G46_M_mean
TRINITY_DN109035_c0_g1_i1	LOC100145251	scaffold_51	3.356025597	0.585987351692789	Brain_mean
TRINITY_DN109528_c0_g2_i1	nkx3-1	Chr03	2.1953091	0.711900918574442	G46_M_mean
TRINITY_DN109892_c0_g1_i1	uqcc2	Chr05	1.024716537	0.401203865662122	G43_F_mean
TRINITY_DN109948_c0_g1_i1	cabp7	Chr01	1.616180004	0.750330586611012	G23_mean
TRINITY_DN110181_c0_g1_i1	NA	NA	1.179517213	0.52214734465444	G43_M_mean
TRINITY_DN110260_c0_g2_i1	NA	NA	2.075602386	0.72911407601884	G43_M_mean
TRINITY_DN110378_c0_g4_i1	NA	NA	1.772165299	0.697956188622382	G46_M_mean
TRINITY_DN111011_c1_g2_i1	NA	NA	2.03821411	0.311980347117531	Brain_mean
TRINITY_DN111082_c0_g1_i1	NA	NA	1.843118421	0.351452442755118	G43_M_mean
TRINITY_DN111167_c0_g1_i1	NA	NA	1.27313864	0.499872812379636	G43_M_mean
TRINITY_DN111757_c0_g1_i1	hspb2	Chr07	1.176219653	0.639697009751146	Brain_mean
TRINITY_DN112201_c0_g1_i1	NA	NA	1.894997713	0.428898776333244	Testis_mean
TRINITY_DN112522_c0_g1_i1	dnttip1	Chr10	2.395841313	0.845940231402994	G46_M_mean
TRINITY_DN112592_c0_g1_i1	NA	NA	1.676128592	0.63010592789141	G46_M_mean
TRINITY_DN112596_c0_g1_i1	thbs2	Chr05	1.89050594	0.674197050818552	Brain_mean
TRINITY_DN112641_c0_g1_i2	NA	NA	1.169454395	0.64116587337861	G46_M_mean
TRINITY_DN112708_c0_g1_i1	NA	NA	1.391522959	0.443550597759688	Liver_mean
TRINITY_DN112721_c0_g1_i1	NA	NA	1.414501229	0.631375340844737	Brain_mean
TRINITY_DN112760_c0_g1_i2	amotl2-like	Chr05	2.233807449	0.509655669772069	Brain_mean
TRINITY_DN113011_c0_g3_i1	cactin	Chr01	1.513971513	0.665281933543911	G46_M_mean
TRINITY_DN113131_c0_g1_i5	NA	NA	1.326849138	0.541817522210661	Testis_mean
TRINITY_DN113348_c0_g3_i1	NA	NA	4.658107381	0.426648558967257	Testis_mean
TRINITY_DN113380_c0_g1_i1	NA	NA	1.028423069	0.432664430794698	G43_F_mean
TRINITY_DN113404_c0_g2_i1	NA	NA	1.676706876	0.550596342683684	G46_M_mean
TRINITY_DN113584_c0_g1_i1	surf1	scaffold_124	1.359994434	0.794119060950868	G27_mean
TRINITY_DN113797_c0_g1_i1	NA	NA	2.101232826	0.732664040780187	G46_M_mean
TRINITY_DN113982_c0_g1_i1	NA	NA	1.926500597	0.581652334689085	G46_M_mean
TRINITY_DN114195_c0_g1_i1	NA	NA	1.722785311	0.686437181599239	G43_M_mean
TRINITY_DN114220_c0_g1_i1	NA	NA	1.987741858	0.71331371752821	G46_M_mean
TRINITY_DN114406_c0_g1_i1	NA	NA	1.319349342	0.419522588685016	G43_M_mean
TRINITY_DN114439_c1_g1_i1	NA	NA	1.041153135	0.197017206049568	Brain_mean
TRINITY_DN114543_c0_g2_i1	NA	NA	1.991383468	0.650008058654336	G43_M_mean
TRINITY_DN114581_c0_g1_i2	NA	NA	5.224771771	0.600822644497341	Brain_mean
TRINITY_DN114610_c0_g2_i1	gid8	scaffold_1656	2.483384069	0.80399118206642	G46_M_mean
TRINITY_DN114644_c0_g2_i1	NA	NA	1.536158136	0.583353481012808	Brain_mean
