ID	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB
TRINITY_DN92349_c6_g1_i1	1473.51	1630.83	2205.71	1930.75	3952	1371.71	1087.98	1058.69	1521.79	1640.78
TRINITY_DN89948_c0_g3_i2	203	184	191	242	343	266	151	255	192	241
TRINITY_DN94461_c6_g5_i2	387	307.54	366	375	587	881	390	431	216	322
TRINITY_DN93770_c1_g2_i3	113	105	261	192	385	119	117	130	167	325
TRINITY_DN73518_c0_g2_i1	16	9	21	15	20	23	10	35	8	14
TRINITY_DN82035_c0_g3_i1	50	68	33	76	92	90	61	44	52	61
TRINITY_DN88967_c0_g1_i1	428	331	317	253	457	516	338	377	263	230
TRINITY_DN90718_c0_g2_i1	184	237	160	170	215	233	118	190	309	132
TRINITY_DN88340_c2_g3_i1	21.1472	23	23	16	52.2849	25.2817	19.2471	29	31.2176	44
TRINITY_DN87918_c3_g2_i1	42	44	70	45	77	58	30	51	61	55
TRINITY_DN87318_c0_g1_i1	6	11	15	43	48	27	3	6	7	5
TRINITY_DN94449_c1_g1_i1	0	6	0	0	2	4	0	1	1	6
TRINITY_DN91299_c1_g1_i3	80	74	57	79.5243	135	114	84	69	75.5885	69.1208
TRINITY_DN76781_c0_g1_i3	5	4	6	3	12	3	5	7	1	4
TRINITY_DN82181_c0_g1_i1	291.011	434.6	383.645	250.711	649.601	514.009	288.627	479.142	525.361	394.899
TRINITY_DN86049_c0_g1_i1	10234	7045	7409	6216	12630	9513	8107	5726	5355	7750
TRINITY_DN87859_c0_g1_i2	184.271	222	130.514	137.795	371.46	234	96.0271	143	247.319	180.638
TRINITY_DN42053_c0_g2_i1	1	2	0	1	0	0	2	0	4	1
TRINITY_DN75513_c0_g1_i1	10	17	14	14	21	13	4	15	16	22
TRINITY_DN86474_c1_g6_i1	16	161	6	12	16	13	11	7	17	22
TRINITY_DN94282_c4_g1_i1	162	233	206	206	532.907	205	147.427	258	237.114	279.434
TRINITY_DN73304_c0_g1_i2	6	1	1	0	1	0	0	0	1	2
TRINITY_DN90164_c2_g2_i5	806	1069	1121	1012	2427	1327	891	1353	982	1545
TRINITY_DN52640_c0_g1_i2	5	37	30	21	52	31	16	29	31	45
TRINITY_DN86172_c0_g1_i4	781.215	883.319	1078.92	1044	1901.46	1511.39	1005	1192.35	926	730.306
