G23	F-bias	23_F-bias		TRINITY_DN114651_c0_g1_i3			
G43	F-bias	43_F-bias		TRINITY_DN105647_c0_g2_i1			
G43	F-bias	43_F-bias		TRINITY_DN111028_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN127129_c2_g3_i1			
G43	F-bias	43_F-bias		TRINITY_DN126783_c1_g5_i3			
G43	F-bias	43_F-bias		TRINITY_DN208554_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN110679_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN109666_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN45542_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN124325_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN83270_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN118281_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN126078_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN121355_c0_g1_i4			
G43	F-bias	43_F-bias		TRINITY_DN135526_c5_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN109929_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN120071_c0_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN119288_c0_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN130577_c0_g2_i5			
G43	F-bias	43_F-bias		TRINITY_DN98655_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN132305_c3_g4_i3			
G43	F-bias	43_F-bias		TRINITY_DN119494_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN126729_c2_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN110103_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN129466_c1_g5_i1			
G43	F-bias	43_F-bias		TRINITY_DN121071_c0_g1_i4			
G43	F-bias	43_F-bias		TRINITY_DN125971_c0_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN103838_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN117125_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN111236_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN124147_c1_g3_i2			
G43	F-bias	43_F-bias		TRINITY_DN124649_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN126089_c1_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN123821_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN127070_c0_g1_i3			
G43	F-bias	43_F-bias		TRINITY_DN124339_c4_g3_i4			
G43	F-bias	43_F-bias		TRINITY_DN123296_c1_g1_i2			
G43	F-bias	43_F-bias		TRINITY_DN97559_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN131370_c0_g1_i1			
G43	F-bias	43_F-bias		TRINITY_DN126410_c3_g1_i3			
G43	F-bias	43_F-bias		TRINITY_DN132480_c0_g2_i5			
G43	M-bias	43_M-bias		TRINITY_DN121490_c3_g1_i3			
G46	F-bias	46_F-bias		TRINITY_DN126078_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN127129_c2_g3_i1			
G46	F-bias	46_F-bias		TRINITY_DN111028_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123147_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN123696_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN120071_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN83270_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119288_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN109666_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN105647_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN208554_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN109929_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN9222_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN110679_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN118281_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN45542_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN126729_c2_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN135526_c5_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN124325_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN132305_c3_g4_i3			
G46	F-bias	46_F-bias		TRINITY_DN124649_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN128424_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN126783_c1_g5_i3			
G46	F-bias	46_F-bias		TRINITY_DN130577_c0_g2_i5			
G46	F-bias	46_F-bias		TRINITY_DN135914_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN121355_c0_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN125971_c0_g1_i2			
G46	F-bias	46_F-bias		TRINITY_DN109913_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119419_c0_g2_i1			
G46	F-bias	46_F-bias		TRINITY_DN112272_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN119494_c0_g1_i1			
G46	F-bias	46_F-bias		TRINITY_DN129466_c1_g5_i1			
G46	F-bias	46_F-bias		TRINITY_DN118554_c3_g1_i4			
G46	F-bias	46_F-bias		TRINITY_DN110103_c0_g1_i1			
