gid	gname	chr	start	end	logCPM	logFC.M46.F46	logFC.M46.SR46	logFC.SR46.F46	PV.M46.F46	PV.M46.SR46	PV.SR46.F46	FDR.M46.F46	FDR.M46.SR46	FDR.SR46.F46
TRINITY_DN136034_c0_g2_i1	slbp	Chr01	13321554	13321554	0.689197627329745	-3.27037088197879	-0.412049831485946	-2.85832105049284	3.11726283142168e-05	0.679703703563195	0.0145926962530325	0.00031257409999423	1	0.0908617708932968
TRINITY_DN115118_c0_g1_i1	klb	Chr01	26974623	26974623	1.18647625962187	-2.41220351345407	1.36095724590908	-3.77316075936316	6.04681630736125e-05	0.125474600188446	0.000156286999151981	0.000572478451964878	1	0.00248641961940415
TRINITY_DN122900_c0_g1_i1	kit	Chr01	30989876	30989876	3.72450934544727	0.421504635358576	3.70219037672919	-3.28068574137061	0.451759708818176	4.18451128089587e-05	0.00026624817418478	0.642848204003988	0.0123778816831058	0.00388142538858833
TRINITY_DN120473_c0_g1_i2	LOC100487093-like	Chr01	35386654	35386654	4.68635731495029	-3.59958964287927	-0.134890164146685	-3.46469947873259	8.96851275040496e-21	0.77756287274892	7.37881893876397e-09	5.25691234694819e-19	1	3.6590599411933e-07
TRINITY_DN131630_c1_g1_i1	fnip2-like	Chr01	43643926	43643926	0.968133489422093	-3.18140498138556	0.80859165146519	-3.98999663285075	4.51503268937631e-07	0.373522517598116	0.000105871427667303	6.43822402382533e-06	1	0.00177215217768575
TRINITY_DN124116_c0_g2_i1	fam198b	Chr01	43970167	43970167	2.58812895757539	-1.19634779287591	2.00841524546625	-3.20476303834216	0.0508070762725795	0.0271907422717424	0.0013120180809037	0.167831373680539	1	0.0143000976692842
TRINITY_DN57850_c0_g1_i1	map9-like	Chr01	44821426	44821426	0.175042222446672	-0.213303397776995	7.88742307689084	-8.10072647466783	0.833253349790931	0.00132184845721161	0.001137694060479	0.910106703924952	0.184761004961572	0.0127665633897333
TRINITY_DN113614_c0_g1_i2	sec24b	Chr01	58234143	58234143	3.02962902222357	-5.30223711508044	0.0607904449541237	-5.36302756003457	4.02390003159637e-22	0.93300899716036	1.19117903372896e-09	2.61800493360051e-20	1	6.90259759431228e-08
TRINITY_DN135970_c0_g1_i2	snca	Chr01	69061906	69061906	3.55213039660237	-3.87820868724368	0.509502918013843	-4.38771160525753	7.2669805396562e-18	0.391168499988245	2.19509441424187e-09	3.51998758309054e-16	1	1.19573890372374e-07
TRINITY_DN103798_c0_g1_i1	LOC779531	Chr01	81263750	81263750	6.61616480635787	-13.1146121525719	-2.04734998048495	-11.0672621720869	1.65002095931608e-100	0.0811961354060896	3.00642826169231e-35	7.49526549115314e-97	1	2.54935095163969e-32
TRINITY_DN130557_c1_g3_i3	LOC101734175	Chr01	82296754	82296754	0.717085550938729	4.8546331652151	6.29378832188018	-1.43915515666508	0.000666511233732569	0.00323439553165368	0.462774245704547	0.00487924583451017	0.345195546132574	0.720075480853751
TRINITY_DN98773_c0_g2_i1	mknk2	Chr01	83933755	83933755	1.23257383272185	1.31754384470202	6.55915733433252	-5.2416134896305	0.0144442206407067	9.85756055973688e-09	7.25299457751876e-06	0.0660993935741928	8.64712010617747e-06	0.000173573780863123
TRINITY_DN117179_c0_g1_i1	chchd10	Chr01	86912587	86912587	3.32462539596339	-3.44294768804338	0.184426489992684	-3.62737417803607	1.17237219396915e-17	0.725879166725528	9.7740349008748e-09	5.5538130805179e-16	1	4.70742322728224e-07
TRINITY_DN128186_c0_g1_i4	hapln4	Chr01	101891688	101891688	3.77080460090146	-5.58666207997997	-0.291278075302554	-5.29538400467741	1.72637860822176e-40	0.593982886691599	1.01204831153257e-15	2.55333403572985e-38	1	1.320281897286e-13
TRINITY_DN126739_c1_g1_i1	kiaa0020	Chr01	115761863	115761863	3.3530856453784	0.326208338243674	11.3513053080136	-11.0250969697699	0.671303721049268	8.72066216188581e-08	2.14758171772508e-07	0.807358277082907	6.33842642103466e-05	7.68387219651313e-06
TRINITY_DN122373_c0_g1_i2	kcnv2	Chr01	115809921	115809921	2.5368366467506	-3.57450479480475	0.0241894079502198	-3.59869420275497	7.16258753053409e-14	0.969021908553603	1.2964667015805e-06	2.39748768670075e-12	1	3.80840836276056e-05
TRINITY_DN131149_c0_g2_i1	mamdc2	Chr01	117467899	117467899	6.49075398600276	-3.15035540079133	0.269525719909104	-3.41988112070043	2.85843383969337e-20	0.533821683776448	2.47007585926995e-10	1.60520305624635e-18	1	1.63211064373943e-08
TRINITY_DN114530_c0_g5_i1	mrps18c	Chr01	121827523	121827523	1.11533428465572	-5.94545962049151	1.40432523470721	-7.34978485519872	2.53067300108803e-17	0.322188705275854	5.29944977956302e-09	1.15372384363223e-15	1	2.71252923425158e-07
TRINITY_DN127574_c0_g1_i13	aaed1	Chr01	124125662	124125662	1.78601928741825	-3.31308460726145	-0.4618227722527	-2.85126183500875	9.96117683253584e-12	0.460886430454032	7.45024459446532e-05	2.6368613677719e-10	1	0.00131982431921033
TRINITY_DN126124_c0_g1_i1	mmp14	Chr01	127876910	127876910	1.88561081958904	-6.72023311068076	-0.0270901123464535	-6.69314299833431	2.0881376446153e-28	0.980359748256415	3.57951906933864e-12	1.94579243741277e-26	1	3.12918850875965e-10
TRINITY_DN124802_c6_g3_i1	rem2	Chr01	127940248	127940248	4.30754712227074	-3.28270671301459	-1.31978833276045	-1.96291838025414	2.3571403910355e-08	0.0541198040232412	0.0202991502684364	4.06422969325187e-07	1	0.114957721210764
TRINITY_DN119754_c2_g10_i1	tox4	Chr01	129555702	129555702	0.141972791517284	-0.211884562454451	7.8612269771013	-8.07311153955575	0.721456961275612	3.67132375942323e-06	2.49656076302836e-06	0.840768868839173	0.00167077440933455	6.77078989879301e-05
