gid	gname	chr	start	end	logCPM	logFC.M46.F46	logFC.M46.SR46	logFC.SR46.F46	PV.M46.F46	PV.M46.SR46	PV.SR46.F46	FDR.M46.F46	FDR.M46.SR46	FDR.SR46.F46	Am2_463	Am2_464	Am4_461	Am5_461	Am6_462	Am6_464	average	ward.D
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	3.60041421659492	-1.99468996315324	0.291858171459779	-2.28654813461301	8.61984144096119e-08	0.551364849369519	4.95152429430692e-05	1.3653807373388e-06	1	0.000927553950831177	2.55689230258452	4.72859244692952	2.30211607472943	2.34944997068274	2.97090734265866	4.50145716317663	1	1
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	5.01032256524117	-1.34978374320821	0.0069999452279127	-1.35678368843612	5.65551356556584e-06	0.985396496810264	0.00159296890785585	6.60259796211241e-05	1	0.0166216308642104	4.39722902061567	5.85400582050398	4.21540610419195	4.40582942964345	4.60014402128689	5.65917889708113	1	1
TRINITY_DN100376_c0_g3_i1	NA	NA	NA	NA	0.746661245539506	0.607304341469998	8.78524385698549	-8.17793951551549	0.328493790159933	3.22705844324164e-07	3.63832244166496e-06	0.537295282445737	0.00020523284934406	9.36794378476871e-05	0.586002896008469	0.977522821238505	1.9184658614644	-3.62347759996171	0.687586250171275	0.202799234177312	1	1
TRINITY_DN100754_c0_g1_i1	hsdl2	Chr01	96084504	96084504	3.89451127661949	1.28280359656704	-0.307192914475501	1.58999651104254	0.000468136642442895	0.474729822712607	0.000433791547949839	0.00357303571770321	1	0.00576862417730762	4.19325638638577	3.1103434955537	4.25021507297937	4.44350799997794	3.95303560090454	2.58068693005343	2	2
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	5.99463187945075	-2.14378118139783	-0.623508952945363	-1.52027222845247	6.10031265531878e-11	0.122536558763971	0.00135339261901426	1.4993802283928e-09	1	0.0146506190787676	4.37164216787125	6.99921428733966	5.00680885183599	5.46256855209593	5.04364783829848	6.96305310265055	1	1
TRINITY_DN100904_c0_g1_i1	NA	NA	NA	NA	0.226966960078992	-4.74121173738756	0.76147028465915	-5.50268202204671	1.79699185001247e-09	0.55819964040518	2.51294598878652e-05	3.6223197838722e-08	1	0.000518367772890247	-1.9086148731481	2.31556372698821	-2.72803098416775	-2.76486597159177	-2.37296162213559	0.7386124306948	1	1
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	3.03320079756653	-1.61775283383823	0.308184213047895	-1.92593704688613	0.000100282940940229	0.573732778550841	0.00183169196515107	0.000898590255223139	1	0.0185247464058172	2.29178050193981	4.37368436488651	2.28155354279662	2.01452518334977	2.37621660305589	3.26906916485841	1	1
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	2.70393500664825	-2.69262198520948	-0.296949482746513	-2.39567250246296	4.45237631671947e-09	0.609702558863665	0.000466879006890989	8.61323202441267e-08	1	0.0061321153920527	0.462166173513975	3.83194956633332	0.89598468207892	1.51231511781422	1.88736521617067	3.91907636868874	1	1
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	6.63771267079016	-11.496393299861	-1.19274025824173	-10.3036530416193	2.1986842839159e-101	0.16486793185305	9.88259368047437e-36	2.79661647492683e-97	1	9.54925560553588e-33	-2.28904125354558	8.22298414421765	-2.72803098416775	-1.67992244132142	-2.37296162213559	8.21917215974263	1	1
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	3.29027858220348	-1.46720644225411	0.480790804261758	-1.94799724651586	0.000924271179293454	0.413715755409489	0.0032064351936915	0.00651677786309483	1	0.0290644280709495	3.1044712646632	4.61160961774192	2.29187144281671	2.20206721694113	2.52388529408197	3.42089087808186	1	1
TRINITY_DN101325_c0_g2_i1	pdik1l	Chr02	51099186	51099186	1.52194559914999	1.5108218907054	9.84685722880947	-8.33603533810407	0.181782050430705	0.00023163924780609	0.0014305283011185	0.382620683510401	0.0499378883469416	0.0152904241395603	3.32491808002446	1.75917248936897	1.21072497058699	-3.62347759996171	0.960748355815947	-3.62347759996171	1	1
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	2.32213568878177	-2.36585534414231	0.15098750542262	-2.51684284956493	9.97222896015037e-08	0.796419819992954	0.000183456123661039	1.56401684659226e-06	1	0.00283188126809051	0.586002896008469	3.75838154714566	1.41332765810337	0.972195228413514	1.19033156597113	3.04611817522369	1	1
TRINITY_DN101457_c0_g1_i1	parl	Chr02	48794290	48794290	5.20829298556371	-1.62274557359575	0.147643507614733	-1.77038908121049	8.34267212780535e-08	0.70677175631622	7.58735867842051e-05	1.32726226553621e-06	1	0.00134038067653013	4.45522391986653	6.25150813014323	4.29962503311464	4.31786954693834	4.62216444166689	5.89664328657401	1	1
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	2.70595184994593	0.828370291719973	-1.04336856350977	1.87173885522974	0.12997809456957	0.0988564725948072	0.00614716066817818	0.310820994337824	1	0.04775337735362	1.79770051630206	0.793345380304408	3.2484284183804	3.69108645563147	2.55168819811629	2.4225224797274	2	2
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	3.38291363949779	-3.01061197780887	0.316532999892528	-3.32714497770139	1.85742194711074e-14	0.541028603425128	7.00550558657982e-08	6.68229307689098e-13	1	2.77590430867608e-06	1.57664928883526	4.90656556931837	1.45064479991444	1.37223815377205	1.95832586882344	4.36798170009871	1	1
