gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	-0.336667561	0.336667561	unbias	0.257661278	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.162220112	0.162220112	unbias	0.33834217	G46_M_mean	0.072	0.0933	1.2961
TRINITY_DN100638_c0_g2_i1	LOC100495096	scaffold_261	12460	12460	-1.260719512	1.260719512	female	0.195032263	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100830_c0_g1_i2	NA	NA	NA	NA	3.699629332	3.699629332	male	0.881737443	Testis_mean	0.2337	0.341	1.4595
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	6.562094953	6.562094953	male	0.437639948	G27_mmean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	ca14	Chr08	111966709	111966709	-1.660433523	1.660433523	female	0.606357753	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	NA	NA	NA	NA	-0.747939331	0.747939331	unbias	0.654838779	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101369_c0_g1_i1	sec31a	Chr01	91624136	91624136	-3.404158964	3.404158964	female	0.97872422	Ovary_mean	0.0496	0.0684	1.3795
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-1.975176504	1.975176504	female	0.484065879	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.188324358	0.188324358	unbias	0.170045449	G23_mmean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-1.277621101	1.277621101	female	0.253323869	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	epor	Chr03	129216492	129216492	3.495145334	3.495145334	male	0.459006234	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	sumo2	Chr10	35830902	35830902	2.349384489	2.349384489	male	0.412454283	Brain_fmean	0.0979	0.1516	1.5493
TRINITY_DN101903_c0_g2_i2	phka2-like	Chr02	40416520	40416520	-1.893340213	1.893340213	female	0.469207272	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.241087454	0.241087454	unbias	0.428111172	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102065_c0_g1_i1	slc5a7-like.1	Chr02	105961371	105961371	-2.066848894	2.066848894	female	0.434214696	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	NA	NA	NA	NA	-0.619114318	0.619114318	unbias	0.261237667	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-1.989864092	1.989864092	female	0.497457845	Ovary_mean	0.1384	0.2751	1.9882
TRINITY_DN102279_c0_g1_i1	gak	Chr01	80173675	80173675	-0.370066064	0.370066064	unbias	0.148778968	G23_mmean	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	NA	NA	NA	NA	-0.579886088	0.579886088	unbias	0.636104975	Ovary_mean	0.1168	0.1976	1.6917
TRINITY_DN102459_c0_g1_i1	LOC733553	Chr03	107441880	107441880	-0.891622516	0.891622516	unbias	0.616896586	Brain_mmean	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.125164674	0.125164674	unbias	0.524397524	Liver_fmean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	kiaa1024	Chr03	115651364	115651364	-0.219972405	0.219972405	unbias	0.203652497	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	NA	NA	1.873934767	1.873934767	male	0.54774587	G23_fmean	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	0.409742207	0.409742207	unbias	0.350280171	Brain_mmean	0.1183	0.1998	1.6879
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	-0.780547229	0.780547229	unbias	0.139536702	Ovary_mean	0.1794	0.2865	1.5972
