gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	0.206102682	0.206102682	unbias	0.154410881	G46_F_mean
TRINITY_DN100099_c0_g1_i1	katnb1	Chr04	28039297	28039297	-0.831172014	0.831172014	unbias	0.487386997	Brain_mmean
TRINITY_DN100099_c0_g2_i1	zswim7	Chr02	31296160	31296160	-0.891358465	0.891358465	unbias	0.47119469	Brain_mmean
TRINITY_DN100108_c0_g1_i1	drap1	Chr04	37112616	37112616	-8.433457092	8.433457092	female	0.941515918	Brain_fmean
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-0.487598356	0.487598356	unbias	0.490391902	Ovary_mean
TRINITY_DN100115_c0_g2_i1	NA	NA	NA	NA	2.568132847	2.568132847	male	0.770478867	Testis_mean
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	-0.336667561	0.336667561	unbias	0.257661278	Ovary_mean
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-1.071002812	1.071002812	unbias	0.512994422	Brain_fmean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	0.393879337	0.393879337	unbias	0.465101477	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	2.819026546	2.819026546	male	0.243568285	G46_M_mean
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	2.649538762	2.649538762	male	0.575462817	Brain_mmean
TRINITY_DN100323_c0_g3_i1	NA	NA	NA	NA	-6.197179162	6.197179162	female	0.975749154	Ovary_mean
TRINITY_DN100335_c0_g2_i1	vat1l	Chr04	57105981	57105981	0.306359804	0.306359804	unbias	0.621447976	Testis_mean
TRINITY_DN100358_c0_g1_i1	NA	NA	NA	NA	0.162220112	0.162220112	unbias	0.33834217	G46_M_mean
TRINITY_DN100360_c0_g1_i1	NA	NA	NA	NA	-8.291045975	8.291045975	female	0.973546028	Brain_fmean
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	-0.280862014	0.280862014	unbias	0.398501081	G31_fmean
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	-3.344150855	3.344150855	female	0.536567119	Ovary_mean
TRINITY_DN100399_c0_g2_i1	ifnar1	Chr02	10560295	10560295	-1.840518003	1.840518003	female	0.650247659	Ovary_mean
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	-0.557534452	0.557534452	unbias	0.416926551	Brain_mmean
