gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias	RBH	TRANS	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	-1.344107007	0.250670296	Ovary_mean	female	RBH_pair_7.fa.best.phy	TRINITY_DN100260_c0_g2_i1	0.048	0.0845	1.7581
TRINITY_DN100358_c0_g1_i1	NA	NA	0.488231265	0.315592516	G46_M_mean	unbias	RBH_pair_10.fa.best.phy	TRINITY_DN100358_c0_g1_i1	0.072	0.0933	1.2961
TRINITY_DN100418_c0_g1_i1	NA	NA	1.066283463	0.547874968	G43_M_mean	unbias	RBH_pair_12.fa.best.phy	TRINITY_DN100418_c0_g1_i1	0.2178	0.4114	1.8887
TRINITY_DN100638_c0_g2_i1	NA	NA	-0.496765977	0.194444628	Ovary_mean	unbias	RBH_pair_14.fa.best.phy	TRINITY_DN100638_c0_g2_i1	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	NA	NA	0.6511492	0.482394987	G27_mean	unbias	RBH_pair_17.fa.best.phy	TRINITY_DN100835_c0_g1_i1	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	-1.611944782	0.568551038	Ovary_mean	female	RBH_pair_18.fa.best.phy	TRINITY_DN101042_c0_g2_i1	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	NA	NA	-2.359130221	0.608105373	Ovary_mean	female	RBH_pair_26.fa.best.phy	TRINITY_DN101356_c0_g1_i1	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	-1.617057321	0.456256144	Ovary_mean	female	RBH_pair_29.fa.best.phy	TRINITY_DN101457_c0_g1_i1	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	-0.273144125	0.155105807	G23_mean	unbias	RBH_pair_30.fa.best.phy	TRINITY_DN101488_c0_g2_i2	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	uprt-like	Chr08	-0.788856374	0.246994246	Ovary_mean	unbias	RBH_pair_31.fa.best.phy	TRINITY_DN101542_c0_g1_i1	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	1.109236347	0.42239493	G43_F_mean	male	RBH_pair_34.fa.best.phy	TRINITY_DN101728_c0_g2_i1	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	sh2b2	Chr02	0.803252576	0.389206888	Brain_mean	unbias	RBH_pair_37.fa.best.phy	TRINITY_DN101809_c0_g1_i2	0.0979	0.1516	1.5493
TRINITY_DN101821_c0_g1_i1	NA	NA	0.233725162	0.72321634	Brain_mean	unbias	RBH_pair_38.fa.best.phy	TRINITY_DN101821_c0_g1_i1	0.1315	0.1055	0.8024
TRINITY_DN101903_c0_g2_i2	NA	NA	-0.66319214	0.437470329	Ovary_mean	unbias	RBH_pair_41.fa.best.phy	TRINITY_DN101903_c0_g2_i2	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	NA	NA	-0.579339572	0.411181266	Ovary_mean	unbias	RBH_pair_45.fa.best.phy	TRINITY_DN101953_c0_g1_i3	0.1123	0.1753	1.5602
TRINITY_DN102026_c0_g1_i2	inmt	Chr07	0.961032631	0.532322044	Brain_mean	unbias	RBH_pair_47.fa.best.phy	TRINITY_DN102026_c0_g1_i2	0.0728	0.1038	1.4255
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	-2.156195295	0.403031814	Ovary_mean	female	RBH_pair_48.fa.best.phy	TRINITY_DN102065_c0_g1_i1	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	-1.099192848	0.253002842	Ovary_mean	female	RBH_pair_49.fa.best.phy	TRINITY_DN102078_c0_g1_i1	0.0307	0.0444	1.4466
TRINITY_DN102167_c0_g1_i2	NA	NA	-0.62020288	0.278699067	Ovary_mean	unbias	RBH_pair_52.fa.best.phy	TRINITY_DN102167_c0_g1_i2	0.0123	0.0161	1.3059
TRINITY_DN102186_c0_g1_i2	NA	NA	0.755802532	0.549792995	G43_F_mean	unbias	RBH_pair_53.fa.best.phy	TRINITY_DN102186_c0_g1_i2	0.0695	0.1113	1.6012
TRINITY_DN102279_c0_g1_i1	NA	NA	-0.025596801	0.132303324	G23_mean	unbias	RBH_pair_59.fa.best.phy	TRINITY_DN102279_c0_g1_i1	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	triobp	Chr04	-0.558424958	0.570520612	Ovary_mean	unbias	RBH_pair_60.fa.best.phy	TRINITY_DN102288_c0_g1_i1	0.1168	0.1976	1.6917
TRINITY_DN102312_c0_g1_i1	mnat1	Chr08	-0.097275255	0.559183584	G27_mean	unbias	RBH_pair_61.fa.best.phy	TRINITY_DN102312_c0_g1_i1	0.2088	0.248	1.1875
TRINITY_DN102393_c0_g1_i1	NA	NA	0.188561578	0.665881596	G27_mean	unbias	RBH_pair_62.fa.best.phy	TRINITY_DN102393_c0_g1_i1	0.168	0.2435	1.4497
TRINITY_DN102400_c0_g1_i1	NA	NA	-0.695102521	0.175182122	Testis_mean	unbias	RBH_pair_63.fa.best.phy	TRINITY_DN102400_c0_g1_i1	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	-0.174624496	0.173678848	Ovary_mean	unbias	RBH_pair_64.fa.best.phy	TRINITY_DN102455_c0_g1_i1	0.128	0.2116	1.6526
TRINITY_DN102459_c0_g1_i1	NA	NA	1.190080261	0.56214195	Brain_mean	unbias	RBH_pair_65.fa.best.phy	TRINITY_DN102459_c0_g1_i1	0.0406	0.072	1.7709
TRINITY_DN102469_c0_g1_i1	NA	NA	0.629973398	0.46905447	Liver_mean	unbias	RBH_pair_66.fa.best.phy	TRINITY_DN102469_c0_g1_i1	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	-0.014397321	0.198656899	Ovary_mean	unbias	RBH_pair_68.fa.best.phy	TRINITY_DN102493_c0_g1_i1	0.038	0.0702	1.8454
TRINITY_DN102500_c0_g1_i1	NA	NA	-0.053373453	0.551779824	G23_mean	unbias	RBH_pair_70.fa.best.phy	TRINITY_DN102500_c0_g1_i1	0.0467	0.0534	1.1438
TRINITY_DN102539_c0_g1_i1	NA	NA	-0.040765932	0.261451474	Brain_mean	unbias	RBH_pair_71.fa.best.phy	TRINITY_DN102539_c0_g1_i1	0.1183	0.1998	1.6879
TRINITY_DN102581_c0_g1_i2	NA	NA	-5.202101884	0.737419528	Ovary_mean	female	RBH_pair_73.fa.best.phy	TRINITY_DN102581_c0_g1_i2	0.1789	0.2786	1.5577
TRINITY_DN102595_c0_g1_i2	slc25a10	Chr10	0.419113155	0.575191016	G43_M_mean	unbias	RBH_pair_74.fa.best.phy	TRINITY_DN102595_c0_g1_i2	0.0532	0.0718	1.3508
TRINITY_DN103107_c0_g1_i1	NA	NA	-0.038065352	0.135045065	Ovary_mean	unbias	RBH_pair_77.fa.best.phy	TRINITY_DN103107_c0_g1_i1	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	0.421735541	0.328031285	Testis_mean	unbias	RBH_pair_78.fa.best.phy	TRINITY_DN103150_c0_g1_i1	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	lhx9	Chr04	0.28317655	0.523378908	Brain_mean	unbias	RBH_pair_79.fa.best.phy	TRINITY_DN103157_c0_g1_i2	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	-0.286978962	0.142706311	Ovary_mean	unbias	RBH_pair_83.fa.best.phy	TRINITY_DN103209_c0_g3_i2	0.1141	0.2017	1.7681
TRINITY_DN103509_c0_g1_i1	NA	NA	-0.060005155	0.632057413	G23_mean	unbias	RBH_pair_84.fa.best.phy	TRINITY_DN103509_c0_g1_i1	0.1007	0.1285	1.2759
TRINITY_DN103526_c0_g1_i1	NA	NA	-2.409666638	0.601049357	Ovary_mean	female	RBH_pair_85.fa.best.phy	TRINITY_DN103526_c0_g1_i1	0.0511	0.0908	1.7749
TRINITY_DN103549_c0_g1_i1	NA	NA	-1.371772163	0.287912192	Ovary_mean	female	RBH_pair_88.fa.best.phy	TRINITY_DN103549_c0_g1_i1	0.0579	0.1024	1.7679
TRINITY_DN103584_c0_g2_i1	NA	NA	0.679803721	0.597186521	G43_M_mean	unbias	RBH_pair_91.fa.best.phy	TRINITY_DN103584_c0_g2_i1	0.0662	0.0951	1.4364
TRINITY_DN103621_c0_g1_i2	NA	NA	-3.807957397	0.656361493	Ovary_mean	female	RBH_pair_94.fa.best.phy	TRINITY_DN103621_c0_g1_i2	0.1704	0.2308	1.3544
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	-3.268973096	0.490328287	Ovary_mean	female	RBH_pair_95.fa.best.phy	TRINITY_DN103622_c0_g3_i3	0.1036	0.1679	1.6208
TRINITY_DN103653_c0_g1_i1	NA	NA	-1.734627143	0.765978192	Brain_mean	female	RBH_pair_97.fa.best.phy	TRINITY_DN103653_c0_g1_i1	0.0311	0.0462	1.4862
TRINITY_DN103698_c0_g1_i1	spaca5-like.2	Chr10	2.508684921	0.667717713	Brain_mean	male	RBH_pair_102.fa.best.phy	TRINITY_DN103698_c0_g1_i1	0.009	0.0124	1.3701
TRINITY_DN103720_c0_g1_i2	irf2bpl	Chr08	-0.417413516	0.446706954	Ovary_mean	unbias	RBH_pair_106.fa.best.phy	TRINITY_DN103720_c0_g1_i2	0.1192	0.1809	1.5179
TRINITY_DN103783_c0_g1_i1	NA	NA	-1.131018074	0.454331592	Ovary_mean	female	RBH_pair_110.fa.best.phy	TRINITY_DN103783_c0_g1_i1	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	NA	NA	-6.646268876	0.745128049	Ovary_mean	female	RBH_pair_113.fa.best.phy	TRINITY_DN103838_c0_g1_i1	0.0743	0.1212	1.6324
TRINITY_DN103855_c0_g1_i1	NA	NA	0.616818312	0.494297555	Testis_mean	unbias	RBH_pair_115.fa.best.phy	TRINITY_DN103855_c0_g1_i1	0.0197	0.0249	1.2626
TRINITY_DN103859_c0_g1_i1	NA	NA	-0.607139694	0.89255607	Testis_mean	unbias	RBH_pair_116.fa.best.phy	TRINITY_DN103859_c0_g1_i1	0.1828	0.3626	1.9837
TRINITY_DN103891_c0_g1_i1	NA	NA	0.421838355	0.452501156	Brain_mean	unbias	RBH_pair_122.fa.best.phy	TRINITY_DN103891_c0_g1_i1	0.077	0.1254	1.6285
TRINITY_DN103896_c0_g1_i2	ptgr2	Chr08	0.174633571	0.580831565	G23_mean	unbias	RBH_pair_123.fa.best.phy	TRINITY_DN103896_c0_g1_i2	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	-1.035593199	0.253272654	Ovary_mean	female	RBH_pair_126.fa.best.phy	TRINITY_DN103989_c0_g1_i1	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	NA	NA	-0.472107079	0.258729367	Testis_mean	unbias	RBH_pair_131.fa.best.phy	TRINITY_DN104173_c0_g1_i1	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	NA	NA	-3.681619619	0.692934562	Ovary_mean	female	RBH_pair_132.fa.best.phy	TRINITY_DN104207_c0_g1_i1	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	LOC100489713	Chr06	0.16717616	0.476666531	Brain_mean	unbias	RBH_pair_133.fa.best.phy	TRINITY_DN104287_c1_g1_i1	0.0892	0.173	1.9391
