gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN101042_c0_g2_i1	NA	NA	-1.611944782	0.568551038	Ovary_mean	female	0.0354	0.0565	1.5983	G46
TRINITY_DN101457_c0_g1_i1	NA	NA	-1.617057321	0.456256144	Ovary_mean	female	0.1189	0.2181	1.8344	G46
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	-2.156195295	0.403031814	Ovary_mean	female	0.0308	0.0476	1.5475	G46
TRINITY_DN103526_c0_g1_i1	NA	NA	-2.409666638	0.601049357	Ovary_mean	female	0.0511	0.0908	1.7749	G46
TRINITY_DN103621_c0_g1_i2	NA	NA	-3.807957397	0.656361493	Ovary_mean	female	0.1704	0.2308	1.3544	G46
TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	-3.268973096	0.490328287	Ovary_mean	female	0.1036	0.1679	1.6208	G46
TRINITY_DN103653_c0_g1_i1	NA	NA	-1.734627143	0.765978192	Brain_mean	female	0.0311	0.0462	1.4862	G46
TRINITY_DN103783_c0_g1_i1	NA	NA	-1.131018074	0.454331592	Ovary_mean	female	0.1565	0.2719	1.738	G46
TRINITY_DN103838_c0_g1_i1	NA	NA	-6.646268876	0.745128049	Ovary_mean	female	0.0743	0.1212	1.6324	G46
TRINITY_DN104751_c0_g1_i2	NA	NA	-1.464496149	0.383417863	Ovary_mean	female	0.0416	0.06	1.4428	G46
TRINITY_DN105440_c0_g1_i1	NA	NA	-4.071972548	0.660503475	Ovary_mean	female	0.05	0.0838	1.6769	G46
TRINITY_DN105578_c0_g1_i1	NA	NA	-4.703992967	0.754051954	Ovary_mean	female	0.1479	0.2113	1.4289	G46
TRINITY_DN105601_c0_g1_i1	NA	NA	-5.008871934	0.654871744	Ovary_mean	female	0.0889	0.1503	1.6911	G46
TRINITY_DN105647_c0_g2_i1	NA	NA	-11.81141532	0.856680274	Ovary_mean	female	0.5406	0.7804	1.4436	G46
TRINITY_DN106065_c0_g1_i2	NA	NA	-1.299027206	0.424193039	Ovary_mean	female	0.0442	0.0531	1.2023	G46
TRINITY_DN106464_c0_g2_i1	NA	NA	-2.390172886	0.725671081	Brain_mean	female	0.0366	0.0529	1.4454	G46
TRINITY_DN106942_c0_g1_i1	NA	NA	-1.878857317	0.581132541	Ovary_mean	female	0.0487	0.0873	1.7914	G46
TRINITY_DN107308_c0_g1_i1	wasl	Chr03	-1.203030321	0.490766137	Ovary_mean	female	0.0086	0.0117	1.3675	G46
TRINITY_DN107530_c1_g1_i1	psmd11	Chr10	-1.16468088	0.29917091	Ovary_mean	female	0.0974	0.1502	1.5415	G46
TRINITY_DN107696_c0_g1_i4	NA	NA	-1.342941941	0.513780259	Ovary_mean	female	0.0631	0.067	1.0609	G46
TRINITY_DN107740_c0_g1_i1	NA	NA	-2.063017987	0.611786971	Ovary_mean	female	0.0127	0.0151	1.1955	G46
TRINITY_DN108427_c0_g3_i5	NA	NA	-1.848577304	0.423719915	Ovary_mean	female	0.0748	0.1472	1.9671	G46
TRINITY_DN108436_c0_g1_i2	ate1-like	Chr07	-1.38155846	0.48668377	Ovary_mean	female	0.1115	0.0839	0.7527	G46
TRINITY_DN108930_c0_g1_i3	NA	NA	-2.260625998	0.479124657	G27_mean	female	0.2597	0.433	1.6673	G46
TRINITY_DN108932_c0_g1_i1	NA	NA	-2.490433995	0.369166807	Ovary_mean	female	0.1002	0.0906	0.9041	G46
TRINITY_DN109275_c0_g1_i1	NA	NA	-2.905882991	0.478059501	Ovary_mean	female	0.0644	0.1112	1.7268	G46
TRINITY_DN109430_c0_g5_i1	brox	Chr05	-1.690559315	0.565408613	Ovary_mean	female	0.165	0.2426	1.4703	G46
TRINITY_DN109560_c0_g1_i1	NA	NA	-1.918763153	0.526851568	Ovary_mean	female	0.1453	0.2157	1.4848	G46
TRINITY_DN109596_c0_g1_i1	NA	NA	-7.755034001	0.709010869	Ovary_mean	female	0.0744	0.111	1.4913	G46
TRINITY_DN109666_c0_g1_i1	NA	NA	-12.10335183	0.808450443	Ovary_mean	female	0.1894	0.3577	1.8886	G46
TRINITY_DN109667_c0_g1_i2	NA	NA	-1.20102945	0.341072917	Ovary_mean	female	0.0371	0.0672	1.8078	G46
TRINITY_DN109913_c0_g1_i1	NA	NA	-9.298120997	0.90284786	Ovary_mean	female	0.1951	0.329	1.6866	G46
TRINITY_DN109929_c0_g1_i1	NA	NA	-11.15822606	0.830558631	Ovary_mean	female	0.0768	0.1115	1.4529	G46
TRINITY_DN109936_c0_g2_i1	NA	NA	-1.594062881	0.381561212	Ovary_mean	female	0.0183	0.0269	1.4722	G46
TRINITY_DN110022_c0_g1_i1	NA	NA	-2.667071305	0.451953779	Ovary_mean	female	0.0759	0.12	1.5823	G46
TRINITY_DN110037_c0_g1_i1	NA	NA	-3.298390808	0.7576335	Ovary_mean	female	0.06	0.0777	1.2952	G46
TRINITY_DN110103_c0_g1_i1	Xetrov90030986m	scaffold_99	-8.569026429	0.873793545	Ovary_mean	female	0.0936	0.1712	1.8293	G46
TRINITY_DN110265_c0_g1_i1	NA	NA	-1.076460138	0.410874473	Ovary_mean	female	0.0534	0.0796	1.4913	G46
TRINITY_DN110346_c0_g1_i2	NA	NA	-1.767349659	0.431359026	Ovary_mean	female	0.0737	0.1275	1.7291	G46
TRINITY_DN110679_c0_g1_i1	NA	NA	-10.76486731	0.890071596	Ovary_mean	female	0.1135	0.1386	1.2213	G46
TRINITY_DN110780_c0_g1_i2	NA	NA	-2.75852712	0.620690618	Ovary_mean	female	0.1339	0.1281	0.9568	G46
TRINITY_DN110993_c0_g1_i2	NA	NA	-1.541823956	0.449030578	Ovary_mean	female	0.0685	0.0716	1.0444	G46
TRINITY_DN111028_c0_g1_i1	NA	NA	-13.05645752	0.860872775	Ovary_mean	female	0.1157	0.1407	1.2163	G46
TRINITY_DN111223_c0_g1_i1	NA	NA	-1.565828924	0.362263447	Ovary_mean	female	0.0334	0.0378	1.1319	G46
TRINITY_DN111236_c0_g1_i1	NA	NA	-6.277773293	0.796821699	Ovary_mean	female	0.0342	0.0568	1.6622	G46
TRINITY_DN111590_c0_g1_i1	LOC733842	scaffold_208	-1.333951497	0.331355107	Ovary_mean	female	0.0636	0.1067	1.6789	G46
TRINITY_DN111594_c0_g1_i2	NA	NA	-5.585302352	0.698221224	Ovary_mean	female	0.1131	0.1922	1.7001	G46
TRINITY_DN111860_c0_g1_i1	afg3l1p	Chr04	-2.263086779	0.545643192	Ovary_mean	female	0.0065	0.0129	1.9956	G46
TRINITY_DN112103_c0_g1_i1	NA	NA	-1.113381032	0.258387937	Ovary_mean	female	0.0145	0.021	1.455	G46
TRINITY_DN112117_c1_g1_i4	uba3	Chr04	-3.727382775	0.75816465	Ovary_mean	female	0.08	0.0821	1.0271	G46
TRINITY_DN112166_c0_g2_i1	NA	NA	-2.194736124	0.495494002	Ovary_mean	female	0.0432	0.0426	0.9858	G46
TRINITY_DN112272_c0_g1_i1	NA	NA	-9.024170148	0.853146705	Ovary_mean	female	0.2092	0.3533	1.6892	G46
TRINITY_DN112341_c0_g1_i1	metap2	Chr03	-2.163451508	0.399500846	Ovary_mean	female	0.0139	0.0212	1.5287	G46
TRINITY_DN112453_c0_g3_i1	NA	NA	-2.913686733	0.465638829	Ovary_mean	female	0.0712	0.1194	1.6772	G46
TRINITY_DN112473_c1_g1_i1	NA	NA	-3.555663102	0.710127482	Brain_mean	female	0.0902	0.1123	1.2449	G46
TRINITY_DN112473_c1_g2_i2	ptrh2	Chr02	-1.549810973	0.518790658	Ovary_mean	female	0.0734	0.0941	1.2819	G46
TRINITY_DN112501_c0_g1_i7	NA	NA	-2.415955498	0.476957695	Ovary_mean	female	0.1245	0.1917	1.5398	G46
TRINITY_DN112693_c0_g2_i1	prim2	Chr05	-4.132982013	0.728887452	Ovary_mean	female	0.1077	0.1599	1.4849	G46
TRINITY_DN112755_c0_g2_i1	kiaa1468	Chr06	-4.256706749	0.766021087	Ovary_mean	female	0.035	0.0574	1.6416	G46
TRINITY_DN112841_c0_g1_i1	NA	NA	-3.799414906	0.740099764	Ovary_mean	female	0.0857	0.1154	1.3469	G46
TRINITY_DN112907_c0_g2_i1	NA	NA	-3.392442607	0.448255658	Ovary_mean	female	0.0792	0.1344	1.696	G46
TRINITY_DN112953_c0_g1_i2	NA	NA	-2.240548771	0.536402388	Ovary_mean	female	0.1104	0.214	1.9383	G46
TRINITY_DN113124_c0_g1_i3	NA	NA	-1.731037268	0.392345703	Ovary_mean	female	0.0639	0.1019	1.5957	G46
TRINITY_DN113212_c0_g2_i2	stmn4	Chr05	-1.966008182	0.4185641	Ovary_mean	female	0.0389	0.0355	0.9134	G46
TRINITY_DN113341_c0_g1_i2	NA	NA	-1.508485673	0.451796403	Ovary_mean	female	0.1436	0.213	1.4827	G46
TRINITY_DN113530_c0_g1_i1	NA	NA	-1.504921311	0.477415451	Ovary_mean	female	0.0468	0.0843	1.8017	G46
TRINITY_DN113561_c0_g1_i1	nckap1l-like	Chr02	-2.383378375	0.506135272	Ovary_mean	female	0.1627	0.2879	1.7688	G46
TRINITY_DN113595_c0_g2_i2	NA	NA	-1.828461382	0.737328578	Ovary_mean	female	0.0922	0.1409	1.5284	G46
TRINITY_DN113605_c0_g1_i1	NA	NA	-2.999980396	0.727432061	Ovary_mean	female	0.0353	0.0483	1.369	G46
TRINITY_DN113753_c1_g1_i1	NA	NA	-1.215231431	0.38819218	Ovary_mean	female	0.0406	0.0656	1.617	G46
TRINITY_DN113760_c0_g3_i2	NA	NA	-7.360741694	0.81507379	Ovary_mean	female	0.1841	0.2909	1.5801	G46
TRINITY_DN113911_c0_g2_i1	NA	NA	-2.421101667	0.514219095	Ovary_mean	female	0.1325	0.166	1.2531	G46
TRINITY_DN113980_c0_g1_i2	NA	NA	-2.662356383	0.471973207	Ovary_mean	female	0.0699	0.1308	1.8717	G46
TRINITY_DN114052_c0_g1_i1	tmem54	Chr02	-1.324180582	0.528431235	Ovary_mean	female	0.0433	0.0822	1.8971	G46
TRINITY_DN114190_c0_g1_i2	NA	NA	-3.400145907	0.573038131	Ovary_mean	female	0.0545	0.0905	1.6614	G46
TRINITY_DN114305_c0_g2_i2	pgm2	Chr01	-1.789704253	0.689828917	Ovary_mean	female	0.1223	0.1721	1.4074	G46
TRINITY_DN114338_c0_g2_i2	NA	NA	-2.927491733	0.433249892	Ovary_mean	female	0.0975	0.1516	1.5545	G46
TRINITY_DN114344_c0_g2_i1	NA	NA	-2.189278562	0.514614394	Ovary_mean	female	0.068	0.0927	1.3623	G46
TRINITY_DN114443_c0_g1_i1	NA	NA	-6.016347243	0.902979599	Ovary_mean	female	0.1329	0.2534	1.9061	G46
TRINITY_DN114651_c0_g1_i3	NA	NA	-2.344519682	0.422673948	Ovary_mean	female	0.0352	0.0533	1.516	G46
TRINITY_DN114661_c0_g1_i2	NA	NA	-1.483484164	0.446769812	Ovary_mean	female	0.1904	0.2674	1.4042	G46
TRINITY_DN114768_c0_g1_i1	NA	NA	-1.639979905	0.638128497	Brain_mean	female	0.0428	0.0579	1.3543	G46
TRINITY_DN114776_c0_g1_i3	NA	NA	-1.516065281	0.500147724	Ovary_mean	female	0.1473	0.2605	1.7677	G46
TRINITY_DN114784_c0_g1_i2	LOC100496116	Chr05	-3.514607291	0.668213307	Ovary_mean	female	0.1263	0.1886	1.493	G46
TRINITY_DN114798_c0_g1_i1	dlk1-like	Chr08	-2.205052877	0.620057828	Ovary_mean	female	0.1779	0.2087	1.1728	G46
TRINITY_DN114799_c0_g1_i1	NA	NA	-1.146766113	0.471985953	Ovary_mean	female	0.1019	0.155	1.5219	G46
TRINITY_DN114817_c0_g1_i3	NA	NA	-2.748624428	0.832099963	Ovary_mean	female	0.2445	0.3003	1.2284	G46
TRINITY_DN114836_c0_g1_i1	pomc	scaffold_452	-1.283652708	0.509801808	Ovary_mean	female	0.0254	0.0329	1.2929	G46
TRINITY_DN114850_c0_g1_i1	tm4sf20	Chr05	-1.327871891	0.313333278	Ovary_mean	female	0.1928	0.2321	1.2039	G46
TRINITY_DN114904_c0_g1_i7	NA	NA	-1.652064302	0.535584248	Ovary_mean	female	0.1286	0.1809	1.4068	G46
TRINITY_DN114928_c0_g1_i1	NA	NA	-1.063770784	0.491194418	Ovary_mean	female	0.029	0.0374	1.2913	G46
TRINITY_DN114945_c0_g2_i1	pphln1	Chr03	-1.899885011	0.703619423	Ovary_mean	female	0.0461	0.0759	1.6471	G46
TRINITY_DN114976_c0_g1_i1	NA	NA	-1.209385907	0.432127009	Ovary_mean	female	0.1002	0.1556	1.5528	G46
TRINITY_DN115010_c0_g4_i2	NA	NA	-1.482390139	0.384305654	Ovary_mean	female	0.1038	0.2032	1.9588	G46
