gid	direction	gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias
TRINITY_DN100904_c0_g1_i1	female	TRINITY_DN100904_c0_g1_i1	NA	NA	-4.73466241	0.761740109	Ovary_mean	female
TRINITY_DN101042_c0_g2_i1	female	TRINITY_DN101042_c0_g2_i1	NA	NA	-1.611944782	0.568551038	Ovary_mean	female
TRINITY_DN101047_c0_g1_i2	female	TRINITY_DN101047_c0_g1_i2	NA	NA	-2.686553236	0.674802958	Ovary_mean	female
TRINITY_DN101072_c0_g2_i2	female	TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	-11.48717789	0.83180771	Ovary_mean	female
TRINITY_DN101457_c0_g1_i1	female	TRINITY_DN101457_c0_g1_i1	NA	NA	-1.617057321	0.456256144	Ovary_mean	female
TRINITY_DN101751_c0_g1_i1	female	TRINITY_DN101751_c0_g1_i1	NA	NA	-3.004701222	0.488707151	Ovary_mean	female
TRINITY_DN10201_c0_g1_i1	female	TRINITY_DN10201_c0_g1_i1	senp8	Chr03	-4.275431453	0.724792982	G46_F_mean	female
TRINITY_DN102065_c0_g1_i1	female	TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	-2.156195295	0.403031814	Ovary_mean	female
TRINITY_DN102365_c0_g1_i1	female	TRINITY_DN102365_c0_g1_i1	NA	NA	-2.968329919	0.485979641	Ovary_mean	female
TRINITY_DN102412_c0_g1_i1	female	TRINITY_DN102412_c0_g1_i1	NA	NA	-2.48481871	0.660680263	G46_F_mean	female
TRINITY_DN102559_c0_g2_i1	female	TRINITY_DN102559_c0_g2_i1	NA	NA	-2.510943909	0.445084774	Ovary_mean	female
TRINITY_DN102628_c0_g1_i1	female	TRINITY_DN102628_c0_g1_i1	NA	NA	-6.942247868	0.87057684	Ovary_mean	female
TRINITY_DN102894_c0_g1_i2	female	TRINITY_DN102894_c0_g1_i2	NA	NA	-14.88551524	0.867868075	Ovary_mean	female
TRINITY_DN102894_c0_g2_i1	female	TRINITY_DN102894_c0_g2_i1	NA	NA	-11.94937372	0.846612067	Ovary_mean	female
TRINITY_DN103526_c0_g1_i1	female	TRINITY_DN103526_c0_g1_i1	NA	NA	-2.409666638	0.601049357	Ovary_mean	female
TRINITY_DN103537_c0_g1_i1	female	TRINITY_DN103537_c0_g1_i1	NA	NA	-1.951589137	0.473927077	Ovary_mean	female
TRINITY_DN103565_c0_g1_i1	female	TRINITY_DN103565_c0_g1_i1	NA	NA	-1.729409902	0.516075377	Ovary_mean	female
TRINITY_DN103565_c0_g4_i1	female	TRINITY_DN103565_c0_g4_i1	NA	NA	-5.01153916	0.904829466	Ovary_mean	female
TRINITY_DN103621_c0_g1_i2	female	TRINITY_DN103621_c0_g1_i2	NA	NA	-3.807957397	0.656361493	Ovary_mean	female
TRINITY_DN103622_c0_g3_i3	female	TRINITY_DN103622_c0_g3_i3	dhx15	Chr01	-3.268973096	0.490328287	Ovary_mean	female
TRINITY_DN103637_c0_g1_i1	female	TRINITY_DN103637_c0_g1_i1	NA	NA	-3.259103652	0.557196878	Ovary_mean	female
TRINITY_DN103637_c0_g2_i1	female	TRINITY_DN103637_c0_g2_i1	NA	NA	-14.0437609	0.856251527	Ovary_mean	female
TRINITY_DN103653_c0_g1_i1	female	TRINITY_DN103653_c0_g1_i1	NA	NA	-1.734627143	0.765978192	Brain_mean	female
TRINITY_DN103783_c0_g1_i1	female	TRINITY_DN103783_c0_g1_i1	NA	NA	-1.131018074	0.454331592	Ovary_mean	female
TRINITY_DN103798_c0_g1_i1	female	TRINITY_DN103798_c0_g1_i1	ercc3	scaffold_33	-13.09839422	0.841909768	Ovary_mean	female
TRINITY_DN103834_c0_g3_i1	female	TRINITY_DN103834_c0_g3_i1	NA	NA	-1.902529033	0.492756494	Ovary_mean	female
TRINITY_DN103838_c0_g1_i1	female	TRINITY_DN103838_c0_g1_i1	NA	NA	-6.646268876	0.745128049	Ovary_mean	female
TRINITY_DN103897_c0_g2_i1	female	TRINITY_DN103897_c0_g2_i1	NA	NA	-10.24131002	0.853466082	Ovary_mean	female
TRINITY_DN103912_c0_g1_i1	female	TRINITY_DN103912_c0_g1_i1	NA	NA	-1.24876975	0.414787075	Brain_mean	female
TRINITY_DN104337_c0_g1_i1	female	TRINITY_DN104337_c0_g1_i1	NA	NA	-1.095422433	0.3847409	Brain_mean	female
TRINITY_DN104496_c0_g2_i1	female	TRINITY_DN104496_c0_g2_i1	NA	NA	-3.096085064	0.779073532	Ovary_mean	female
TRINITY_DN104550_c0_g2_i1	female	TRINITY_DN104550_c0_g2_i1	NA	NA	-2.253810255	0.542801631	Ovary_mean	female
TRINITY_DN104751_c0_g1_i2	female	TRINITY_DN104751_c0_g1_i2	NA	NA	-1.464496149	0.383417863	Ovary_mean	female
TRINITY_DN104838_c0_g1_i1	female	TRINITY_DN104838_c0_g1_i1	NA	NA	-1.532800673	0.744429372	Ovary_mean	female
TRINITY_DN105215_c0_g1_i1	female	TRINITY_DN105215_c0_g1_i1	NA	NA	-1.612990255	0.451281293	Ovary_mean	female
TRINITY_DN105440_c0_g1_i1	female	TRINITY_DN105440_c0_g1_i1	NA	NA	-4.071972548	0.660503475	Ovary_mean	female
TRINITY_DN105453_c0_g1_i1	female	TRINITY_DN105453_c0_g1_i1	slc27a4	Chr08	-1.249512122	0.332925801	Ovary_mean	female
TRINITY_DN105455_c0_g3_i1	female	TRINITY_DN105455_c0_g3_i1	NA	NA	-3.137029265	0.664385224	Ovary_mean	female
TRINITY_DN105525_c0_g1_i1	female	TRINITY_DN105525_c0_g1_i1	NA	NA	-6.587444528	0.83723512	Ovary_mean	female
TRINITY_DN105578_c0_g1_i1	female	TRINITY_DN105578_c0_g1_i1	NA	NA	-4.703992967	0.754051954	Ovary_mean	female
TRINITY_DN105601_c0_g1_i1	female	TRINITY_DN105601_c0_g1_i1	NA	NA	-5.008871934	0.654871744	Ovary_mean	female
TRINITY_DN105624_c0_g1_i1	female	TRINITY_DN105624_c0_g1_i1	NA	NA	-10.84079259	0.912901138	Ovary_mean	female
TRINITY_DN105647_c0_g2_i1	female	TRINITY_DN105647_c0_g2_i1	NA	NA	-11.81141532	0.856680274	Ovary_mean	female
TRINITY_DN105941_c0_g1_i1	female	TRINITY_DN105941_c0_g1_i1	NA	NA	-1.582370867	0.469810406	Ovary_mean	female
TRINITY_DN106065_c0_g1_i2	female	TRINITY_DN106065_c0_g1_i2	NA	NA	-1.299027206	0.424193039	Ovary_mean	female
TRINITY_DN106219_c0_g3_i1	female	TRINITY_DN106219_c0_g3_i1	NA	NA	-1.940058898	0.316342524	Ovary_mean	female
TRINITY_DN106464_c0_g2_i1	female	TRINITY_DN106464_c0_g2_i1	NA	NA	-2.390172886	0.725671081	Brain_mean	female
TRINITY_DN106700_c0_g5_i1	female	TRINITY_DN106700_c0_g5_i1	NA	NA	-1.862735006	0.44533412	Ovary_mean	female
TRINITY_DN106815_c0_g2_i2	female	TRINITY_DN106815_c0_g2_i2	NA	NA	-2.024925012	0.351170743	Ovary_mean	female
TRINITY_DN106873_c0_g1_i2	female	TRINITY_DN106873_c0_g1_i2	NA	NA	-6.0798219	0.686129774	Ovary_mean	female
TRINITY_DN106942_c0_g1_i1	female	TRINITY_DN106942_c0_g1_i1	NA	NA	-1.878857317	0.581132541	Ovary_mean	female
