gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias
TRINITY_DN100034_c0_g1_i1	NA	NA	-1.421971308	0.156573961	G46_F_mean	female
TRINITY_DN100115_c0_g1_i1	NA	NA	-1.988918474	0.459221931	Ovary_mean	female
TRINITY_DN100260_c0_g2_i1	NA	NA	-1.344107007	0.250670296	Ovary_mean	female
TRINITY_DN100376_c0_g1_i1	NA	NA	-1.372111536	0.345277235	G31_mean	female
TRINITY_DN100856_c0_g1_i1	NA	NA	-1.484850461	0.257924434	G46_F_mean	female
TRINITY_DN100882_c0_g1_i1	NA	NA	-2.138227805	0.290451992	Ovary_mean	female
TRINITY_DN100904_c0_g1_i1	NA	NA	-4.73466241	0.761740109	Ovary_mean	female
TRINITY_DN101042_c0_g2_i1	NA	NA	-1.611944782	0.568551038	Ovary_mean	female
TRINITY_DN101047_c0_g1_i2	NA	NA	-2.686553236	0.674802958	Ovary_mean	female
TRINITY_DN101072_c0_g2_i2	hdgf	Chr08	-11.48717789	0.83180771	Ovary_mean	female
TRINITY_DN101087_c0_g1_i1	NA	NA	-1.461381506	0.272358664	Ovary_mean	female
TRINITY_DN101111_c0_g1_i2	skap2	Chr06	-1.903766797	0.430844052	Ovary_mean	female
TRINITY_DN101356_c0_g1_i1	NA	NA	-2.359130221	0.608105373	Ovary_mean	female
TRINITY_DN101457_c0_g1_i1	NA	NA	-1.617057321	0.456256144	Ovary_mean	female
TRINITY_DN101751_c0_g1_i1	NA	NA	-3.004701222	0.488707151	Ovary_mean	female
TRINITY_DN102016_c0_g1_i1	NA	NA	-1.046272184	0.313979328	Ovary_mean	female
TRINITY_DN10201_c0_g1_i1	senp8	Chr03	-4.275431453	0.724792982	G46_F_mean	female
TRINITY_DN102065_c0_g1_i1	LOC101733140	Chr04	-2.156195295	0.403031814	Ovary_mean	female
TRINITY_DN102078_c0_g1_i1	naf1	Chr01	-1.099192848	0.253002842	Ovary_mean	female
TRINITY_DN102272_c0_g1_i1	NA	NA	-1.473375874	0.421140065	Ovary_mean	female
