gid	gname	chr	start	end	logCPM	logFC.ML.FL	PV.ML.FL	FDR.ML.FL
TRINITY_DN134935_c0_g2_i1	slc12a2	Chr01	159210667	159210667	0.587346400083447	-4.79936353925147	1.40953355737555e-10	9.53599792048749e-08
TRINITY_DN124267_c8_g1_i2	nudc	Chr02	51999373	51999373	3.47924827033119	-4.04007390568093	1.952250203351e-05	0.00385223704188312
TRINITY_DN117920_c0_g1_i5	fam3c	Chr03	60043221	60043221	2.61735904429687	2.4410719517769	1.32247320713916e-06	0.000410682130538312
TRINITY_DN135762_c3_g1_i1	cyr61	Chr04	29037957	29037957	1.96463921738781	-2.36601910103827	5.57384426544025e-06	0.00137123807688616
TRINITY_DN153705_c0_g1_i1	foxc2	Chr04	63959102	63959102	0.0941404731220435	-3.46392977944731	2.37290773340567e-06	0.000681060472634904
TRINITY_DN120303_c0_g4_i1	lepr	Chr04	79325592	79325592	1.16495422229285	-3.09662804533441	3.54459837339084e-05	0.00621715990621691
TRINITY_DN131346_c3_g1_i2	ripply2.1	Chr05	81152092	81152092	4.00035854430391	2.28300229836473	0.000147464481924944	0.0186227978740281
TRINITY_DN126472_c1_g2_i1	csrnp1	Chr06	5713310	5713310	0.0293454932939142	-5.85940976652861	5.13097499416098e-08	2.37063559303394e-05
TRINITY_DN117521_c0_g1_i1	gem	Chr06	112874071	112874071	0.423041223758685	3.19618558432363	0.000400568452555811	0.038647734525914
TRINITY_DN134475_c3_g2_i1	dvl1	Chr07	69947747	69947747	0.146136605444338	-3.13680874787834	0.000129237363364661	0.0165415092852485
TRINITY_DN128592_c11_g1_i1	ntn1-like.1	Chr07	97576780	97576780	6.48576699860883	-5.35750125399719	3.48043872084779e-27	1.64824876722549e-23
TRINITY_DN104464_c0_g1_i1	MGC146177	Chr07	116290047	116290047	2.24188785201427	-2.07104054382586	6.94787242970713e-05	0.010363271451649
TRINITY_DN129192_c0_g2_i1	apex2	Chr08	2267905	2267905	-0.0587128408565729	-5.71225836741118	6.50969622525064e-07	0.000216338904552496
TRINITY_DN128940_c2_g1_i1	tmem223	Chr08	66741376	66741376	2.31434415207855	4.62546912415694	4.8079175556014e-13	4.3369705836075e-10
TRINITY_DN134368_c1_g3_i1	gsc	Chr08	67402483	67402483	2.47906848643472	-6.82373809971945	1.05452278768408e-18	2.21953612967772e-15
TRINITY_DN119925_c1_g1_i1	Xetrov90023207m	Chr09	12703424	12703424	1.39371710436463	-3.1198189472866	7.7347806272324e-06	0.00176530059544173
TRINITY_DN125465_c0_g2_i1	ndufab1	Chr09	14344829	14344829	0.205499213666703	-2.77872976476016	0.000489666501972423	0.0433446380694561
TRINITY_DN110205_c0_g1_i1	osbpl6-like	Chr09	59061971	59061971	4.32499574957568	-3.0610636832524	1.07702575528842e-08	5.51408077903472e-06
TRINITY_DN116092_c0_g3_i1	glp2r	scaffold_210	94957	94957	1.63398496661218	-2.24250926650385	0.000231220435786811	0.0256140860532723
TRINITY_DN93825_c0_g1_i2	hspbap1	scaffold_292	129833	129833	1.64705743975233	2.90297196377253	7.94484439891542e-05	0.0114884875915004
