gid	gname	chr	start	end	logCPM	logFC.ML.FL	PV.ML.FL	FDR.ML.FL
TRINITY_DN134935_c0_g2_i1	slc12a2	Chr01	159210667	159210667	0.587346400083447	-4.79936353925147	1.40953355737555e-10	9.53599792048749e-08
TRINITY_DN119671_c0_g2_i1	erap1	Chr01	173056497	173056497	7.51364630621148	1.66422021165107	0.000187722309626745	0.0223214155360896
TRINITY_DN124267_c8_g1_i2	nudc	Chr02	51999373	51999373	3.47924827033119	-4.04007390568093	1.952250203351e-05	0.00385223704188312
TRINITY_DN121821_c2_g2_i4	smpdl3b	Chr02	53646354	53646354	3.02698463182256	1.84485959850882	0.000351570303395073	0.035613883728411
TRINITY_DN131738_c0_g7_i11	gtf2ird1-like	Chr02	96932929	96932929	5.27398461502634	1.47738437713409	0.000234668338562227	0.0258448973103736
TRINITY_DN134360_c3_g1_i1	Xetrov90007542m	Chr03	27463505	27463505	3.24490250382458	-1.80122611866643	4.82215336747222e-05	0.00794313489043706
TRINITY_DN117920_c0_g1_i5	fam3c	Chr03	60043221	60043221	2.61735904429687	2.4410719517769	1.32247320713916e-06	0.000410682130538312
TRINITY_DN124548_c3_g1_i1	sema3c	Chr03	69578158	69578158	3.77481916060056	1.26874253500492	0.000550958497990162	0.0465127644654549
TRINITY_DN135762_c3_g1_i1	cyr61	Chr04	29037957	29037957	1.96463921738781	-2.36601910103827	5.57384426544025e-06	0.00137123807688616
TRINITY_DN153705_c0_g1_i1	foxc2	Chr04	63959102	63959102	0.0941404731220435	-3.46392977944731	2.37290773340567e-06	0.000681060472634904
TRINITY_DN130362_c0_g1_i1	Xetrov90011744m	Chr04	76162403	76162403	2.8279761732788	1.29024822826455	0.000554921858691486	0.0465127644654549
TRINITY_DN120303_c0_g4_i1	lepr	Chr04	79325592	79325592	1.16495422229285	-3.09662804533441	3.54459837339084e-05	0.00621715990621691
TRINITY_DN131346_c3_g1_i2	ripply2.1	Chr05	81152092	81152092	4.00035854430391	2.28300229836473	0.000147464481924944	0.0186227978740281
TRINITY_DN96922_c0_g1_i1	Xetrov90014906m	Chr05	123207954	123207954	4.98040425735139	1.334579622211	8.25728977182927e-05	0.0117288980868996
TRINITY_DN126472_c1_g2_i1	csrnp1	Chr06	5713310	5713310	0.0293454932939142	-5.85940976652861	5.13097499416098e-08	2.37063559303394e-05
TRINITY_DN111810_c0_g4_i1	pde7a-like	Chr06	103679339	103679339	1.30942670132251	-1.71587753651442	0.000499342308854953	0.0437918581325897
TRINITY_DN117521_c0_g1_i1	gem	Chr06	112874071	112874071	0.423041223758685	3.19618558432363	0.000400568452555811	0.038647734525914
TRINITY_DN100376_c0_g3_i1	lpcat3	Chr07	849641	849641	4.59630055572989	1.33619897989881	0.000168975280293159	0.0210442873534653
TRINITY_DN118037_c0_g1_i1	tapbpl-like	Chr07	1801832	1801832	3.29540302884044	1.62379416769508	0.000401921749543634	0.038647734525914
TRINITY_DN130050_c8_g5_i3	vps26a	Chr07	30662540	30662540	2.38747866397327	1.53072980322313	2.54504464776129e-05	0.00477334462995466
TRINITY_DN134475_c3_g2_i1	dvl1	Chr07	69947747	69947747	0.146136605444338	-3.13680874787834	0.000129237363364661	0.0165415092852485
TRINITY_DN128592_c11_g1_i1	ntn1-like.1	Chr07	97576780	97576780	6.48576699860883	-5.35750125399719	3.48043872084779e-27	1.64824876722549e-23
TRINITY_DN104464_c0_g1_i1	MGC146177	Chr07	116290047	116290047	2.24188785201427	-2.07104054382586	6.94787242970713e-05	0.010363271451649
TRINITY_DN129192_c0_g2_i1	apex2	Chr08	2267905	2267905	-0.0587128408565729	-5.71225836741118	6.50969622525064e-07	0.000216338904552496
TRINITY_DN131771_c1_g1_i2	pin4	Chr08	18595090	18595090	6.02886687113459	1.32558538025902	8.19597211410031e-05	0.0117288980868996
TRINITY_DN128940_c2_g1_i1	tmem223	Chr08	66741376	66741376	2.31434415207855	4.62546912415694	4.8079175556014e-13	4.3369705836075e-10
TRINITY_DN134368_c1_g3_i1	gsc	Chr08	67402483	67402483	2.47906848643472	-6.82373809971945	1.05452278768408e-18	2.21953612967772e-15
TRINITY_DN119925_c1_g1_i1	Xetrov90023207m	Chr09	12703424	12703424	1.39371710436463	-3.1198189472866	7.7347806272324e-06	0.00176530059544173
TRINITY_DN130147_c2_g5_i1	bricd5-like	Chr09	13553191	13553191	3.39682030622538	-1.97477850770509	3.83711746068099e-05	0.00658098945949049
TRINITY_DN125465_c0_g2_i1	ndufab1	Chr09	14344829	14344829	0.205499213666703	-2.77872976476016	0.000489666501972423	0.0433446380694561
TRINITY_DN110205_c0_g1_i1	osbpl6-like	Chr09	59061971	59061971	4.32499574957568	-3.0610636832524	1.07702575528842e-08	5.51408077903472e-06
TRINITY_DN133911_c4_g9_i1	fap	Chr09	66930066	66930066	3.38513949909061	1.23011903654998	0.000124037836682228	0.0163170051407739
TRINITY_DN121738_c0_g2_i3	sla2	Chr10	34939460	34939460	6.19491242392192	-1.83859416806967	4.73145999591193e-07	0.000175741268044235
TRINITY_DN122195_c3_g2_i1	neto1-like	scaffold_21	1970199	1970199	3.01310403435877	1.31439424564204	0.000323868212673616	0.0333425845254147
TRINITY_DN116092_c0_g3_i1	glp2r	scaffold_210	94957	94957	1.63398496661218	-2.24250926650385	0.000231220435786811	0.0256140860532723
TRINITY_DN93825_c0_g1_i2	hspbap1	scaffold_292	129833	129833	1.64705743975233	2.90297196377253	7.94484439891542e-05	0.0114884875915004
TRINITY_DN129937_c0_g3_i4	mrpl14	scaffold_5560	2308	2308	4.13271731813629	-2.05406307580577	5.73268494144238e-05	0.00882880088176773
TRINITY_DN126082_c1_g2_i1	NA	NA	NA	NA	1.63380261473257	-9.42389127442246	4.09591742097894e-07	0.000158344823888988
TRINITY_DN132293_c0_g2_i1	NA	NA	NA	NA	2.6451841194572	1.45296549012973	0.000431723962333239	0.040088955972934
TRINITY_DN130177_c4_g1_i1	NA	NA	NA	NA	0.447767117528684	3.47468902182266	9.44055711248078e-10	5.76878946392656e-07
TRINITY_DN120237_c0_g2_i1	NA	NA	NA	NA	6.36716250916639	1.7690585624073	4.89489402593493e-05	0.00799344633907633
TRINITY_DN136095_c7_g1_i1	NA	NA	NA	NA	1.43588391684959	-4.09405390690405	0.000168904560165881	0.0210442873534653
TRINITY_DN128065_c4_g6_i1	NA	NA	NA	NA	4.11055585631828	1.16214101445236	0.000529943355165934	0.0460491604445335
TRINITY_DN126089_c1_g1_i2	NA	NA	NA	NA	2.96188625029075	5.70390050834415	8.59902909311518e-07	0.000276087132391323
TRINITY_DN131144_c0_g5_i1	NA	NA	NA	NA	5.72707055839561	1.63373052245208	0.00017108273517572	0.0210442873534653
TRINITY_DN105647_c0_g2_i1	NA	NA	NA	NA	-0.0341909914875774	-4.45705197476382	1.04221021839809e-07	4.59129957374768e-05
TRINITY_DN107602_c0_g2_i1	NA	NA	NA	NA	9.59982541398116	-4.31644701676194	1.0106061147618e-08	5.46968903769507e-06
TRINITY_DN131896_c3_g1_i2	NA	NA	NA	NA	6.42326463608221	1.31745979875436	0.000606270158155974	0.0497167775149291
TRINITY_DN128286_c3_g2_i3	NA	NA	NA	NA	3.72732376459256	-1.43483085786417	0.000170922833306373	0.0210442873534653
TRINITY_DN127281_c1_g1_i3	NA	NA	NA	NA	8.26659419056216	-1.95981280517801	2.47520283847031e-06	0.000699817423420046
TRINITY_DN133528_c0_g1_i3	NA	NA	NA	NA	3.57144864312662	-1.43129059928949	0.000127468890874208	0.0164261442165314
TRINITY_DN96852_c0_g2_i1	NA	NA	NA	NA	2.89589300656912	2.65181893535251	0.000391133962798882	0.0385170639449269
TRINITY_DN125191_c7_g1_i1	NA	NA	NA	NA	1.77826388805029	1.75142343051559	0.000283631255397418	0.0303549540734084
TRINITY_DN135638_c10_g1_i1	NA	NA	NA	NA	1.39528415879867	1.5776197872775	0.00041124406150911	0.0393444255412479
TRINITY_DN97415_c1_g1_i1	NA	NA	NA	NA	0.0268013704090468	-2.4164128356227	0.000108468910413561	0.0144699054222823
TRINITY_DN115794_c1_g1_i1	NA	NA	NA	NA	3.01413335433396	-1.7752083849283	4.98909801717514e-05	0.00800919353723294
TRINITY_DN115604_c0_g3_i1	NA	NA	NA	NA	4.90301272041677	-1.27075209093794	0.000478535464428839	0.042558203298946
