gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.224376941	unbias	0.505257093	Brain_mmean
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	-0.247751654	unbias	0.154410881	G46_F_mean
TRINITY_DN100083_c0_g4_i1	iws1	Chr05	122139027	122139027	0.179773756	unbias	0.430599859	Brain_mmean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.720364736	unbias	0.487386997	Brain_mmean
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.60056626	unbias	0.47119469	Brain_mmean
TRINITY_DN100105_c0_g1_i1	ppp1r3c.2	Chr03	119934945	119934945	0.417282576	unbias	0.79919844	Brain_mmean
TRINITY_DN100107_c0_g1_i1	ly75	Chr09	67919858	67919858	0.057612778	unbias	0.885303189	Brain_mmean
TRINITY_DN100108_c0_g1_i1	LOC100485641	Chr02	135882898	135882898	-5.15880273	female	0.941515918	Brain_fmean
TRINITY_DN100115_c0_g1_i1	LOC100498169	Chr05	5380152	5380152	-0.044757728	unbias	0.490391902	Ovary_mean
TRINITY_DN100192_c0_g1_i2	NA	NA	NA	NA	0.444375619	unbias	0.757795263	Brain_mmean
TRINITY_DN100194_c0_g1_i1	dner	Chr05	125518548	125518548	-0.179462298	unbias	0.792246634	Brain_fmean
TRINITY_DN100194_c1_g2_i1	NA	NA	NA	NA	-0.146986572	unbias	0.793078103	Brain_fmean
TRINITY_DN100230_c0_g1_i1	NA	NA	NA	NA	0.105588286	unbias	0.914938514	Brain_mmean
TRINITY_DN100252_c0_g7_i1	fam46d	Chr08	43190824	43190824	0.081917927	unbias	0.703412863	Brain_fmean
TRINITY_DN100260_c0_g2_i1	cdc16	Chr02	108267164	108267164	-0.056845661	unbias	0.257661278	Ovary_mean
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.330896235	unbias	0.512994422	Brain_fmean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	0.412333486	unbias	0.465101477	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.095478173	unbias	0.243568285	G46_M_mean
