gid	gname	chr	start	end	logCPM	logFC.MB.FB	PV.MB.FB	FDR.MB.FB
TRINITY_DN123842_c0_g1_i1	NA	NA	NA	NA	1.74776668434868	-4.96271884737528	1.29338056956517e-05	0.00359049484917112
TRINITY_DN94499_c2_g1_i1	NA	NA	NA	NA	2.21940304180406	-5.12062875070692	0.000205588183574585	0.031899781731223
TRINITY_DN100785_c0_g1_i1	NA	NA	NA	NA	0.464736419833195	-4.49507960414316	1.63714762027671e-05	0.00429954177671761
TRINITY_DN107317_c0_g1_i1	NA	NA	NA	NA	0.644121446805031	-4.60312234482257	1.90371567547982e-05	0.00485542683031128
TRINITY_DN93495_c0_g1_i1	NA	NA	NA	NA	3.74784987623569	3.94975091609205	2.68304957097416e-05	0.00625656496527506
TRINITY_DN115180_c0_g1_i1	NA	NA	NA	NA	0.24262341274717	-4.72645840687509	2.74077244339441e-06	0.00111845441870039
TRINITY_DN55516_c0_g1_i1	NA	NA	NA	NA	0.745764618680671	-4.65962469819843	9.06737713396736e-06	0.00276135467226075
TRINITY_DN100205_c0_g1_i1	NA	NA	NA	NA	0.909471897299053	-4.62348552141209	1.33586287224445e-05	0.00365865047587593
TRINITY_DN7634_c0_g2_i1	NA	NA	NA	NA	1.07345199359554	-5.62082860841181	3.74443070726317e-09	6.64359688269545e-06
TRINITY_DN12821_c0_g2_i1	NA	NA	NA	NA	0.160772818775647	-5.35936208161304	3.33213044742494e-08	3.09039952951175e-05
TRINITY_DN19183_c0_g2_i1	NA	NA	NA	NA	0.979370397553338	-5.28660117992994	8.62104579135616e-07	0.000423864622474292
TRINITY_DN101381_c0_g1_i1	NA	NA	NA	NA	0.388794171961085	-4.68895747986843	6.07075438684686e-06	0.00201410849608493
TRINITY_DN73692_c0_g1_i1	NA	NA	NA	NA	1.75132714197851	4.20629929341155	3.53721103825125e-05	0.00776056494886865
TRINITY_DN7261_c0_g1_i1	NA	NA	NA	NA	0.707521080336918	-4.75968992636393	4.29564519435007e-06	0.00151117835423308
TRINITY_DN14919_c0_g1_i1	NA	NA	NA	NA	0.936572043457486	-4.85539909363071	1.32049072527057e-06	0.000593904013263415
TRINITY_DN88090_c0_g6_i1	NA	NA	NA	NA	1.20543061067398	-4.83420554868709	1.35008686891096e-07	8.90303038631713e-05
TRINITY_DN101962_c0_g1_i1	NA	NA	NA	NA	0.330294758451553	-4.98632220961606	3.35672356146298e-06	0.00126537248077443
TRINITY_DN82306_c0_g1_i1	NA	NA	NA	NA	3.1788863216031	4.0941050634476	2.65879669871311e-05	0.00625656496527506
TRINITY_DN98630_c0_g1_i1	NA	NA	NA	NA	0.545925096060176	-5.52232030907645	4.22846711099957e-08	3.52153644623818e-05
TRINITY_DN114554_c0_g1_i1	NA	NA	NA	NA	1.72692685218329	-4.70702466352737	3.16084203903525e-05	0.0071263890568481
TRINITY_DN51023_c0_g1_i1	NA	NA	NA	NA	1.15254332838319	-4.59388241454286	2.0961395894251e-05	0.00515296773284695
TRINITY_DN86865_c7_g1_i1	NA	NA	NA	NA	3.9195660405297	6.27728910226349	1.28447844839051e-07	8.90303038631713e-05
TRINITY_DN100466_c0_g1_i1	NA	NA	NA	NA	0.86935735728824	-4.71403375211964	7.92989122980013e-06	0.00252814844770065
TRINITY_DN101327_c0_g1_i1	NA	NA	NA	NA	0.889318151312649	-4.59935256669646	9.99697572835656e-07	0.000474368122700901
TRINITY_DN94694_c0_g1_i1	NA	NA	NA	NA	0.0855705845633664	-4.97170572314831	4.75097978645982e-07	0.000258503977501137
TRINITY_DN29420_c0_g1_i1	NA	NA	NA	NA	1.34705215900742	-4.53582981165227	3.72809981398408e-05	0.00804953953487102
TRINITY_DN77847_c0_g1_i1	NA	NA	NA	NA	3.26245608829508	5.34285257191963	2.84200041983494e-45	1.15976353132624e-40
TRINITY_DN87795_c11_g1_i1	NA	NA	NA	NA	0.714029238637265	3.13167677888913	2.17721540747764e-14	1.26925437640496e-10
TRINITY_DN8470_c0_g1_i1	NA	NA	NA	NA	0.950396592415413	-4.67168795563415	2.09041290611861e-05	0.00515296773284695
TRINITY_DN116338_c0_g1_i1	NA	NA	NA	NA	1.5393702275871	-4.7356881263951	2.68291649720492e-05	0.00625656496527506
TRINITY_DN24572_c0_g1_i1	NA	NA	NA	NA	1.48527081972393	-4.81287572459933	0.000168296203369856	0.0280146226544298
TRINITY_DN88090_c0_g8_i1	NA	NA	NA	NA	1.34137240844264	-4.65565075282042	2.89256102120366e-05	0.00659439274599323
TRINITY_DN120386_c0_g1_i1	NA	NA	NA	NA	0.468377260367749	-5.68388090325595	1.64095946306616e-07	0.000103021959644313
TRINITY_DN91476_c5_g8_i1	NA	NA	NA	NA	2.42828945445617	-7.72399115574773	1.17011816175499e-09	2.80883423205279e-06
