gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	A10FB	A10MB	A12FB	A15FB	A15MB	A16FB	A16MB	A17FB	A17MB	A8MB	average	ward.D
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	5.10328998005089	-4.89895979336148	5.91266759414256e-07	0.000561058403160546	5.74205274554902	3.18139228552832	6.99227806944155	5.03384445161332	-0.493206803929734	0.223517910212317	-1.35911364649686	6.88229506649804	-0.0415761675972197	0.215064979128706	2	2
TRINITY_DN103776_c0_g1_i1	LOC101732853	Chr02	50935698	50935698	0.289199618591937	4.33819092104845	3.38468283091313e-09	7.06586387781425e-06	-2.01236509818939	0.646047139794353	-2.01236509818939	-1.352092278774	1.01512719201621	-1.14481840933888	1.41202594740532	-2.01236509818939	1.35827868715093	0.75052716694134	3	1
TRINITY_DN105687_c0_g2_i1	LOC100498263	Chr08	19459739	19459739	2.81536543946949	2.11317897193084	0.000314744943836093	0.0402226726652944	2.26851764112943	2.80004225842634	0.757186860597879	2.04684299507541	4.25242782256883	0.456235616214951	0.96445750015399	0.831927316493852	2.10458307237657	4.52795298361409	1	1
TRINITY_DN106368_c0_g2_i1	aplnr	Chr01	131383517	131383517	5.24640905054428	0.912305068943162	7.13258738156001e-07	0.000584631339020939	5.05487126239219	5.46284548681408	4.57032737392406	4.87317331172885	5.89004833919324	4.59456916829808	5.55744390231833	4.4395301341378	5.61975849085189	5.56855834881469	3	1
TRINITY_DN106674_c0_g1_i1	rplp0	Chr01	143013157	143013157	4.61701299565642	-4.6080104793981	6.95502662560506e-09	1.03709382740094e-05	5.20207126959401	2.56340268641109	6.4772741878088	4.7003445733225	-0.209833936180541	0.0913777070840843	0.468331573454573	6.37258183153768	0.158774131356786	0.634123590133668	2	2
TRINITY_DN107988_c0_g2_i2	Xetrov90017416m	Chr07	1849813	1849813	5.2845440243796	1.1181148142699	0.000324577174161853	0.0402226726652944	5.06721602084386	6.239946703576	5.29243750329341	4.10626480311303	6.35973417462451	4.11383465366633	5.18770674426793	4.00724498891124	5.02993035790136	5.27984497409714	3	1
TRINITY_DN110750_c1_g2_i1	c2orf47	Chr09	46187195	46187195	6.95747880309639	-0.69541880842225	0.000331381549032597	0.0402226726652944	7.32384084511244	6.99848849880133	7.00852995858258	7.13599020885022	6.13128292163107	7.66601216452249	6.91099666972279	7.07768155284771	6.50324808742333	6.04671675757146	2	2
TRINITY_DN113301_c1_g1_i1	Xetrov90005045m	Chr02	63411130	63411130	7.43938485467326	1.081702757724	1.73474846350392e-05	0.00548706195819816	7.32126629387078	8.26137748439508	6.48193768583224	5.43499964624791	7.91023494564081	6.95894489302682	7.8750302861709	7.13122289761076	7.40845155154999	7.82096311653494	3	1
TRINITY_DN114180_c0_g1_i1	mfsd2b	Chr05	141397142	141397142	2.99369534258395	-1.21017435624717	8.3771639443243e-05	0.0161927476390476	3.72737314538597	2.49763797734335	2.89907749399435	3.36707224524754	2.57361489529335	3.9326100440018	2.0781363218177	3.13793360263864	2.00404970066342	2.18633876367242	2	2
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	152363125	152363125	5.08136786849518	-1.16366318680839	1.15304356319395e-09	5.14480047638019e-06	5.53544516925254	4.55820103423921	5.46723988291482	5.35104754218461	4.14336300921741	5.55928112681672	4.72069627711927	5.78198517543898	4.02809112566606	4.40900598062689	2	2
TRINITY_DN115328_c0_g1_i1	LOC100487399	scaffold_19	216323	216323	5.48663563218967	1.07455737496664	4.17212661198324e-05	0.00946709947301763	5.03615377850424	6.25495193454606	3.91684121326751	4.55782146004501	6.09594519413708	5.49208139988683	6.21071232662581	4.80503781718616	5.38507770679222	5.41827247334322	3	1
