gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	5.10328998005089	-4.89895979336148	5.91266759414256e-07	0.000561058403160546
TRINITY_DN103776_c0_g1_i1	LOC101732853	Chr02	50935698	50935698	0.289199618591937	4.33819092104845	3.38468283091313e-09	7.06586387781425e-06
TRINITY_DN106674_c0_g1_i1	rplp0	Chr01	143013157	143013157	4.61701299565642	-4.6080104793981	6.95502662560506e-09	1.03709382740094e-05
TRINITY_DN116138_c0_g2_i2	Xetrov90010951m	Chr04	36003417	36003417	3.81822073143282	4.00124883235638	0.000371300562370452	0.0440413098866225
TRINITY_DN120963_c0_g1_i2	LOC100494554	Chr02	26934936	26934936	2.85026444772812	3.61345565433402	1.8503143857844e-06	0.00120709884742609
TRINITY_DN122261_c0_g1_i1	kl	Chr02	150083364	150083364	2.74587869782036	3.06602665273934	3.3933940010262e-05	0.00863908453236865
TRINITY_DN122443_c0_g1_i3	krt8.2	scaffold_305	197019	197019	1.56383101492417	3.46949957070369	0.000436461576882008	0.0489869455859613
TRINITY_DN125115_c2_g1_i1	slc2a12	Chr05	35072933	35072933	4.81926447541572	3.01169087245894	4.15057662150349e-05	0.00946709947301763
TRINITY_DN126719_c0_g1_i3	col21a1	Chr05	88497470	88497470	5.03038222292407	5.54000429016211	8.18418695368456e-10	5.14480047638019e-06
TRINITY_DN127888_c0_g2_i1	Xetrov90004892m	Chr02	55329164	55329164	1.74332046856983	3.57478061662893	1.00702469835342e-06	0.000719196592272761
TRINITY_DN130300_c0_g1_i3	LOC100495139	Chr03	528609	528609	3.97544806927216	3.0714963988749	0.000111611578742591	0.0190831877334569
TRINITY_DN130680_c2_g1_i1	musk	Chr01	103510401	103510401	2.52024918663103	-3.03039383779192	9.96926392222013e-05	0.0179412373827817
TRINITY_DN131753_c0_g4_i1	ccnb3	Chr08	18281290	18281290	2.99403985985015	3.34919937586388	1.92990392226956e-05	0.00559564920573601
TRINITY_DN132560_c1_g5_i1	LOC100127632	Chr06	134197299	134197299	1.09802598071471	4.13537269035931	1.60754131499931e-09	5.14480047638019e-06
TRINITY_DN134524_c3_g3_i1	f5	Chr02	68653653	68653653	5.00246728275436	3.93313575569362	2.83554903626714e-05	0.0073993652101391
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068	6.13517152442906	-5.28477970869554	1.45534418548413e-05	0.00474715081502603
TRINITY_DN135896_c2_g3_i1	cndp2	scaffold_21	1670075	1670075	12.1133470731034	4.67230188407554	3.91515403837959e-05	0.00946709947301763
TRINITY_DN135947_c1_g1_i1	LOC100486817-like	scaffold_147	323376	323376	1.78773826951612	-4.03360118548588	7.36325062338179e-08	8.53973444520657e-05
TRINITY_DN27351_c0_g1_i1	rpl7a	scaffold_124	334120	334120	4.24551116380242	-4.75687839407543	2.27846034245828e-05	0.00625857080383671
TRINITY_DN61282_c0_g1_i1	LOC100494322	Chr06	18209355	18209355	0.247796063632623	3.06606885312844	0.000185796826782548	0.0266962979296854
TRINITY_DN87264_c0_g2_i1	smarcb1	Chr01	144686502	144686502	1.80560899578062	-5.06410896791169	8.65009938320505e-06	0.00322463347721051
TRINITY_DN90720_c0_g1_i1	rpl14	Chr06	72948445	72948445	3.3233540439801	-4.79947876221914	7.28128703513336e-07	0.000584631339020939
