gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	A12FL1	A12ML1	A15ML1	A17FL1	A17ML1	A2FL1	A7FL1	A8FL1	A8ML1
TRINITY_DN100099_c0_g1_i1	cln6	Chr03	116488040	116488040	2.37266588468047	0.567855013173226	0.359144130055462	0.778396598773868	-1.32527322641811	2.56885770243816	3.07378210458845	1.7123887984042	1.8790106639574	1.50703038871864	3.25643012157023	2.32777012842627	2.77207670346166
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	1.04356832595546	-1.10269205107832	0.250532992489993	0.70281307391294	-1.32527322641811	0.616203974286012	0.372257163016695	-0.802545000470793	-0.426138133365567	-0.0814321234273733	3.20044657144576	-0.982657981664251	0.434237976440564
TRINITY_DN100115_c0_g1_i1	cenpm	Chr04	105778900	105778900	1.53618425260122	1.36927325578574	0.0497580121442227	0.382203987585103	1.35408383153051	0.969894309305927	1.39527620805779	0.0710200819010854	3.55417887105575	0.548453104075946	-0.468135362354397	1.86430955716261	0.86464076186263
TRINITY_DN100194_c0_g1_i1	vax2	Chr01	8250217	8250217	3.38852701911661	0.70619317598027	0.092923081637039	0.493567897779394	3.30612772144098	3.8811271891005	3.52821378369137	1.48537918256481	4.0349308457846	2.39417569162576	3.71604891518573	3.29061912302382	3.42559115786499
TRINITY_DN100260_c0_g2_i1	ncbp2	Chr05	97976339	97976339	5.36690407531303	0.293128525640449	0.282784839441449	0.725845633687737	5.14351206840486	5.33221153668972	5.54593157428571	4.81999659545916	5.36914955426202	5.46144983207941	5.05528520389031	5.55159036260987	5.79091434220301
TRINITY_DN100287_c0_g2_i1	inmt	Chr07	73890622	73890622	8.57041758388952	0.119495648999045	0.712665891841913	0.924215001925376	8.81462264764374	8.6832354348797	8.59048320605883	8.42000639438357	8.14910150195901	8.42038167358628	7.91561112081626	8.82634675048688	8.9948659814624
TRINITY_DN100358_c0_g1_i1	LOC100486229	Chr08	87767206	87767206	2.28392628556757	0.0577942022254591	0.882943122213663	0.97448684210974	2.23683573954789	2.46140650763877	1.93280044624902	2.1343245005242	2.21915903175013	2.48586432292734	2.317201372296	2.0935312480294	2.55864145672031
TRINITY_DN100376_c0_g1_i1	LOC100492536	Chr08	50375420	50375420	7.78257733730338	0.777726274033928	0.0206637619149188	0.262229622554673	7.69894756968401	7.57344205788113	8.05674733013792	7.67906281330781	8.67701630355611	7.66709469683596	7.02121624219971	6.4984852636916	8.1302619098994
TRINITY_DN100418_c0_g1_i1	clec2d	Chr07	2179298	2179298	1.3430212841421	-0.00868647819810382	0.986037231248708	0.997728524428965	1.27054629730475	0.616203974286012	0.670176898812541	1.56508448589717	2.05908643439012	1.32037615680349	1.25436959246698	1.32905244071788	1.61983125947029
TRINITY_DN100638_c0_g2_i1	srp54	Chr08	89146521	89146521	7.63577331135859	0.27061105125392	0.357239952740515	0.775882976494995	8.03344755594626	7.84864670204114	8.01678814161385	7.10169619925456	7.65971484400621	7.47628126358845	7.26001080413566	7.49544514889605	7.54837171290797
TRINITY_DN100835_c0_g1_i1	Xetrov90013145m	Chr05	14816595	14816595	6.39619694328116	-0.36394118259512	0.300387911981955	0.737585344403456	5.5141797278591	6.4190213085256	6.26124630016456	6.43122691353022	6.05559076073621	7.50943288298538	6.1949442755726	6.32431107627943	5.94917415104096
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294	4.36632197888202	-0.844650526851818	0.0304612536731271	0.312665480460293	3.60788297232175	3.93567887136561	3.58285438955329	5.5743862037319	4.25411034896817	4.83489644282077	4.09949400691336	4.50468820189281	3.48731542168548
TRINITY_DN101047_c0_g1_i2	LOC100485326	Chr08	96020909	96020909	2.29530075724391	-0.268731561065498	0.570528783251048	0.878604081975287	3.02949860899129	2.76237334107819	2.09196837533161	2.82660097100022	1.29615627887956	1.67227858311824	1.63833960094201	2.32777012842627	2.00459824257372
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	0.6357026560124	-4.56047826234391	6.06858709502441e-06	0.000910483825127694	1.57908454319677	-1.33203036048505	-1.96998682119904	1.00338903984415	-1.96998682119904	2.29626204730796	-0.818535258578595	1.25518677323733	-1.27991963959801
TRINITY_DN101150_c0_g2_i1	esrra	Chr04	39939444	39939444	4.65763316624487	-0.984318380830588	0.00229006678733302	0.0766266232222006	4.6097975248013	4.1469429780558	3.79828636359012	4.86792975366733	4.19755935333976	5.44440858918454	5.45108085484526	4.3268076456862	3.97773790962145
TRINITY_DN101232_c0_g1_i1	scn3b	Chr07	54900494	54900494	0.760971347112426	2.01678140383885	0.00438536618277249	0.114586169191432	-1.32527322641811	1.07083620228096	1.68892893036376	-1.27126577284036	0.563397697092253	-1.22525714526146	-0.0251770996974133	1.00776507481977	2.11299882874431
TRINITY_DN101247_c0_g3_i1	chst7	Chr02	111324143	111324143	0.756650278182162	0.183007052370128	0.750008094905958	0.936956123934357	0.161132868639521	1.07083620228096	1.31147010581047	0.611249303831659	0.563397697092253	-0.0814321234273733	1.15688056428708	1.00776507481977	0.0539048189908695
TRINITY_DN101292_c0_g1_i3	c16orf45	Chr09	28224425	28224425	2.0254988572921	0.259283844551041	0.709293764528921	0.924215001925376	3.3677250465749	2.26236299196447	1.62092728593717	-1.27126577284036	2.43020855320072	-0.0814321234273733	1.79775830148885	1.86430955716261	2.21382059768128
TRINITY_DN101356_c0_g1_i1	purg	Chr01	78613871	78613871	1.68117540142633	0.043725174932438	0.930295863750126	0.984251949360647	1.08738987883234	1.07083620228096	2.40664944885933	1.84603644944109	1.29615627887956	1.67227858311824	2.2399611976849	1.00776507481977	1.61983125947029
TRINITY_DN101361_c0_g1_i2	cyp46a1-like.1	Chr08	65160881	65160881	7.75295717617683	0.639564618466873	0.106675207657604	0.519253156269508	7.72173356765996	8.09697656652849	7.00242781172994	6.84453183015849	8.44063008117827	6.6153489652767	6.8647119822676	8.33996881156566	8.35660702320749
