gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	0.6357026560124	-4.56047826234391	6.06858709502441e-06	0.000910483825127694
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	5.37786039893584	-1.11737777784512	0.000118922954738703	0.0103385170558824
TRINITY_DN102252_c0_g2_i1	ccdc39	Chr05	95583263	95583263	0.794194674688271	-2.12352888118974	0.000567938533559442	0.0293005887197334
TRINITY_DN104464_c0_g1_i1	fam57a	Chr02	92704574	92704574	3.31118281988437	-2.11140061841871	1.24845540255674e-05	0.00165901887922611
TRINITY_DN105266_c0_g2_i1	fgf23.1	Chr03	2636733	2636733	0.39483838952282	2.37649969865181	0.000486284482363023	0.0263880467934256
TRINITY_DN105438_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	1.81787521800435	-5.75666726947041	0.000575429973278764	0.0294101627002146
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	1.04563386305736	-4.50232668216377	1.58958156459143e-07	4.10730214273042e-05
TRINITY_DN107060_c0_g1_i1	cpn1	Chr07	27352634	27352634	6.41912331159566	-1.39956237477458	0.000487932062832638	0.0263880467934256
TRINITY_DN108243_c0_g2_i1	lrrc40	Chr04	80786527	80786527	4.09457074757783	1.11036069114155	0.000423119235163589	0.0241463504631393
TRINITY_DN109371_c1_g1_i3	gstt1-like.2	Chr01	144545279	144545279	0.234390170010579	2.95600377971058	0.000271433474123273	0.0181645624193862
TRINITY_DN109643_c0_g1_i1	mrps23	Chr02	100170928	100170928	5.35283286756387	0.890966565427176	0.00110664648958764	0.0474379062034294
TRINITY_DN110103_c0_g1_i1	vegt	Chr01	144396774	144396774	0.047055850287226	-3.75080904603561	4.77255791196735e-05	0.00482547105403482
TRINITY_DN110205_c0_g1_i1	LOC100493461	Chr03	49725402	49725402	5.40132812445441	-3.1118110311258	3.62096030704777e-10	2.40586948401131e-07
TRINITY_DN110455_c0_g1_i2	slc35e2b	Chr07	70975572	70975572	3.93382035810879	1.36190832805596	0.000525992843154117	0.027799917198975
TRINITY_DN110725_c0_g1_i3	phyhd1	Chr08	4052114	4052114	6.86622327425644	1.58335950526809	0.000583207421741024	0.029533379174651
TRINITY_DN110856_c0_g1_i2	LOC100492713	Chr10	31128083	31128083	0.860325855985529	4.12742829330555	8.63485843883464e-06	0.00125502270621937
TRINITY_DN110867_c0_g1_i1	LOC100490816	Chr07	110069925	110069925	2.69708511692381	-2.80291855115192	0.000224752349736826	0.0158333622606531
TRINITY_DN111143_c0_g1_i2	LOC101731864	Chr04	117646987	117646987	5.80151224848078	1.28823983878926	2.56691470788508e-05	0.00291188300155452
TRINITY_DN111810_c0_g4_i1	efhc1	scaffold_13	924821	924821	2.39766777858807	-1.75398548838737	0.000179744948428577	0.0141693856803612
