gid	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	A12FL1	A12ML1	A15ML1	A17FL1	A17ML1	A2FL1	A7FL1	A8FL1	A8ML1	average	ward.D
TRINITY_DN101072_c0_g2_i2	spdyc	Chr04	38584858	38584858	0.6357026560124	-4.56047826234391	6.06858709502441e-06	0.000910483825127694	1.57908454319677	-1.33203036048505	-1.96998682119904	1.00338903984415	-1.96998682119904	2.29626204730796	-0.818535258578595	1.25518677323733	-1.27991963959801	1	1
TRINITY_DN102065_c0_g1_i1	uck2	Chr04	108945411	108945411	5.37786039893584	-1.11737777784512	0.000118922954738703	0.0103385170558824	5.68522675684391	4.95033807012043	4.38468736896769	5.40602832163139	4.59789221582868	6.10996960357288	5.41990168376469	6.07074359044596	4.64340730349826	1	1
TRINITY_DN102252_c0_g2_i1	ccdc39	Chr05	95583263	95583263	0.794194674688271	-2.12352888118974	0.000567938533559442	0.0293005887197334	0.877552699033727	-0.554028002821494	-0.513351659934884	1.00338903984415	-1.00071181713948	1.41671980858801	1.66222088160881	1.25518677323733	0.0539048189908695	1	1
TRINITY_DN104464_c0_g1_i1	fam57a	Chr02	92704574	92704574	3.31118281988437	-2.11140061841871	1.24845540255674e-05	0.00165901887922611	4.29797773428853	1.41600981125325	1.39527620805779	3.58787760217012	2.43020855320072	4.76340821269576	3.25643012157023	2.64944162402747	2.00459824257372	1	1
TRINITY_DN105266_c0_g2_i1	fgf23.1	Chr03	2636733	2636733	0.39483838952282	2.37649969865181	0.000486284482363023	0.0263880467934256	-0.267898699296369	1.87268648467252	0.528893541845616	-0.165825345802057	1.43308516743114	-1.96998682119904	-0.818535258578595	-0.663277528682708	0.434237976440564	2	2
TRINITY_DN105438_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	1.81787521800435	-5.75666726947041	0.000575429973278764	0.0294101627002146	4.7704635811144	-1.96998682119904	-1.96998682119904	-1.96998682119904	-1.00071181713948	-1.96998682119904	0.774118277639857	-0.982657981664251	-1.27991963959801	1	1
TRINITY_DN105647_c0_g2_i1	ccnb1	Chr01	173679416	173679416	1.04563386305736	-4.50232668216377	1.58958156459143e-07	4.10730214273042e-05	1.89021055635304	-1.33203036048505	-1.96998682119904	1.48537918256481	-1.96998682119904	2.24469496738917	0.187236858477419	2.21539941290527	-0.81506841917474	1	1
TRINITY_DN107060_c0_g1_i1	cpn1	Chr07	27352634	27352634	6.41912331159566	-1.39956237477458	0.000487932062832638	0.0263880467934256	5.49129929045084	4.93032793935705	4.81573303013933	7.53185411251704	5.73637003981891	7.24980292338655	6.40147530485386	6.95005450614003	6.08180710832658	1	1
TRINITY_DN108243_c0_g2_i1	lrrc40	Chr04	80786527	80786527	4.09457074757783	1.11036069114155	0.000423119235163589	0.0241463504631393	3.87155584466131	4.51259720706552	4.55834447197577	3.81678415625359	4.69641372741293	2.80352168409893	3.48115997420193	3.32712854461739	4.64340730349826	2	2
TRINITY_DN109371_c1_g1_i3	gstt1-like.2	Chr01	144545279	144545279	0.234390170010579	2.95600377971058	0.000271433474123273	0.0181645624193862	-0.542226923191781	0.743980331029794	1.68892893036376	0.0710200819010854	1.14485520665952	-1.96998682119904	-1.70267618967039	-1.96998682119904	0.592406835786311	2	2
