gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue
TRINITY_DN100034_c0_g1_i1	NA	NA	NA	NA	0.369321195	0.369321195	unbias	0.154410881	G46_F_mean	0.154410881	G46_F_mean
TRINITY_DN100055_c0_g1_i1	NA	NA	NA	NA	1.222249772	1.222249772	unbias	0.877124478	Liver_mmean	0.877124478	Liver_mmean
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	0.569287571	0.569287571	unbias	0.487386997	Brain_mmean	0.487386997	Brain_mmean
TRINITY_DN100099_c0_g2_i1	dnajb11	Chr09	43499058	43499058	-0.171326036	0.171326036	unbias	0.47119469	Brain_mmean	0.47119469	Brain_mmean
TRINITY_DN100160_c0_g1_i1	prkcq	Chr03	74606063	74606063	-0.016152498	0.016152498	unbias	0.746970558	Liver_fmean	0.746970558	Liver_fmean
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	0.349531037	0.349531037	unbias	0.257661278	Ovary_mean	0.257661278	Ovary_mean
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-0.184999738	0.184999738	unbias	0.465101477	G43_F_mean	0.465101477	G43_F_mean
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.264037412	0.264037412	unbias	0.243568285	G46_M_mean	0.243568285	G46_M_mean
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	1.086242361	1.086242361	unbias	0.575462817	Brain_mmean	0.575462817	Brain_mmean
TRINITY_DN100376_c0_g1_i1	Xetrov90003149m	Chr01	153885424	153885424	-0.179337366	0.179337366	unbias	0.398501081	G31_fmean	0.398501081	G31_fmean
TRINITY_DN100376_c0_g2_i1	NA	NA	NA	NA	0.962822872	0.962822872	unbias	0.569257309	Liver_mmean	0.569257309	Liver_mmean
TRINITY_DN100376_c0_g3_i1	bcar1	Chr04	51234279	51234279	1.338158491	1.338158491	male	0.870382823	Liver_mmean	0.870382823	Liver_mmean
TRINITY_DN100410_c0_g1_i1	galnt10	Chr03	9068162	9068162	0.146973323	0.146973323	unbias	0.416926551	Brain_mmean	0.416926551	Brain_mmean
TRINITY_DN100549_c0_g1_i1	NA	NA	NA	NA	-0.449796411	0.449796411	unbias	0.406904097	Brain_fmean	0.406904097	Brain_fmean
TRINITY_DN100595_c0_g1_i1	NA	NA	NA	NA	0.201943489	0.201943489	unbias	0.19357363	Brain_fmean	0.19357363	Brain_fmean
TRINITY_DN100617_c0_g1_i1	NA	NA	NA	NA	-0.121563239	0.121563239	unbias	0.689787193	Brain_mmean	0.689787193	Brain_mmean
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.337962097	0.337962097	unbias	0.195032263	Ovary_mean	0.195032263	Ovary_mean
TRINITY_DN100681_c0_g1_i1	NA	NA	NA	NA	-0.130418902	0.130418902	unbias	0.141796895	Brain_fmean	0.141796895	Brain_fmean
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	-0.392645571	0.392645571	unbias	0.1456891	Brain_fmean	0.1456891	Brain_fmean
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	-0.012293937	0.012293937	unbias	0.309325789	Brain_fmean	0.309325789	Brain_fmean
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	-0.321921819	0.321921819	unbias	0.437639948	G27_mmean	0.437639948	G27_mmean
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.68751074	1.68751074	unbias	0.646753634	Liver_mmean	0.646753634	Liver_mmean
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.186712136	0.186712136	unbias	0.280627776	Brain_mmean	0.280627776	Brain_mmean
TRINITY_DN100856_c0_g2_i1	NA	NA	NA	NA	-0.295410446	0.295410446	unbias	0.20354166	Brain_mmean	0.20354166	Brain_mmean
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.720664544	0.720664544	unbias	0.326273107	Ovary_mean	0.326273107	Ovary_mean
TRINITY_DN100986_c0_g2_i2	NA	NA	NA	NA	-0.554325322	0.554325322	unbias	0.721754518	Liver_fmean	0.721754518	Liver_fmean
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.532768097	0.532768097	unbias	0.214017864	G43_F_mean	0.214017864	G43_F_mean
TRINITY_DN101023_c0_g2_i1	NA	NA	NA	NA	-0.24477758	0.24477758	unbias	0.610683874	Liver_fmean	0.610683874	Liver_fmean
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-0.77911209	0.77911209	unbias	0.606357753	Ovary_mean	0.606357753	Ovary_mean
TRINITY_DN101047_c0_g1_i2	NA	NA	NA	NA	-0.222082881	0.222082881	unbias	0.719096943	Ovary_mean	0.719096943	Ovary_mean
TRINITY_DN101074_c0_g1_i1	socs6	scaffold_21	2671703	2671703	-0.079704726	0.079704726	unbias	0.209076279	G23_fmean	0.209076279	G23_fmean
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	0.354097788	0.354097788	unbias	0.273916653	Ovary_mean	0.273916653	Ovary_mean
TRINITY_DN101150_c0_g1_i1	uba2	Chr04	19265605	19265605	-0.712300915	0.712300915	unbias	0.472543558	G23_mmean	0.472543558	G23_mmean
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	-1.399066054	1.399066054	unbias	0.452904283	Ovary_mean	0.452904283	Ovary_mean
TRINITY_DN101180_c0_g1_i1	LOC100494811	Chr04	21103744	21103744	0.559480538	0.559480538	unbias	0.638427447	G43_M_mean	0.638427447	G43_M_mean
TRINITY_DN101244_c0_g1_i1	NA	NA	NA	NA	0.956406433	0.956406433	unbias	0.378557799	Ovary_mean	0.378557799	Ovary_mean
TRINITY_DN101269_c0_g1_i5	NA	NA	NA	NA	0.570129875	0.570129875	unbias	0.466858407	G23_fmean	0.466858407	G23_fmean
TRINITY_DN101269_c0_g2_i1	NA	NA	NA	NA	-0.229064212	0.229064212	unbias	0.288124765	Brain_fmean	0.288124765	Brain_fmean
TRINITY_DN101294_c0_g1_i1	NA	NA	NA	NA	-0.523762184	0.523762184	unbias	0.287104048	Brain_mmean	0.287104048	Brain_mmean
TRINITY_DN101325_c0_g1_i1	mmadhc	Chr09	71696330	71696330	0.505004273	0.505004273	unbias	0.781506643	Liver_fmean	0.781506643	Liver_fmean
TRINITY_DN101325_c0_g2_i1	NA	NA	NA	NA	1.556825433	1.556825433	unbias	0.775661852	Liver_mmean	0.775661852	Liver_mmean
TRINITY_DN101332_c0_g1_i1	NA	NA	NA	NA	0.086503554	0.086503554	unbias	0.359279261	G46_M_mean	0.359279261	G46_M_mean
TRINITY_DN101356_c0_g1_i1	pdia2	Chr09	9296722	9296722	0.090309412	0.090309412	unbias	0.654838779	Ovary_mean	0.654838779	Ovary_mean
TRINITY_DN101361_c0_g1_i2	NA	NA	NA	NA	0.725958131	0.725958131	unbias	0.451788343	G23_mmean	0.451788343	G23_mmean
TRINITY_DN101409_c0_g1_i1	NA	NA	NA	NA	-1.564645331	1.564645331	unbias	0.396156883	G31_mmean	0.396156883	G31_mmean
TRINITY_DN101432_c0_g2_i1	NA	NA	NA	NA	-0.087884536	0.087884536	unbias	0.319922517	G27_mmean	0.319922517	G27_mmean
TRINITY_DN101437_c0_g1_i1	NA	NA	NA	NA	-0.131847841	0.131847841	unbias	0.235972827	Ovary_mean	0.235972827	Ovary_mean
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-0.121452802	0.121452802	unbias	0.484065879	Ovary_mean	0.484065879	Ovary_mean
TRINITY_DN101472_c0_g1_i1	NA	NA	NA	NA	0.387651793	0.387651793	unbias	0.463317315	Ovary_mean	0.463317315	Ovary_mean
TRINITY_DN101477_c0_g1_i2	NA	NA	NA	NA	1.054883038	1.054883038	unbias	0.379893771	G46_M_mean	0.379893771	G46_M_mean
TRINITY_DN101481_c0_g1_i2	NA	NA	NA	NA	-0.453132028	0.453132028	unbias	0.333703367	Brain_fmean	0.333703367	Brain_fmean
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.358560448	0.358560448	unbias	0.170045449	G23_mmean	0.170045449	G23_mmean
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-0.07810206	0.07810206	unbias	0.253323869	Ovary_mean	0.253323869	Ovary_mean
TRINITY_DN101558_c0_g1_i1	NA	NA	NA	NA	-0.574828982	0.574828982	unbias	0.434258624	Ovary_mean	0.434258624	Ovary_mean
TRINITY_DN101562_c0_g2_i1	copz1	Chr02	142395009	142395009	-0.956561713	0.956561713	unbias	0.712013597	Brain_mmean	0.712013597	Brain_mmean
TRINITY_DN101610_c0_g2_i1	NA	NA	NA	NA	-0.866244377	0.866244377	unbias	0.176829961	G43_F_mean	0.176829961	G43_F_mean
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.308251224	0.308251224	unbias	0.459006234	G43_F_mean	0.459006234	G43_F_mean
TRINITY_DN101739_c1_g1_i2	NA	NA	NA	NA	-0.31133529	0.31133529	unbias	0.334721874	G43_M_mean	0.334721874	G43_M_mean
TRINITY_DN101751_c0_g1_i1	NA	NA	NA	NA	-0.071379956	0.071379956	unbias	0.51580006	Ovary_mean	0.51580006	Ovary_mean
TRINITY_DN101758_c0_g1_i1	NA	NA	NA	NA	0.416616166	0.416616166	unbias	0.098486839	G27_fmean	0.098486839	G27_fmean
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.382055945	0.382055945	unbias	0.412454283	Brain_fmean	0.412454283	Brain_fmean
TRINITY_DN101813_c0_g1_i1	mras	Chr09	50931287	50931287	1.538265916	1.538265916	unbias	0.500209223	G27_mmean	0.500209223	G27_mmean
TRINITY_DN101833_c0_g1_i1	NA	NA	NA	NA	-1.228951918	1.228951918	unbias	0.394024284	Ovary_mean	0.394024284	Ovary_mean
TRINITY_DN101867_c0_g1_i1	NA	NA	NA	NA	-0.629911515	0.629911515	unbias	0.261813566	G23_mmean	0.261813566	G23_mmean
TRINITY_DN101895_c0_g1_i1	NA	NA	NA	NA	0.548962444	0.548962444	unbias	0.32010738	G31_mmean	0.32010738	G31_mmean
TRINITY_DN101897_c0_g1_i1	NA	NA	NA	NA	-0.912027947	0.912027947	unbias	0.399599534	Brain_mmean	0.399599534	Brain_mmean
