gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue	dNdS	dN	dS
TRINITY_DN100260_c0_g2_i1	NA	NA	NA	NA	0.349531037	0.349531037	unbias	0.257661278	Ovary_mean	0.257661278	Ovary_mean	0.048	0.0845	1.7581
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.337962097	0.337962097	unbias	0.195032263	Ovary_mean	0.195032263	Ovary_mean	0.0057	0.0062	1.0857
TRINITY_DN100835_c0_g1_i1	Xetrov90002071m	Chr01	105042124	105042124	-0.321921819	0.321921819	unbias	0.437639948	G27_mmean	0.437639948	G27_mmean	0.1253	0.2148	1.715
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	-0.77911209	0.77911209	unbias	0.606357753	Ovary_mean	0.606357753	Ovary_mean	0.0354	0.0565	1.5983
TRINITY_DN101356_c0_g1_i1	pdia2	Chr09	9296722	9296722	0.090309412	0.090309412	unbias	0.654838779	Ovary_mean	0.654838779	Ovary_mean	0.0163	0.0276	1.6917
TRINITY_DN101457_c0_g1_i1	NA	NA	NA	NA	-0.121452802	0.121452802	unbias	0.484065879	Ovary_mean	0.484065879	Ovary_mean	0.1189	0.2181	1.8344
TRINITY_DN101488_c0_g2_i2	NA	NA	NA	NA	-0.358560448	0.358560448	unbias	0.170045449	G23_mmean	0.170045449	G23_mmean	0.0471	0.0856	1.8187
TRINITY_DN101542_c0_g1_i1	NA	NA	NA	NA	-0.07810206	0.07810206	unbias	0.253323869	Ovary_mean	0.253323869	Ovary_mean	0.0408	0.0347	0.8502
TRINITY_DN101728_c0_g2_i1	NA	NA	NA	NA	-0.308251224	0.308251224	unbias	0.459006234	G43_F_mean	0.459006234	G43_F_mean	0.1965	0.3865	1.9669
TRINITY_DN101809_c0_g1_i2	NA	NA	NA	NA	-0.382055945	0.382055945	unbias	0.412454283	Brain_fmean	0.412454283	Brain_fmean	0.0979	0.1516	1.5493
TRINITY_DN101903_c0_g2_i2	NA	NA	NA	NA	0.025378664	0.025378664	unbias	0.469207272	Ovary_mean	0.469207272	Ovary_mean	0.1532	0.1723	1.1247
TRINITY_DN101953_c0_g1_i3	NA	NA	NA	NA	0.542588607	0.542588607	unbias	0.428111172	Ovary_mean	0.428111172	Ovary_mean	0.1123	0.1753	1.5602
TRINITY_DN102065_c0_g1_i1	NA	NA	NA	NA	-1.031514447	1.031514447	unbias	0.434214696	Ovary_mean	0.434214696	Ovary_mean	0.0308	0.0476	1.5475
TRINITY_DN102078_c0_g1_i1	rundc3a	Chr10	14285958	14285958	0.440272676	0.440272676	unbias	0.261237667	Ovary_mean	0.261237667	Ovary_mean	0.0307	0.0444	1.4466
TRINITY_DN102162_c0_g1_i1	NA	NA	NA	NA	-0.267394783	0.267394783	unbias	0.497457845	Ovary_mean	0.497457845	Ovary_mean	0.1384	0.2751	1.9882
TRINITY_DN102167_c0_g1_i2	NA	NA	NA	NA	-0.094507622	0.094507622	unbias	0.29869715	Ovary_mean	0.29869715	Ovary_mean	0.0123	0.0161	1.3059
TRINITY_DN102279_c0_g1_i1	NA	NA	NA	NA	-0.163186115	0.163186115	unbias	0.148778968	G23_mmean	0.148778968	G23_mmean	0.0769	0.1219	1.5862
TRINITY_DN102288_c0_g1_i1	rbm34	Chr10	3802487	3802487	-0.998353776	0.998353776	unbias	0.636104975	Ovary_mean	0.636104975	Ovary_mean	0.1168	0.1976	1.6917
TRINITY_DN102400_c0_g1_i1	NA	NA	NA	NA	0.015436169	0.015436169	unbias	0.174012021	Testis_mean	0.174012021	Testis_mean	0.0704	0.1202	1.7079
TRINITY_DN102455_c0_g1_i1	NA	NA	NA	NA	0.560999272	0.560999272	unbias	0.185950609	Ovary_mean	0.185950609	Ovary_mean	0.128	0.2116	1.6526
TRINITY_DN102469_c0_g1_i1	NA	NA	NA	NA	0.222243801	0.222243801	unbias	0.524397524	Liver_fmean	0.524397524	Liver_fmean	0.1875	0.3205	1.7093
TRINITY_DN102493_c0_g1_i1	NA	NA	NA	NA	0.082675691	0.082675691	unbias	0.203652497	Ovary_mean	0.203652497	Ovary_mean	0.038	0.0702	1.8454
TRINITY_DN102539_c0_g1_i1	NA	NA	NA	NA	-0.627105318	0.627105318	unbias	0.350280171	Brain_mmean	0.350280171	Brain_mmean	0.1183	0.1998	1.6879
TRINITY_DN103107_c0_g1_i1	NA	NA	NA	NA	0.114032887	0.114032887	unbias	0.139536702	Ovary_mean	0.139536702	Ovary_mean	0.1794	0.2865	1.5972
TRINITY_DN103150_c0_g1_i1	NA	NA	NA	NA	-0.005618447	0.005618447	unbias	0.375544167	Testis_mean	0.375544167	Testis_mean	0.0816	0.1245	1.5262
TRINITY_DN103157_c0_g1_i2	NA	NA	NA	NA	0.145868135	0.145868135	unbias	0.568647296	Brain_mmean	0.568647296	Brain_mmean	0.0471	0.0801	1.6985
TRINITY_DN103209_c0_g3_i2	NA	NA	NA	NA	0.57948384	0.57948384	unbias	0.139736082	Ovary_mean	0.139736082	Ovary_mean	0.1141	0.2017	1.7681
TRINITY_DN103549_c0_g1_i1	NA	NA	NA	NA	-0.151183759	0.151183759	unbias	0.312515837	Ovary_mean	0.312515837	Ovary_mean	0.0579	0.1024	1.7679
TRINITY_DN103621_c0_g1_i2	NA	NA	NA	NA	-0.402703043	0.402703043	unbias	0.700727109	Ovary_mean	0.700727109	Ovary_mean	0.1704	0.2308	1.3544
TRINITY_DN103783_c0_g1_i1	NA	NA	NA	NA	-0.351699226	0.351699226	unbias	0.490403251	Ovary_mean	0.490403251	Ovary_mean	0.1565	0.2719	1.738
TRINITY_DN103838_c0_g1_i1	tti2	Chr03	118704775	118704775	-0.229138454	0.229138454	unbias	0.793468978	Ovary_mean	0.793468978	Ovary_mean	0.0743	0.1212	1.6324
TRINITY_DN103847_c0_g1_i1	tfcp2	Chr02	138973022	138973022	0.489694209	0.489694209	unbias	0.673094229	Liver_fmean	0.673094229	Liver_fmean	0.1055	0.1629	1.544
TRINITY_DN103896_c0_g1_i2	NA	NA	NA	NA	-0.367321415	0.367321415	unbias	0.542271212	G23_mmean	0.542271212	G23_mmean	0.136	0.2344	1.7238
TRINITY_DN103989_c0_g1_i1	NA	NA	NA	NA	0.247745601	0.247745601	unbias	0.258720657	Ovary_mean	0.258720657	Ovary_mean	0.0885	0.1434	1.6201
TRINITY_DN104173_c0_g1_i1	Xetrov90014084m	Chr05	75743400	75743400	0.408817362	0.408817362	unbias	0.265391286	Testis_mean	0.265391286	Testis_mean	0.1217	0.2082	1.7112
TRINITY_DN104207_c0_g1_i1	cdca7-like.1	Chr02	144125106	144125106	-0.901195056	0.901195056	unbias	0.722574477	Ovary_mean	0.722574477	Ovary_mean	0.1071	0.1454	1.358
TRINITY_DN104287_c1_g1_i1	NA	NA	NA	NA	-0.565588911	0.565588911	unbias	0.518937609	Brain_fmean	0.518937609	Brain_fmean	0.0892	0.173	1.9391
TRINITY_DN104339_c0_g1_i2	NA	NA	NA	NA	0.066064274	0.066064274	unbias	0.443111179	Ovary_mean	0.443111179	Ovary_mean	0.0099	0.0157	1.5775
TRINITY_DN104365_c0_g3_i1	NA	NA	NA	NA	0.706350141	0.706350141	unbias	0.471346293	Ovary_mean	0.471346293	Ovary_mean	0.0999	0.1188	1.1895
TRINITY_DN104428_c0_g1_i2	NA	NA	NA	NA	0.313922937	0.313922937	unbias	0.288033524	G23_mmean	0.288033524	G23_mmean	0.0885	0.1168	1.3195
TRINITY_DN104434_c0_g2_i1	opn1sw	Chr03	79523990	79523990	-0.24256123	0.24256123	unbias	0.812985216	Ovary_mean	0.812985216	Ovary_mean	0.174	0.3138	1.8029
TRINITY_DN104464_c0_g1_i1	NA	NA	NA	NA	-2.070221403	2.070221403	female	0.297143318	Brain_mmean	0.297143318	Brain_mmean	0.0939	0.1014	1.0793
TRINITY_DN104508_c0_g2_i3	NA	NA	NA	NA	-0.353350515	0.353350515	unbias	0.302173955	Ovary_mean	0.302173955	Ovary_mean	0.1025	0.1619	1.579
TRINITY_DN104654_c0_g1_i1	NA	NA	NA	NA	-0.296428703	0.296428703	unbias	0.667587307	Ovary_mean	0.667587307	Ovary_mean	0.0931	0.1819	1.954
TRINITY_DN104658_c0_g2_i1	NA	NA	NA	NA	-1.737916311	1.737916311	unbias	0.760347627	Ovary_mean	0.760347627	Ovary_mean	0.1356	0.241	1.7772
TRINITY_DN104694_c0_g1_i1	NA	NA	NA	NA	0.047820464	0.047820464	unbias	0.402121776	Brain_mmean	0.402121776	Brain_mmean	0.0241	0.0443	1.8389
TRINITY_DN104732_c0_g1_i1	NA	NA	NA	NA	-0.508307191	0.508307191	unbias	0.613586486	G43_M_mean	0.613586486	G43_M_mean	0.2624	0.4046	1.5421
TRINITY_DN104740_c0_g1_i2	LOC100158544	Chr04	127653170	127653170	-0.029442031	0.029442031	unbias	0.452856277	Ovary_mean	0.452856277	Ovary_mean	0.0484	0.0932	1.925
TRINITY_DN104751_c0_g1_i2	NA	NA	NA	NA	0.333646193	0.333646193	unbias	0.401085647	Ovary_mean	0.401085647	Ovary_mean	0.0416	0.06	1.4428
TRINITY_DN104801_c0_g1_i1	mfsd6-like	Chr09	29936304	29936304	0.207093097	0.207093097	unbias	0.52790364	Brain_fmean	0.52790364	Brain_fmean	0.0525	0.0603	1.1476
TRINITY_DN104812_c0_g1_i2	NA	NA	NA	NA	0.386477343	0.386477343	unbias	0.410673238	Ovary_mean	0.410673238	Ovary_mean	0.0791	0.1036	1.3096
TRINITY_DN104972_c0_g1_i2	NA	NA	NA	NA	0.229437111	0.229437111	unbias	0.088868842	G27_fmean	0.088868842	G27_fmean	0.0377	0.0743	1.9699
TRINITY_DN105060_c0_g2_i3	scaf8	Chr05	42650260	42650260	0.036077905	0.036077905	unbias	0.576363007	Brain_fmean	0.576363007	Brain_fmean	0.0429	0.0716	1.6683
TRINITY_DN105273_c0_g1_i2	NA	NA	NA	NA	1.049566053	1.049566053	unbias	0.59619219	G27_mmean	0.59619219	G27_mmean	0.1152	0.2008	1.743
TRINITY_DN105372_c0_g2_i1	NA	NA	NA	NA	0.280132866	0.280132866	unbias	0.266458137	G46_M_mean	0.266458137	G46_M_mean	0.0978	0.1708	1.7466
TRINITY_DN105400_c0_g1_i3	NA	NA	NA	NA	-0.516537889	0.516537889	unbias	0.24982071	Ovary_mean	0.24982071	Ovary_mean	0.1525	0.2011	1.3186
TRINITY_DN105441_c0_g2_i3	NA	NA	NA	NA	-0.071728744	0.071728744	unbias	0.287618799	Ovary_mean	0.287618799	Ovary_mean	0.0128	0.0124	0.9683
TRINITY_DN105496_c0_g1_i1	NA	NA	NA	NA	0.590615236	0.590615236	unbias	0.887715301	Liver_mmean	0.887715301	Liver_mmean	0.0578	0.102	1.7627
TRINITY_DN105560_c0_g1_i2	NA	NA	NA	NA	1.382878242	1.382878242	unbias	0.410375768	Ovary_mean	0.410375768	Ovary_mean	0.1374	0.1843	1.3417
TRINITY_DN105578_c0_g1_i1	NA	NA	NA	NA	0.237339042	0.237339042	unbias	0.793924477	Ovary_mean	0.793924477	Ovary_mean	0.1479	0.2113	1.4289
TRINITY_DN105592_c1_g1_i2	hapln4	Chr01	101891688	101891688	-1.000308285	1.000308285	unbias	0.224430782	G27_fmean	0.224430782	G27_fmean	0.1597	0.2378	1.4894
TRINITY_DN105601_c0_g1_i1	NA	NA	NA	NA	-0.248393417	0.248393417	unbias	0.701864526	Ovary_mean	0.701864526	Ovary_mean	0.0889	0.1503	1.6911
TRINITY_DN105647_c0_g2_i1	cpeb3	Chr07	17464515	17464515	-4.456667859	4.456667859	female	0.921850243	Ovary_mean	0.921850243	Ovary_mean	0.5406	0.7804	1.4436
TRINITY_DN105705_c0_g1_i1	NA	NA	NA	NA	0.728026411	0.728026411	unbias	0.511401922	G46_F_mean	0.511401922	G46_F_mean	0.1537	0.2185	1.4217
TRINITY_DN105726_c0_g1_i1	NA	NA	NA	NA	-0.378539789	0.378539789	unbias	0.538085116	Ovary_mean	0.538085116	Ovary_mean	0.0788	0.1018	1.2921
TRINITY_DN105902_c0_g1_i1	NA	NA	NA	NA	0.49186528	0.49186528	unbias	0.825471316	Brain_fmean	0.825471316	Brain_fmean	0.0651	0.0739	1.1351
TRINITY_DN105940_c0_g1_i2	NA	NA	NA	NA	0.834687534	0.834687534	unbias	0.562203372	Ovary_mean	0.562203372	Ovary_mean	0.0124	0.0153	1.2403
TRINITY_DN106065_c0_g1_i2	NA	NA	NA	NA	-0.39042549	0.39042549	unbias	0.439832165	Ovary_mean	0.439832165	Ovary_mean	0.0442	0.0531	1.2023
TRINITY_DN106090_c0_g2_i1	NA	NA	NA	NA	-0.088401558	0.088401558	unbias	0.213337935	Ovary_mean	0.213337935	Ovary_mean	0.1269	0.1557	1.227
TRINITY_DN106101_c0_g1_i1	NA	NA	NA	NA	0.373822631	0.373822631	unbias	0.114320571	Ovary_mean	0.114320571	Ovary_mean	0.031	0.0387	1.2467
TRINITY_DN106189_c0_g2_i1	NA	NA	NA	NA	0.333304145	0.333304145	unbias	0.583518706	Liver_fmean	0.583518706	Liver_fmean	0.1266	0.2486	1.964
TRINITY_DN106366_c0_g5_i1	NA	NA	NA	NA	1.05222317	1.05222317	unbias	0.527915597	Ovary_mean	0.527915597	Ovary_mean	0.0889	0.1226	1.3783
TRINITY_DN106368_c0_g2_i1	NA	NA	NA	NA	0.227543159	0.227543159	unbias	0.256137111	G23_mmean	0.256137111	G23_mmean	0.0957	0.1369	1.43
TRINITY_DN106392_c0_g2_i2	NA	NA	NA	NA	0.055973455	0.055973455	unbias	0.310371448	Ovary_mean	0.310371448	Ovary_mean	0.0667	0.1122	1.683
TRINITY_DN106464_c0_g2_i1	NA	NA	NA	NA	-0.3777128	0.3777128	unbias	0.775014805	Brain_fmean	0.775014805	Brain_fmean	0.0366	0.0529	1.4454
TRINITY_DN106465_c0_g1_i1	NA	NA	NA	NA	0.518852273	0.518852273	unbias	0.165596721	Ovary_mean	0.165596721	Ovary_mean	0.0281	0.0393	1.3971
TRINITY_DN106476_c0_g1_i1	NA	NA	NA	NA	0.362742557	0.362742557	unbias	0.369336964	Brain_mmean	0.369336964	Brain_mmean	0.0371	0.0623	1.678
TRINITY_DN106620_c0_g1_i1	NA	NA	NA	NA	-0.717821132	0.717821132	unbias	0.536980079	Ovary_mean	0.536980079	Ovary_mean	0.0532	0.0741	1.3921
TRINITY_DN106706_c0_g1_i4	NA	NA	NA	NA	0.828541165	0.828541165	unbias	0.25862767	Testis_mean	0.25862767	Testis_mean	0.1394	0.1304	0.9357
TRINITY_DN106942_c0_g1_i1	dtl	Chr05	10944941	10944941	0.100184457	0.100184457	unbias	0.609934744	Ovary_mean	0.609934744	Ovary_mean	0.0487	0.0873	1.7914
TRINITY_DN106959_c0_g2_i1	ntpcr	Chr05	61282278	61282278	-0.062955125	0.062955125	unbias	0.195071609	Ovary_mean	0.195071609	Ovary_mean	0.0436	0.0812	1.8649
TRINITY_DN107178_c0_g3_i1	tmem45b	Chr07	67399340	67399340	0.186890691	0.186890691	unbias	0.132910206	G23_fmean	0.132910206	G23_fmean	0.0406	0.0775	1.906
TRINITY_DN107234_c0_g1_i1	NA	NA	NA	NA	-0.07195983	0.07195983	unbias	0.462035998	Ovary_mean	0.462035998	Ovary_mean	0.0603	0.1094	1.8135
TRINITY_DN107308_c0_g1_i1	NA	NA	NA	NA	0.051033353	0.051033353	unbias	0.509824948	Ovary_mean	0.509824948	Ovary_mean	0.0086	0.0117	1.3675
TRINITY_DN107396_c0_g1_i2	NA	NA	NA	NA	0.97088108	0.97088108	unbias	0.420752774	Brain_mmean	0.420752774	Brain_mmean	0.0701	0.0936	1.3351
TRINITY_DN107472_c0_g1_i1	NA	NA	NA	NA	0.362878303	0.362878303	unbias	0.478024315	Brain_fmean	0.478024315	Brain_fmean	0.0772	0.0918	1.1896
TRINITY_DN107473_c0_g2_i2	NA	NA	NA	NA	0.111078219	0.111078219	unbias	0.319180507	Ovary_mean	0.319180507	Ovary_mean	0.0783	0.1248	1.595
TRINITY_DN107530_c1_g1_i1	NA	NA	NA	NA	-0.626985203	0.626985203	unbias	0.326146599	Ovary_mean	0.326146599	Ovary_mean	0.0974	0.1502	1.5415
TRINITY_DN107586_c0_g1_i2	NA	NA	NA	NA	0.226440583	0.226440583	unbias	0.276423953	Brain_fmean	0.276423953	Brain_fmean	0.0352	0.0451	1.2822
TRINITY_DN107672_c0_g2_i1	NA	NA	NA	NA	-0.32218645	0.32218645	unbias	0.60079732	G27_fmean	0.60079732	G27_fmean	0.2023	0.2949	1.4581
TRINITY_DN107696_c0_g1_i4	NA	NA	NA	NA	-0.521792056	0.521792056	unbias	0.543133436	Ovary_mean	0.543133436	Ovary_mean	0.0631	0.067	1.0609
TRINITY_DN107740_c0_g1_i1	NA	NA	NA	NA	-0.413978366	0.413978366	unbias	0.651408248	Ovary_mean	0.651408248	Ovary_mean	0.0127	0.0151	1.1955
TRINITY_DN107774_c0_g1_i2	NA	NA	NA	NA	0.19088263	0.19088263	unbias	0.233174819	Ovary_mean	0.233174819	Ovary_mean	0.0257	0.0288	1.1202
TRINITY_DN107777_c0_g6_i1	NA	NA	NA	NA	0.182007154	0.182007154	unbias	0.393336697	Ovary_mean	0.393336697	Ovary_mean	0.039	0.0505	1.293
TRINITY_DN107787_c0_g1_i1	NA	NA	NA	NA	0.23722377	0.23722377	unbias	0.358659886	Ovary_mean	0.358659886	Ovary_mean	0.0922	0.1632	1.7702
TRINITY_DN107852_c0_g1_i2	NA	NA	NA	NA	-0.279368694	0.279368694	unbias	0.375037377	Ovary_mean	0.375037377	Ovary_mean	0.0163	0.0093	0.571
TRINITY_DN107915_c0_g1_i1	NA	NA	NA	NA	-1.507635217	1.507635217	unbias	0.447814593	Brain_mmean	0.447814593	Brain_mmean	0.0683	0.135	1.9753
TRINITY_DN107990_c0_g1_i1	NA	NA	NA	NA	0.428234163	0.428234163	unbias	0.245202771	Ovary_mean	0.245202771	Ovary_mean	0.0848	0.1245	1.4687
TRINITY_DN108052_c0_g1_i1	NA	NA	NA	NA	1.036733596	1.036733596	unbias	0.655005871	Liver_mmean	0.655005871	Liver_mmean	0.0734	0.0962	1.3092
TRINITY_DN108061_c0_g1_i1	NA	NA	NA	NA	0.37956729	0.37956729	unbias	0.159037928	Ovary_mean	0.159037928	Ovary_mean	0.0392	0.065	1.6562
TRINITY_DN108119_c0_g1_i1	NA	NA	NA	NA	-0.289056242	0.289056242	unbias	0.683682963	G23_fmean	0.683682963	G23_fmean	0.1589	0.208	1.309
TRINITY_DN10812_c0_g1_i1	NA	NA	NA	NA	0.055649432	0.055649432	unbias	0.340619516	G27_mmean	0.340619516	G27_mmean	0.0493	0.0692	1.4016
TRINITY_DN108126_c0_g2_i2	NA	NA	NA	NA	-0.17073927	0.17073927	unbias	0.281067127	Brain_fmean	0.281067127	Brain_fmean	0.1477	0.2825	1.912
TRINITY_DN108146_c0_g1_i2	pcolce	scaffold_313	119309	119309	-0.273854972	0.273854972	unbias	0.212059109	Brain_fmean	0.212059109	Brain_fmean	0.0442	0.0663	1.4996
TRINITY_DN108196_c0_g1_i1	LOC101734133-like	Chr03	108075044	108075044	0.00946839	0.00946839	unbias	0.325066504	Ovary_mean	0.325066504	Ovary_mean	0.0643	0.0824	1.2798
TRINITY_DN108276_c0_g2_i1	NA	NA	NA	NA	-0.423287247	0.423287247	unbias	0.700956465	Testis_mean	0.700956465	Testis_mean	0.0657	0.0724	1.1032
TRINITY_DN108314_c0_g1_i2	NA	NA	NA	NA	0.340588028	0.340588028	unbias	0.419949503	Brain_mmean	0.419949503	Brain_mmean	0.071	0.0918	1.2929
TRINITY_DN108316_c0_g1_i1	NA	NA	NA	NA	0.183538335	0.183538335	unbias	0.445466245	Ovary_mean	0.445466245	Ovary_mean	0.0167	0.0211	1.2626
TRINITY_DN108427_c0_g3_i5	kat5	Chr04	37688066	37688066	-0.5253021	0.5253021	unbias	0.43547334	Ovary_mean	0.43547334	Ovary_mean	0.0748	0.1472	1.9671
TRINITY_DN108429_c0_g2_i1	slc24a3	Chr05	24144989	24144989	-0.094364956	0.094364956	unbias	0.453608037	Ovary_mean	0.453608037	Ovary_mean	0.0429	0.0528	1.2308
TRINITY_DN108436_c0_g1_i2	cib2	Chr03	81482528	81482528	-0.476284761	0.476284761	unbias	0.520227666	Ovary_mean	0.520227666	Ovary_mean	0.1115	0.0839	0.7527
TRINITY_DN108443_c0_g4_i4	tmed10	Chr04	37918776	37918776	-1.535765435	1.535765435	unbias	0.467501213	G46_M_mean	0.467501213	G46_M_mean	0.075	0.1463	1.9521
TRINITY_DN108539_c0_g1_i2	thap5	Chr03	56033628	56033628	-0.048447962	0.048447962	unbias	0.178723397	Ovary_mean	0.178723397	Ovary_mean	0.0422	0.0714	1.6932
TRINITY_DN108541_c0_g1_i1	fam228b	Chr05	141614932	141614932	0.191996173	0.191996173	unbias	0.446596101	Ovary_mean	0.446596101	Ovary_mean	0.0477	0.064	1.3418
TRINITY_DN108551_c0_g1_i2	NA	NA	NA	NA	-0.120548479	0.120548479	unbias	0.682001497	Brain_mmean	0.682001497	Brain_mmean	0.0144	0.021	1.4572
TRINITY_DN108558_c2_g1_i2	NA	NA	NA	NA	0.150948251	0.150948251	unbias	0.594215724	Ovary_mean	0.594215724	Ovary_mean	0.0506	0.0876	1.7305
TRINITY_DN108580_c0_g1_i1	NA	NA	NA	NA	0.1376215	0.1376215	unbias	0.384390432	Brain_fmean	0.384390432	Brain_fmean	0.0568	0.1092	1.9239
TRINITY_DN108588_c0_g1_i1	NA	NA	NA	NA	0.362677985	0.362677985	unbias	0.398238291	Brain_mmean	0.398238291	Brain_mmean	0.1556	0.2039	1.3108
TRINITY_DN108683_c0_g3_i1	NA	NA	NA	NA	-0.39851069	0.39851069	unbias	0.126396601	G23_mmean	0.126396601	G23_mmean	0.053	0.0368	0.6955
TRINITY_DN108688_c0_g1_i1	ociad2	Chr01	30009371	30009371	0.358361159	0.358361159	unbias	0.587323385	Brain_fmean	0.587323385	Brain_fmean	0.0716	0.0933	1.3032
TRINITY_DN108726_c0_g1_i1	ctdp1	Chr06	28525794	28525794	0.770029775	0.770029775	unbias	0.135177663	G23_mmean	0.135177663	G23_mmean	0.0854	0.1011	1.1838
TRINITY_DN108746_c0_g1_i1	NA	NA	NA	NA	0.679073514	0.679073514	unbias	0.11727182	Brain_mmean	0.11727182	Brain_mmean	0.0337	0.0452	1.3443
TRINITY_DN108769_c0_g1_i3	NA	NA	NA	NA	-0.486730321	0.486730321	unbias	0.394881415	Brain_fmean	0.394881415	Brain_fmean	0.0057	0.0063	1.0963
TRINITY_DN108791_c0_g2_i1	NA	NA	NA	NA	-0.37167177	0.37167177	unbias	0.574594446	Brain_fmean	0.574594446	Brain_fmean	0.0333	0.0324	0.9722
