gid	gname	chr	start	end	logCPM	logFC.MT.FO	PV.MT.FO	FDR.MT.FO
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	3.99231934423137	5.01090838906814	6.34415406751699e-28	2.89572568257746e-26
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	7.79483454943033	-3.10163157345151	3.92516219602817e-18	8.19579612422277e-17
TRINITY_DN116342_c0_g2_i1	LOC100145252	Chr01	9931810	9931810	0.511329031323031	5.57225861219994	9.69472866306238e-13	1.13696350230426e-11
TRINITY_DN93335_c0_g2_i1	LOC100495180	Chr01	10131517	10131517	1.3277769607872	-2.27509799552481	0.00327595946766129	0.00761111136831578
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	2.08437255872379	-7.06075949076779	6.00330123776339e-18	1.22876538877342e-16
TRINITY_DN121834_c1_g1_i1	glod5	Chr01	10447866	10447866	0.167283614580686	-2.43711650075005	2.69163962839699e-05	9.64039541733774e-05
TRINITY_DN122521_c1_g1_i1	rnf103	Chr01	11428540	11428540	2.04403067587186	-2.8356285794279	3.25181851520803e-07	1.63124819081756e-06
TRINITY_DN121040_c0_g3_i2	tnip2	Chr01	11849553	11849553	2.61751755433737	-4.28177527475137	2.59914527998596e-14	3.67747635336885e-13
TRINITY_DN136232_c2_g1_i2	tmem129	Chr01	13302596	13302596	2.42843773355628	2.43751647362698	1.18831115073386e-06	5.4271837266456e-06
TRINITY_DN121419_c0_g1_i2	LOC100489853	Chr01	14502547	14502547	5.74492671663517	-2.37787885794555	5.09954538597903e-15	7.80039040206524e-14
TRINITY_DN133534_c2_g9_i5	LOC101731678-like	Chr01	15912763	15912763	3.01413190257648	2.15569589303997	3.91278201005264e-06	1.6230009275431e-05
TRINITY_DN133488_c1_g1_i1	LOC100495174	Chr01	18430207	18430207	1.73431533938457	2.64726052472428	3.26694194329375e-07	1.63792067288774e-06
TRINITY_DN133473_c0_g8_i4	sorcs2	Chr01	19859326	19859326	5.85242157743123	-2.00562525119528	3.56494416434282e-09	2.50181905653849e-08
TRINITY_DN119152_c0_g1_i4	gba3	Chr01	22342374	22342374	1.73778894311855	2.85891579044622	7.35779277455045e-08	4.09959830812477e-07
TRINITY_DN119009_c0_g2_i2	kcnip4-like	Chr01	22625130	22625130	0.0643634426860159	3.13345766877119	3.42730593681276e-07	1.71455449561466e-06
TRINITY_DN126289_c6_g2_i1	pacrgl	Chr01	22668808	22668808	4.04650700795846	3.14829092844766	2.19125543706291e-09	1.58607141086742e-08
TRINITY_DN127999_c10_g6_i2	klf3	Chr01	26186197	26186197	0.536788070134309	3.15712032678001	5.49911749591668e-07	2.66569370203506e-06
TRINITY_DN126256_c6_g2_i1	klhl5-like	Chr01	26330435	26330435	5.0114280209757	-4.42085942559738	7.59448597422018e-23	2.41394650283639e-21
TRINITY_DN133214_c1_g4_i1	Xetrov90000594m	Chr01	27050817	27050817	6.43945040609797	-2.74722412921939	2.88991779195446e-29	1.42756934735898e-27
TRINITY_DN128540_c2_g1_i1	bend4-like	Chr01	28031281	28031281	1.2127334428659	2.40729657038622	0.000277611070490983	0.000818346661165748
TRINITY_DN135526_c5_g2_i2	atp8a1	Chr01	28181203	28181203	5.75362887642405	-11.7107184400689	1.94128486572661e-68	4.17962294392573e-66
TRINITY_DN118819_c0_g1_i1	corin-like	Chr01	29391953	29391953	8.76939235494319	3.46591269206923	9.23014589291226e-12	9.44620581022617e-11
TRINITY_DN118236_c0_g2_i2	nipal1	Chr01	29602560	29602560	4.43760941608906	3.23771509901043	3.89365124959944e-21	1.06675760886385e-19
TRINITY_DN124009_c0_g1_i3	ppat	Chr01	31660752	31660752	4.81493257644072	3.04479656103547	1.12806576202728e-18	2.4802232004804e-17
TRINITY_DN114622_c0_g1_i3	ankrd37	Chr01	35248675	35248675	0.322033674483874	-2.17227323577126	0.00070187447788721	0.00189658801992312
TRINITY_DN131967_c0_g3_i2	snx25-like	Chr01	35262666	35262666	1.94149810309659	-8.61364294560592	9.94757053060639e-14	1.3183708167799e-12
TRINITY_DN130634_c6_g2_i1	LOC100486222	Chr01	35569041	35569041	4.23618104659023	3.94187890309371	2.09226647947094e-23	7.05142885170428e-22
TRINITY_DN120539_c0_g1_i1	Xetrov90000766m	Chr01	36457341	36457341	1.19660861381249	2.05397232760456	0.00116616619283376	0.00300691954048717
