gid	gname	chr	start	end	logCPM	logFC.MT.FO	PV.MT.FO	FDR.MT.FO
TRINITY_DN131528_c2_g1_i1	ptpra	Chr01	6230782	6230782	3.99231934423137	5.01090838906814	6.34415406751699e-28	2.89572568257746e-26
TRINITY_DN126312_c0_g1_i4	oxt	Chr01	6308159	6308159	7.79483454943033	-3.10163157345151	3.92516219602817e-18	8.19579612422277e-17
TRINITY_DN136216_c2_g1_i1	dysf-like	Chr01	9051421	9051421	6.16570194748975	1.14253924438405	5.45669099077e-05	0.000184711660918649
TRINITY_DN119931_c0_g1_i1	LOC100127651	Chr01	9648232	9648232	6.22503890878537	-1.20738617688109	2.1555780219521e-06	9.33838299487297e-06
TRINITY_DN128516_c1_g3_i2	LOC100489358	Chr01	9910989	9910989	1.37541789014156	1.53268642323368	0.00139771446443805	0.00353604251273753
TRINITY_DN116342_c0_g2_i1	LOC100145252	Chr01	9931810	9931810	0.511329031323031	5.57225861219994	9.69472866306238e-13	1.13696350230426e-11
TRINITY_DN110146_c0_g1_i3	dctn1	Chr01	10068970	10068970	2.96856192593378	1.09316044708786	0.00592649476857359	0.0129653435207426
TRINITY_DN93335_c0_g2_i1	LOC100495180	Chr01	10131517	10131517	1.3277769607872	-2.27509799552481	0.00327595946766129	0.00761111136831578
TRINITY_DN121522_c0_g1_i3	pradc1	Chr01	10441921	10441921	2.08437255872379	-7.06075949076779	6.00330123776339e-18	1.22876538877342e-16
TRINITY_DN121834_c1_g1_i1	glod5	Chr01	10447866	10447866	0.167283614580686	-2.43711650075005	2.69163962839699e-05	9.64039541733774e-05
TRINITY_DN125389_c0_g2_i1	spr	Chr01	10753033	10753033	1.43369139192273	1.08150589150635	0.0165984708366802	0.0322968967034457
TRINITY_DN122521_c1_g1_i1	rnf103	Chr01	11428540	11428540	2.04403067587186	-2.8356285794279	3.25181851520803e-07	1.63124819081756e-06
TRINITY_DN121040_c0_g3_i2	tnip2	Chr01	11849553	11849553	2.61751755433737	-4.28177527475137	2.59914527998596e-14	3.67747635336885e-13
TRINITY_DN136232_c2_g1_i2	tmem129	Chr01	13302596	13302596	2.42843773355628	2.43751647362698	1.18831115073386e-06	5.4271837266456e-06
TRINITY_DN112907_c0_g2_i1	spon2	Chr01	14487640	14487640	7.24608361315804	-1.42809783912367	1.18201632273024e-08	7.54572769716074e-08
TRINITY_DN121419_c0_g1_i2	LOC100489853	Chr01	14502547	14502547	5.74492671663517	-2.37787885794555	5.09954538597903e-15	7.80039040206524e-14
TRINITY_DN128639_c1_g5_i1	fgfrl1	Chr01	14724047	14724047	2.36575046252962	-1.93634776719122	0.000908535406156772	0.00239623194722176
TRINITY_DN120724_c0_g1_i1	thnsl2	Chr01	15242191	15242191	2.38215301477454	1.28591742522617	0.00220987708782421	0.00534539638561993
TRINITY_DN126177_c8_g2_i3	foxi4.1	Chr01	15315114	15315114	3.36523063192146	1.96413116237388	3.24060233112999e-05	0.000114626513330826
TRINITY_DN136324_c5_g3_i1	hgfac	Chr01	15854605	15854605	1.57796932665976	1.14732274515301	0.0156440501497237	0.0306910094143381
TRINITY_DN133534_c2_g9_i5	LOC101731678-like	Chr01	15912763	15912763	3.01413190257648	2.15569589303997	3.91278201005264e-06	1.6230009275431e-05
TRINITY_DN124216_c1_g3_i9	fgfbp2	Chr01	16906025	16906025	4.79618382250675	1.58651891219133	1.551297652378e-05	5.78965086223561e-05
TRINITY_DN133488_c1_g1_i1	LOC100495174	Chr01	18430207	18430207	1.73431533938457	2.64726052472428	3.26694194329375e-07	1.63792067288774e-06
TRINITY_DN115726_c0_g4_i1	nsg1	Chr01	18625008	18625008	0.955910921032051	1.38309234067129	0.0188944460443829	0.0362238783287052
TRINITY_DN133473_c0_g8_i4	sorcs2	Chr01	19859326	19859326	5.85242157743123	-2.00562525119528	3.56494416434282e-09	2.50181905653849e-08
TRINITY_DN130224_c3_g3_i1	LOC100489920-like	Chr01	20481224	20481224	3.64613410967764	1.36022701215274	0.0126176745429113	0.0253754466353826
TRINITY_DN131300_c5_g1_i1	htra3	Chr01	20681225	20681225	5.78575963843111	-1.17992833431536	0.00126361562899171	0.00322975834276238
TRINITY_DN128838_c1_g1_i1	Xetrov90000522m	Chr01	20771304	20771304	0.858611160325462	1.56640768157563	0.00296707298240189	0.00696938447965994
TRINITY_DN119152_c0_g1_i4	gba3	Chr01	22342374	22342374	1.73778894311855	2.85891579044622	7.35779277455045e-08	4.09959830812477e-07
