gid	gname	chr	start	end	logCPM	logFC.XY31.XX31	PV.XY31.XX31	FDR.XY31.XX31
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	152363125	152363125	4.19670998527848	-1.17681603686281	1.66208743850682e-06	0.00874673514514215
TRINITY_DN118329_c0_g1_i1	auh	Chr01	126397660	126397660	5.94432954296602	-1.19335019420916	9.04206336448064e-08	0.000951677169111587
TRINITY_DN127195_c11_g1_i1	cuedc2	Chr07	33949869	33949869	-0.00624276786999628	2.97552118401895	1.74495557475863e-05	0.026236653463335
TRINITY_DN127522_c0_g1_i1	sirt6	Chr06	34956913	34956913	3.69003528852719	-1.04202317131727	3.07018519083531e-05	0.0323136991335416
TRINITY_DN128124_c11_g2_i3	olfm4	Chr08	58013003	58013003	5.66441956208174	1.86154843353692	1.33835792541785e-05	0.0234770286083714
TRINITY_DN129262_c0_g1_i1	ccdc28b	Chr02	82466852	82466852	4.74997789497322	-1.16143062008285	2.21709585924233e-05	0.0274969295560583
TRINITY_DN129309_c0_g2_i1	Xetrov90002507m	Chr01	128823928	128823928	1.47129253157165	2.26751797910904	9.34173036048379e-06	0.0234770286083714
TRINITY_DN129581_c0_g1_i5	eif2b1	Chr01	152378996	152378996	5.3151272292984	-0.971584413530747	2.35128138721639e-05	0.0274969295560583
TRINITY_DN134864_c1_g1_i1	manba-like	Chr01	64203660	64203660	4.3815179784055	-1.40601437109056	4.07253116267225e-06	0.0142877968290418
TRINITY_DN93238_c0_g1_i1	LOC100496487	Chr10	35579404	35579404	0.952059845298465	2.09882777147785	1.118678717261e-05	0.0234770286083714
