RBH	gid	dnds	dn	ds	gname	chr	start	end
RBH_pair_5.fa.best.phy	TRINITY_DN100194_c0_g1_i1	0.0782	0.0539	0.6898	vax2	Chr01	8250217	8250217
RBH_pair_7.fa.best.phy	TRINITY_DN100260_c0_g2_i1	0.048	0.0845	1.7581	ncbp2	Chr05	97976339	97976339
RBH_pair_9.fa.best.phy	TRINITY_DN100348_c0_g1_i1	0.0384	0.0638	1.659	LOC100485839	Chr04	129827549	129827549
RBH_pair_10.fa.best.phy	TRINITY_DN100358_c0_g1_i1	0.072	0.0933	1.2961	LOC100486229	Chr08	87767206	87767206
RBH_pair_12.fa.best.phy	TRINITY_DN100418_c0_g1_i1	0.2178	0.4114	1.8887	clec2d	Chr07	2179298	2179298
RBH_pair_13.fa.best.phy	TRINITY_DN100514_c0_g1_i1	0.045	0.0447	0.9937	nkx2-4	Chr05	25188671	25188671
RBH_pair_14.fa.best.phy	TRINITY_DN100638_c0_g2_i1	0.0057	0.0062	1.0857	srp54	Chr08	89146521	89146521
RBH_pair_16.fa.best.phy	TRINITY_DN100830_c0_g1_i2	0.2337	0.341	1.4595	LOC101733955	Chr03	85276942	85276942
RBH_pair_17.fa.best.phy	TRINITY_DN100835_c0_g1_i1	0.1253	0.2148	1.715	Xetrov90013145m	Chr05	14816595	14816595
RBH_pair_18.fa.best.phy	TRINITY_DN101042_c0_g2_i1	0.0354	0.0565	1.5983	clpx	Chr03	117918294	117918294
RBH_pair_24.fa.best.phy	TRINITY_DN101292_c0_g1_i3	0.0589	0.0678	1.1513	c16orf45	Chr09	28224425	28224425
RBH_pair_26.fa.best.phy	TRINITY_DN101356_c0_g1_i1	0.0163	0.0276	1.6917	purg	Chr01	78613871	78613871
RBH_pair_28.fa.best.phy	TRINITY_DN101369_c0_g1_i1	0.0496	0.0684	1.3795	kbtbd8	scaffold_16	903489	903489
RBH_pair_29.fa.best.phy	TRINITY_DN101457_c0_g1_i1	0.1189	0.2181	1.8344	asnsd1-like	Chr09	39386717	39386717
RBH_pair_30.fa.best.phy	TRINITY_DN101488_c0_g2_i2	0.0471	0.0856	1.8187	pdcl3	Chr02	106708785	106708785
RBH_pair_31.fa.best.phy	TRINITY_DN101542_c0_g1_i1	0.0408	0.0347	0.8502	rps6kb1	Chr02	87418446	87418446
RBH_pair_34.fa.best.phy	TRINITY_DN101728_c0_g2_i1	0.1965	0.3865	1.9669	lrrc20	Chr07	32617150	32617150
RBH_pair_36.fa.best.phy	TRINITY_DN101798_c0_g1_i1	0.0971	0.0987	1.0167	LOC100494476	Chr06	115491063	115491063
