rbh	gid	dNdS	dN	dS	chrid	chrtype	twosexchr
RBH_pair_6577.fa.best.phy	TRINITY_DN128829_c3_g2_i2	0.0403	0.0082	0.2029	Chr01	Sexchr	Chr01
RBH_pair_6639.fa.best.phy	TRINITY_DN128955_c5_g1_i1	0.052	0.0222	0.4271	Chr01	Sexchr	Chr01
RBH_pair_2310.fa.best.phy	TRINITY_DN119653_c0_g2_i1	0.0305	0.0135	0.4424	Chr01	Sexchr	Chr01
RBH_pair_2338.fa.best.phy	TRINITY_DN119737_c0_g2_i2	0.0481	0.0219	0.4547	Chr01	Sexchr	Chr01
RBH_pair_4936.fa.best.phy	TRINITY_DN125676_c0_g1_i1	0.0723	0.0372	0.5142	Chr01	Sexchr	Chr01
RBH_pair_8390.fa.best.phy	TRINITY_DN132085_c5_g1_i2	0.0798	0.0414	0.5186	Chr01	Sexchr	Chr01
RBH_pair_1926.fa.best.phy	TRINITY_DN118411_c0_g1_i21	0.0205	0.0108	0.5254	Chr01	Sexchr	Chr01
RBH_pair_7922.fa.best.phy	TRINITY_DN131226_c2_g4_i1	0.0595	0.0316	0.531	Chr01	Sexchr	Chr01
RBH_pair_1024.fa.best.phy	TRINITY_DN114618_c0_g1_i5	0.1424	0.0763	0.5355	Chr01	Sexchr	Chr01
RBH_pair_9684.fa.best.phy	TRINITY_DN134442_c2_g3_i3	0.0236	0.0128	0.5416	Chr01	Sexchr	Chr01
RBH_pair_10194.fa.best.phy	TRINITY_DN135508_c3_g1_i4	0.0049	0.0027	0.5419	Chr01	Sexchr	Chr01
RBH_pair_453.fa.best.phy	TRINITY_DN109980_c0_g1_i1	0.1102	0.0602	0.5468	Chr01	Sexchr	Chr01
RBH_pair_3461.fa.best.phy	TRINITY_DN122646_c2_g1_i1	0.0523	0.029	0.5545	Chr01	Sexchr	Chr01
RBH_pair_304.fa.best.phy	TRINITY_DN107852_c0_g1_i2	0.0163	0.0093	0.571	Chr01	Sexchr	Chr01
