gid	gname	chr	start	end	logCPM	logFC.XY23.XX23	PV.XY23.XX23	FDR.XY23.XX23	stage	sexbias
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	1.090540209	-9.67313979	7.72E-21	3.07E-17	G23	female
TRINITY_DN44748_c0_g1_i1	LOC100485703	Chr03	12772077	12772077	0.231404465	-8.732932111	4.34E-08	8.64E-05	G23	female
TRINITY_DN119122_c0_g3_i1	pgam1	Chr07	24615072	24615072	1.724163079	-6.534232265	1.14E-05	0.015085894	G23	female
TRINITY_DN114651_c0_g1_i3	NA	NA	NA	NA	4.584226794	-1.097520052	7.99E-06	0.011917518	G23	female
TRINITY_DN209985_c0_g1_i1	NA	NA	NA	NA	1.385760103	2.41357018	3.19E-08	6.93E-05	G23	male
TRINITY_DN134625_c0_g1_i4	NA	NA	NA	NA	4.516851438	2.449258295	2.00E-07	0.000368039	G23	male
TRINITY_DN126986_c0_g1_i1	NA	NA	NA	NA	2.026286271	2.784696051	4.08E-09	9.74E-06	G23	male
TRINITY_DN180929_c0_g1_i1	NA	NA	NA	NA	0.183389218	2.940168519	4.35E-06	0.006928188	G23	male
TRINITY_DN180950_c0_g1_i1	NA	NA	NA	NA	0.507587627	3.278585741	2.26E-05	0.027012101	G23	male
TRINITY_DN93628_c0_g1_i1	NA	NA	NA	NA	1.365772345	3.680715064	4.04E-06	0.006898153	G23	male
TRINITY_DN131242_c2_g2_i1	NA	NA	NA	NA	1.415100346	4.069544525	1.33E-05	0.016673854	G23	male
TRINITY_DN129733_c3_g5_i1	NA	NA	NA	NA	1.519170823	4.454926363	4.48E-18	1.19E-14	G23	male
TRINITY_DN128967_c0_g4_i1	NA	NA	NA	NA	0.111484681	5.87534307	1.05E-05	0.014738995	G23	male
TRINITY_DN113348_c0_g3_i1	NA	NA	NA	NA	1.087521257	7.828981595	8.47E-23	6.41E-19	G23	male
TRINITY_DN127464_c0_g2_i1	slc35g2	Chr05	128370751	128370751	0.477693892	9.035609501	3.18E-19	9.50E-16	G23	male
TRINITY_DN128130_c4_g11_i1	NA	NA	NA	NA	0.621642358	9.190524492	1.39E-21	6.63E-18	G23	male
TRINITY_DN112907_c0_g1_i1	NA	NA	NA	NA	0.677978075	9.253532659	1.07E-22	6.41E-19	G23	male
TRINITY_DN127464_c0_g7_i1	NA	NA	NA	NA	1.133710863	9.739059093	9.42E-21	3.21E-17	G23	male
TRINITY_DN127055_c1_g5_i1	eif3b	Chr09	25242861	25242861	2.357891787	10.97699851	2.32E-38	2.77E-34	G23	male
TRINITY_DN135864_c0_g11_i1	NA	NA	NA	NA	2.689486817	11.31412598	1.93E-50	4.60E-46	G23	male
